Sub Pop: Songs from the TV,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
91,Don't Fall in Love,3klWixfSTvOkH8LxwBUpiP,Still Corners,4zKYrXs8iN4AeHmO8ZxNqp,Don't Fall in Love,5m4PQAopB0jZzpbVWunQ1J,42,https://p.scdn.co/mp3-preview/870a8d6f3fca81dfb3f3722f32afb1d09fdf1f80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Six Wave Hold-Down,125meOkyPrAfG3a41pOwyk,Hot Snakes,5hEP2P4E1FjoFYdhhxe7vi,Jericho Sirens,0pbJtvLadDJLoIm9D0oSlq,41,https://p.scdn.co/mp3-preview/caaecffad61ed9236a86935646e35d831efcc8ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Worldwide Marine Asset Financial Analyst,3PuFWkC6rcCBBMW7M8NfjO,Pissed Jeans,6FTONkEJQsCSpoDHqaAP1V,Why Love Now,28DmrpnPDaAYBc0F5P6niZ,20,https://p.scdn.co/mp3-preview/862cfcf451ca263098ceaec6144046ecba613d76?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Good Intentions,5meaKPeyOnem0bhmulYTkl,Marika Hackman,5DGJC3n9DS0Y9eY5ul9y0O,I’m Not Your Man,2Jkylu8bVA6naEwwVKuG0o,23,https://p.scdn.co/mp3-preview/6ab2118bd1e0fdc8891952fd4ca2a2732b082e6e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Oh My,3gGTw2BbA47n3C26bAfFc9,Sera Cahoone,3wC39cIBlyNFSP8bO84FCJ,Deer Creek Canyon,4GeDpeYkgfCmXSvJ3ymMmb,0,not available
96,Bon Bon,3AysnVZKzGurYzI2Fxlzci,King Khan,5zExg5Z9MmcUh2B2K93bbs,The Fiery Tears of St. Laurent,6MvQlddGTVF9XKXvLrl0WR,0,not available
97,Suck You Dry - 2008 Remaster,3Fg4SlOiqKDodVJbAM2Gut,Mudhoney,7LuYiSXiWs86rwWJjEEgB9,Piece Of Cake,3CNnWJLxLMowI9DYqgLLeq,48,https://p.scdn.co/mp3-preview/50b80478ac5df7b11cb7d080fd97624f1acce877?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,Winter is Passing,5Vhk9hWRBw5W4KMYC5lHXj,Luluc,2Jtfa8vjvzAAGxDfgIkU72,Passerby,3YMi92E4Jwp6mKfdtI8gex,20,https://p.scdn.co/mp3-preview/0c890f8fff75a3542259c9d2731e78ef3f157817?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,Kills to Be Resistant,3HJvPxN3mB6u0KS8CD2ooZ,Bully,34LdbFt5sVXKTJOzf1iExQ,Losing,0T5W8q4JXryl3iiogSJ0zC,28,https://p.scdn.co/mp3-preview/3034e128c986923ce49becf63b615a8304de074d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,Bitter Truth,78kwvVtF0WMnrI0Se1X4uD,Iron & Wine,4M5nCE77Qaxayuhp3fVn4V,Beast Epic,2Ha1FUPZ0RDMjLZFu1iVO1,48,https://p.scdn.co/mp3-preview/d3a609260044828f509db5651f8e5a1b397fe16a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
