lofi hip hop beats - music to study/relax to ( lo-fi chill hop ),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
87,Skydive,5LUEPhMsFXmksRQADMpnix,j'san,5iMUho98faEp2w6j5p44PH,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,55,https://p.scdn.co/mp3-preview/89369c2b5a344aa03d3abecacbcbb73b0d3c0666?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Townie,0kNyIrBLw7CUIK87kVnoRc,junior state,0SNEph9mcT3XMM7XRRf5ox,Levitate,3sAObG3eO23xXwqtLf2Izs,56,https://p.scdn.co/mp3-preview/56eba8b13ceeca87b5da6cb6c9a6dca16f716f3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,In My Cabin,21B332M3FadLtg6Np6F0Bk,Yasper,1axdL80XjVHdInGsJbURyt,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,55,https://p.scdn.co/mp3-preview/ac9ed95221587e7aa614ff0e7fabdda122c4077a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,unwanted,2egKGgextl7yFhsYOmJSjT,SPEECHLESS,0RUwm9ukhlW1oXDzXxj3C0,Mixed Emotions,7iwvVgtOxJuCkxwxZus1Mb,12,not available
91,Ful Off,0zRTt36VLmxR2Z4AwjgBHl,Nokiaa,0ikgHu560bYMZOOXFQnRLN,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,55,https://p.scdn.co/mp3-preview/c351728df21e77d6bb31c935626cf52e427b7546?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Black Coffee,52M603WgJQsrLyRZKSaJ4K,Edo Lee,649XtoH5WKEFvH8hEANCxv,Sleepwalker,7bjBFe9bv7TAVNpzmszB2g,56,https://p.scdn.co/mp3-preview/cf022dff5ac26dc25137e69378ad72872783df37?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Never Forget,6HYjx8HFtR0kOGEycaQjo3,B-Side,1KpqmBJgAuQIT39QH7CO2O,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,55,https://p.scdn.co/mp3-preview/36a43d07a59f0ce000694b34e0dab2b1e8d665b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,It's Raining Again,5IAdK4VXo3fqwil3rfRGWF,Psalm Trees,5pmXkV6A8yQdoa64xzvZ0S,It's Raining Again,7d5Ixon792BTS43CpTE2ed,54,https://p.scdn.co/mp3-preview/d53472745f67322a9e63aaac01b733b6cab7ffdc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Hurt Heal,0vZ9iQpLBUh7ub0MZjaABV,Sofasound,3pOOUcLNTiZ8nljgMJDXQ6,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,54,https://p.scdn.co/mp3-preview/f6ab4675dbefe7e6b5bf9117bd66317febcf6402?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Brown Eyes,26LfO7v0NEubWsFFGrqeim,emune,4gkhq1EjcLZjP60fbvOyJT,Sorry,6AXXlLvpkbZ9pnbcS70DVw,53,https://p.scdn.co/mp3-preview/cb3eb4ba6e409b0213b184c43619974be09a4beb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,Remember,4k6rcq6XuJqlTfzpUxQvLn,Miscél,5GsqXcU7gZvD38JklTxo9e,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,54,https://p.scdn.co/mp3-preview/a9aafb72d9797902a3a472612b65b3440edaca87?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,20 Nach Vier,63LAVwSfOLzbrIVBcs1vbM,Alexander Wirth,3NhIOGJymNXXqMK77XFfzD,City Slices,5jgwfP5zRpNbvSkfaVOT8V,53,https://p.scdn.co/mp3-preview/a1ef409c7af5d157855d02bbcf354c73555efd31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,Mutiny,0QMQqnlsgZIz2RouSsNuCR,Flitz&Suppe,49WbztFLx9iDTh8LHEIF84,Ijin,3jYUZXIiWi2Usqca7IcRIG,57,https://p.scdn.co/mp3-preview/ee17d0411fa2625ca8b705b98a3a8756df287612?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,Blue Voyager,63HorOUXafwtaJK3X1j7jn,Hubert Daviz,5q0zWFDxHYStTxfgjGHgW7,Teñido,7nT4joVBAnFmC5HvzO0s5s,53,https://p.scdn.co/mp3-preview/635fe0235a6bcc413b8b40b4afb9992b087d3b4d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
