Chillhop Radio 🐾 jazzy/lofi hip hop beats to study/relax to,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
32,Rockaway 5pm,7aUgl6Fm3L20V0xGg9PkAX,auv,6mmGVOvxusEdkxXmPg0Wlm,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,56,https://p.scdn.co/mp3-preview/1ba1488d0fd67065246afcd44514baa1bcf100f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Midnight,73dlzGP7irXmDW4QsiRJSt,Ian Ewing,6QrRSfwkZsixVIgDRhpToh,Always Home,41UC3rVr8QlcwvhBRNxkJB,43,https://p.scdn.co/mp3-preview/ff8d47b1dd640764120adf0a87d08da42a119d99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Aires,3j35aIwA15nhEmcT1iUpzL,sadtoi,7G6bYv9rdldB4mNddVd2yy,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,55,https://p.scdn.co/mp3-preview/80771aa2f1d7f7276cc68fecaeb0fd862d44f09d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Mighty,7EvrNIE8EEgBUhtARbKk0H,junior state,0SNEph9mcT3XMM7XRRf5ox,Levitate,3sAObG3eO23xXwqtLf2Izs,51,https://p.scdn.co/mp3-preview/59715771bb8034ee4dad4884b89a8dbc160f8884?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Coffee Break,2TZ7LIRqsJyfB2DYqb3H8L,Ruck P,0SIxAAknV8iR2jHcQJ9Sfn,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,48,https://p.scdn.co/mp3-preview/4d474aaadb2654bb3696c513d243efe1a21bb306?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Forgot It Was Monday,5zEsGtsZzKhVWSAerDfoSD,Sleepy Fish,1IJe80moz409PtxW4llPFw,My Room Becomes The Sea,6TG1OEvkMjigRs3ze0qF19,56,https://p.scdn.co/mp3-preview/407175a5c4371e527b3ee7a0c39c71827d9fec8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Droplet,4MlCNuD23c2SoMkbGeBs6w,Kupla,7daSp9zXk1dmqNxwKFkL35,Coniferous,2dPa5nSDfNDStYSYJBc6sU,58,https://p.scdn.co/mp3-preview/60b84bc5668b75f23abafa8677db38b570d343ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Haze,1tS0eIgirDFLk68hHFv7Oq,G Mills,0djvqMepj2XkHfvWTqkH1N,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,58,https://p.scdn.co/mp3-preview/c1651d050c0131f77caa04c109d2f3b8236b8f54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Like I Am,0qbAa8z7qp7QTzJqV9eX8F,Ian Ewing,6QrRSfwkZsixVIgDRhpToh,Always Home,41UC3rVr8QlcwvhBRNxkJB,42,https://p.scdn.co/mp3-preview/9e3d0bad1493cbaeab494b49994a87ac98e8fcb8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Murmuration,4pI7VTiN59CZnGJUgVZPoy,Blue Wednesday,7185Q95lPFld0aoPqO6e0U,Chillhop Essentials Spring 2019,0FBkB6e7deadNGBxQCpQc0,65,https://p.scdn.co/mp3-preview/c424866bf7582b07458b713c3736438032d51152?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Meaux,5KyOfjz2WFdGj97airzbA7,Ian Ewing,6QrRSfwkZsixVIgDRhpToh,Always Home,41UC3rVr8QlcwvhBRNxkJB,42,https://p.scdn.co/mp3-preview/25a8e8551706d5096b333f6151e9de7ea5355bd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Simplicity,37Y8YdbkrWFo4E7adbmxAk,L'Indécis,5p1ichthTka1KT0iUvrlIu,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,47,https://p.scdn.co/mp3-preview/524f0963e1115d257a47af4cf2df85b4809cb77d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Through Walls,0ATh7cJ3jq07hhi3txH1yx,Sleepy Fish,1IJe80moz409PtxW4llPFw,My Room Becomes The Sea,6TG1OEvkMjigRs3ze0qF19,55,https://p.scdn.co/mp3-preview/23be4cb50c0c7eeb5ee3f394b928f26188185b75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Railways,420FhBi2yV196zF6tgqmAx,Sleepy Fish,1IJe80moz409PtxW4llPFw,My Room Becomes The Sea,6TG1OEvkMjigRs3ze0qF19,53,https://p.scdn.co/mp3-preview/a8ba25a4d5db1555d20270548081e1a2bfaf98c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Moss,6lZuxJZ0CV0HUjmKW04yjJ,Kupla,7daSp9zXk1dmqNxwKFkL35,Coniferous,2dPa5nSDfNDStYSYJBc6sU,55,https://p.scdn.co/mp3-preview/32c8451605910b9b16b619cd577d5756ca4f0a68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Wandering At Night,6BXXblmpCpFUW7KhxctSjk,Epektase,31jYTsfmnHqcK7ahdqlqmo,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,47,https://p.scdn.co/mp3-preview/fd778754d3823d83858575e37f2b00d5b6c3fc6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Never Felt The Same,0EgjN5H3ExDRLbewY8FXQU,Sleepy Fish,1IJe80moz409PtxW4llPFw,My Room Becomes The Sea,6TG1OEvkMjigRs3ze0qF19,54,https://p.scdn.co/mp3-preview/255acadd41b1bfed381f607c997c4ca95a82ff5f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Butterfly,73CQoxfNSsnXV8q8WpsxIY,Swørn,4iyFpbbfjNvfLQPx82OrYc,Escapade,1HaMd10QbuXfZhn2MWEJRt,51,https://p.scdn.co/mp3-preview/3d080ba2b0b26e0ab4e3bed9a017cb4a3e8a5ca2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Yeah,4JUKsINwgW3XuqNL1jGglh,Monma,50nVKm0xa3p8KYXXssG2ym,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,54,https://p.scdn.co/mp3-preview/d4d64f1eba97ce96e60eac4867f5b40f4aeb07be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Ease Out,2AqjABv8xBA4rKXv2mtKug,Ajmw,64StAk1W7veJKQ9x0rlE2R,Eternal,3rsR5odp7XMk9yetDLY9xT,43,https://p.scdn.co/mp3-preview/568ca98e7698df15232a6d603bc8354a811d5e2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Beavis Pt. 1,53nWVwyUusUwNuDPy25ICN,Philanthrope,13ACz7DIictCpSYGglNTHs,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,54,https://p.scdn.co/mp3-preview/91b4eff826025d9dfc9ddd49e16228963466312b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Our Reflection,1wH6Xf0i73tcGA96syNKKN,Sleepy Fish,1IJe80moz409PtxW4llPFw,My Room Becomes The Sea,6TG1OEvkMjigRs3ze0qF19,53,https://p.scdn.co/mp3-preview/94e2cf8b47853e9b385b6542b70ca60fc3cfae93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Sorry,0PNtnQP8IzWc2TTchaV96I,Swørn,4iyFpbbfjNvfLQPx82OrYc,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,56,https://p.scdn.co/mp3-preview/8fdcb75f3d0e41898bcba90bc6716431f5efba52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Yesterday,3JdcRs53aBDG20OiPBJO9g,chief.,0HCAzT0cSCpiNje7AcAQaD,Chillhop Daydreams,7qdepmAALqX7taS6nMz8v5,64,https://p.scdn.co/mp3-preview/5beb449bea1705e2bf673ef50dca5bd1e2e12f87?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Rucker Park,0kypdPGzA3WiR7voq9Tg3q,Ian Ewing,6QrRSfwkZsixVIgDRhpToh,Always Home,41UC3rVr8QlcwvhBRNxkJB,41,https://p.scdn.co/mp3-preview/c8cce741c686e5cd601416eda2ee1c4c1baebb6e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Quietly,6YNgJyZedfd8t0fTZ0K2Pg,blnkspc_,3hZaebXqrD5crmyMP2x1qa,Quietly,0ggV4SGxSTvgBmSLMfPRLH,57,https://p.scdn.co/mp3-preview/261f8fd82cab3b0849bfe8b5cdd961d1e7b76243?cid=fa83a2fec7c440b7a2795d600d6b2c7e
