Nashville News,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
45,DRUNK OVER YOU,4nkB5v1cfkJLOw895zIcnu,Niko Moon,6Rw7DRa1dzChBvxGPCpOxU,DRUNK OVER YOU,3LLdVl3jZrE9ec9CmnK7xx,58,https://p.scdn.co/mp3-preview/1d2add9e7644e27ebca6fd017547313e6760c272?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Ridin' Roads,5OBtr92M0xsvOGqpnz3LzW,Dustin Lynch,1dID9zgn0OV0Y8ud7Mh2tS,Ridin' Roads,5k9qdzeVjlGweGxnb4cnGd,74,https://p.scdn.co/mp3-preview/0aa8e473dd4471d4736c050bf278a701663781e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,More Hearts Than Mine,0LcspVKJxhEQQSvVMiTPWz,Ingrid Andress,0jPnVIasXzBYjrlpO5irii,More Hearts Than Mine,4VMYwWFqX9vUv9otWLRRF5,66,https://p.scdn.co/mp3-preview/f63b5a15f76000fba922484d0d41d0bcc6630780?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Guy Like You,2FdobbUx2XgFyqytbgZRWw,Abby Anderson,0WicR9iYAPd0Bi7i3bz9MB,Guy Like You,0WJDDAizVZ31GPNEQzvCjx,50,https://p.scdn.co/mp3-preview/6b767d66dc2db3c43d8c5fc162074eb4522ad06c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Livin Easy,5P0oWsGlZthmPNFWxazIbI,Filmore,0FvJm0y2eHw0aPkLLU3sIG,Livin Easy,5pwzY0P7mZq3U4CHI4lmGe,51,https://p.scdn.co/mp3-preview/f8adbe3be498c6ecd9a5411a9f5cbc72decef679?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,All Nighter,6GDoB0ElVSaAbkfAjoe1PI,Cole Swindell,1mfDfLsMxYcOOZkzBxvSVW,All Nighter,2Is3u9w82NjrtdD5hBWSyU,59,https://p.scdn.co/mp3-preview/73329c3baabef0ae27d17bf30629218596b48821?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,The Difference,6BqL7juuyjALSznRcciBWo,Devin Dawson,2ySHS7UojGu20XfUPaBlyu,The Difference,1ru8t9ATVTihit2rkuUDWV,11,https://p.scdn.co/mp3-preview/fc18833421d1110816db24d9d6e028f588f61e9b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Livin' My Best Life,23dyF3k9LfRnG7rRIWWYJs,A Thousand Horses,55RI2GNCfyXr0f14uIdhwd,Livin' My Best Life,1bMedaV2jpYzvDhnJ6PLFj,4,https://p.scdn.co/mp3-preview/88af67f1582d3f93b8bd41de854e25cb880c2911?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,The Hamptons,6eFp6pmzv4aXwM3nj3duaX,Walker County,4O8A9zKc4TrSgV0RQp0cRg,The Hamptons,1vKnsv9niW2eKjMXe307ca,0,https://p.scdn.co/mp3-preview/54c2a143728ced88c35bb6a0597b4268adcc050d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,My First Beer,1xvW3Gg32aju1FQ5iifiGV,Troy Cartwright,24I45QsPZf5Gr7aVlVmTfr,My First Beer,2FP7RsGlEdRVre3MfUHQOA,0,https://p.scdn.co/mp3-preview/96bb777179287bdd993840cc26a050ea8eb9cb23?cid=fa83a2fec7c440b7a2795d600d6b2c7e
