Alternative Nation,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
38,Her Own Heart,3E1gDP3dyhUJntNaJZndze,Hatchie,3d7MqowTZa2bC5iy1JXLLt,Keepsake,3Onflnxn8chSsx8pIG0qrk,41,https://p.scdn.co/mp3-preview/e54ab0ab0cdc6f2cb790cafb6e77aa9cff6bd260?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,BACK2YOU (feat. blackbear),0Ih5m31aOTcaTL4PnvGgYS,"nothing,nowhere.",7FngGIEGgN3Iwauw1MvO4P,BLOODLUST,78LoEWcpdvgRImtnfTZe0q,57,https://p.scdn.co/mp3-preview/0162ac0586560a767f3b42d80aadb553496539c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Panic Attack,5VkGcyj2AAEuEuHPVQ6B0g,The Glorious Sons,5CPxrqCStgt6AfI4fLiedH,Panic Attack,1VpjZblJ4oPDYztVk8tLV3,50,https://p.scdn.co/mp3-preview/1870088dc1ab6ea2b0c34c859cc24ecd7f6262cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Rebel Girl,1EEt3kxO1yZSZd13DqvT8f,Angels & Airwaves,7xklw3WodFZiNNmQt3DIgp,Rebel Girl,7lKVIu2Sl941CXlpzG5ibO,60,https://p.scdn.co/mp3-preview/2bea6183b409986f0e629be214fe8809741cf137?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Running Up That Hill,7zLeOgBrdrCfMf47MCyLMC,Meg Myers,0W8xe7IqAPlnBRMUpWOUuJ,Running Up That Hill,7a0mQ4UEg2hTop49LkmNuq,58,https://p.scdn.co/mp3-preview/92cfc0e2460a5dfe65e9f5bbf54419428dd71c01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,This Life,46VD9EYQ2lIZcJUTptvuNF,Vampire Weekend,5BvJzeQpmsdsFp4HGUYUEx,This Life / Unbearably White,6N1pLez4f6aCvIc4z1ipU6,25,not available
44,"Hey Look Ma, I Made It",22oEJW6r2rMb9z4IntfyEa,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,Pray for the Wicked,6ApYSpXF8GxZAgBTHDzYge,81,https://p.scdn.co/mp3-preview/724c46d8f0fb7ad7277eb244f1f865d33cd1f246?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Culture,1gT9t4l6h61O1HDQKaFB5K,Hembree,0NTqSkdyIji6DuHVac7ROJ,House on Fire,6Wxo89c6cczQFhH8i8YDTH,49,https://p.scdn.co/mp3-preview/9bf025f688fc3f0c9afbd08149f353a5bea53557?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Mr. Radioactive,0kBBz0LBA3nKVzrfP68DPj,Bear Hands,3ViZST9PgFoieuOHY2GZMp,Fake Tunes,3E60av2aUY2Atn3cwEJm2s,23,https://p.scdn.co/mp3-preview/3ad4069ec2429997458cf74bc904b9fe46132a26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,More,6GhTxdtZP7cyhslqiAz51e,Electric Guest,7sgWBYtJpblXpJl2lU5WVs,Play With Me,5hpCdCRsP02kutBu7QmyBm,42,https://p.scdn.co/mp3-preview/3028197cd6a0a971bbcf240942e29d0f9a960538?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Loser,5jRKIYI62nOgvHKJGJrmeg,Jagwar Twin,4luZExkmgn39Kj5XsYWria,Loser,7l0iOxW89safNwXTcCsi3a,27,https://p.scdn.co/mp3-preview/8bc6cbc4a65d1a5af547ed44519573803aef160a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,ATTENTION ATTENTION,0XRjftXFxSo0ZEC0ZdSxWQ,Shinedown,70BYFdaZbEKbeauJ670ysI,ATTENTION ATTENTION,0dtwIycvTaFNjo44QRwWz7,56,https://p.scdn.co/mp3-preview/4132819306b68eeef4148ebeff12477f69c3dc4c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Let It Burn (feat. Haiku Hands),63laClzxQy5iX4HSXJ5gJ5,Hermitude,3fmMaLC5jjf2N4EC2kTx0u,Pollyanarchy,112LPorS7zox1TpmXjSGS0,32,https://p.scdn.co/mp3-preview/000d23e9a465dfccd5e60ef4e566e8d457a18c1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Saturday Night (High),1YAam1QxICsS03FFTYsAva,Jim and Sam,1BbVOJwvoyVMfOPdl1Oi2x,Saturday Night,3hzkgQCbbIbGEKGi3SoFkP,0,https://p.scdn.co/mp3-preview/510335e77631df0eb60a8128e3dc93a157ca2f6f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Dodging Raindrops,0YbEtdFxLEzdX86KOlfPlW,311,41Q0HrwWBtuUkJc7C1Rp6K,Voyager,1OB4dJvhPDVtpEsGbUOZHJ,46,https://p.scdn.co/mp3-preview/3b456fe09f4c44de28770328c75bae7b5ae2333b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,the end,5j7BSPFNuDiiszA2SZllTc,MisterWives,5ivCbtrcD5N4rD337xIb2z,whywhywhy…the end,3pATkUpixuB83NrGhnKVRg,37,https://p.scdn.co/mp3-preview/7bb81377e7b1b05201200a3ab6bb82ae6269fed6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,TALK DEEP,6RMvf7OCYYSw4x2K8UakDt,E^ST,7ASucWaI33cepJbo74Hlo0,TALK DEEP,6QSypClxqJS7M5fhLSbuK7,30,https://p.scdn.co/mp3-preview/ba5f78511fefb247a0f921495adf9bb3647c55d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
