💿 The Knocks Complete Collection,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
88,Drinkee (The Knocks Remix),6VavS6WGhUXNO7t0wBTwu7,Sofi Tukker,586uxXMyD5ObPuzjtrzO1Q,Drinkee (The Knocks Remix),5hQkM26zpgQ7Vn7lqNjfHM,16,https://p.scdn.co/mp3-preview/81dc3b65df9f9f20997b83f7712e61590baced1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Renegades - The Knocks Remix,4KVV6h8z2nugQ4MEXoyQZp,X Ambassadors,3NPpFNZtSTHheNBaWC82rB,Renegades (Remixes),7slvRCcAQXMUA7FFXNdaco,19,not available
90,Doses & Mimosas - The Knocks Remix,6WuPZIlw1u8kgdtNlTksDc,Cherub,00dwwnz3V4kRfu3UFYpJLz,Antipasto EP,2GHhrpYEZquNvLTuN3hX79,20,https://p.scdn.co/mp3-preview/adee2e0ba781c9fd67c994b8c803b2163989c461?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Closer - The Knocks Remix,002ecFL144rSBQcu6vrpka,Tegan and Sara,5e1BZulIiYWPRm8yogwUYH,Closer Remixed,6kD6KLxj7s8eCE3ABvAyf5,16,https://p.scdn.co/mp3-preview/23b4a269eae3f0798067e89ddf7dabe4123bf3f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,All That - The Knocks Remix,7c0AlAMOJTiArvRiTusaxG,Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,All That (The Knocks Remix),4I8W3rX9R54EwwMCFFoLvH,0,not available
93,It's Strange (feat. K.Flay) - The Knocks Remix,0g9NLALGvar1YSkCsjjqim,Louis The Child,7wg1qvie3KqDNQbAkTdbX0,It's Strange (feat. K.Flay) [Remixes],0q1iCP7zlNEHcTIvovdCKj,20,https://p.scdn.co/mp3-preview/a1269bec1da6e7e8bc253ac922a1742b95717065?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Going Back To New York - The Knocks Remix,5tDw3WmEXPzBr7GNI3LuHd,Party Supplies,01UiJrY48IXhhPHIVUQpGw,Going Back To New York / Beautiful Girl Remixes,7clDJdQOyYgkY6oxbVGHHo,0,not available
95,We Come Running - The Knocks Remix,6tKMgVKxHDDJRYEup2DDqH,Youngblood Hawke,6VXZCpbkwm0W0aPjQR1t4K,We Come Running (Remixes),6Lw1ungXFJBgKvMo53L9nk,15,not available
96,Show Me the Way - The Knocks Remix,0islcMgjSrVqKZ9qcqveL0,Penguin Prison,5VsOThWOagH8C8gCvIy13k,Show Me the Way Remix EP,1ogv2LoQi4U8NVXvoZkWbw,0,not available
97,So F**kin' Romantic - The Knocks Remix,7eoIqhXjSgC1ckaKoBsfCb,Matthew Koma,1mU61l2mcjEFraXZLpvVMo,So F**kin' Romantic (The Remixes),1SeQSCM5UqOtrst4p7iuYV,16,https://p.scdn.co/mp3-preview/b14c0419b1eccfb4b01a09770fb43cdeb6f35994?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,Cheap Sunglasses - The Knocks Remix,0KgW5Emm4LauP9YASHcafc,RAC,4AGwPDdh1y8hochNzHy5HC,Cheap Sunglasses (Remixes),5fLsfEP6mQHWzqgFLZPtT0,10,not available
99,Pumpin Blood - The Knocks Remix,6N7Br9zBFmAq6DjabhL9qD,NONONO,513t0jZUP0K98C4h7KHtEb,Pumpin Blood Remixes,4PDYYWYFFDncixGZPqenWQ,5,https://p.scdn.co/mp3-preview/2a5eb6e3a1f251a9a2420957ef048775a3177a07?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,Let it Go - The Knocks Remix,2nl13dUz1q7IvL5IFgJUFK,Dragonette,4GLJPBj5Cdr9AgLKvLWM4n,Let it Go Remixes,5Fo1Jjbup9FQuLBIdgr92K,9,https://p.scdn.co/mp3-preview/34b3834575daa4278307108c01344d15272c4142?cid=fa83a2fec7c440b7a2795d600d6b2c7e
