Slingshot,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
71,KURT KOBAIN,1CD76Yd0JagAoRDESw9WX3,Velvet Negroni,3RGofWmykr8KICouK8pMUm,KURT KOBAIN,7wWCQ4AHXPSfusLFgNozWR,30,not available
72,Getting Started,0ZqzRtD1iw8RdTSNwZyKhY,ZenSoFly,4tDTF2Ho65ijdmMHbtgJ1h,Sunflowers,4Hdi1SLRWstfivhu6GrZEx,9,https://p.scdn.co/mp3-preview/82a6a3b690eddd6e6d97486a76ce0037f54a8c22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Earth Intro,5gEtdSGblcWcQiZQhYwecQ,Shirlette Ammons,6i5osZ6qIQOdY6oIRoqSnO,Language Barrier,5nZAXWujyIco7lSDnEtL6T,3,https://p.scdn.co/mp3-preview/8844e16c500157eb0235c9639049c04cc643a897?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Gender Reveal Party,2lLaanRATBYnJk8FZ0PnTa,AL Riggs,6fGDahYX2XpTGKPSjDVUGR,0w0,5r4TpVh0Ico90bh0fTgFII,2,https://p.scdn.co/mp3-preview/7170c14c4334a00d8248c8f336c163d775c344f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Jihadageddon,72IwbfDZ6jhxJ3ufHx5XGH,The Muslims,0k4t6CgTa017VoLxokJn8t,The Muslims,5VfX7v8tlERUBQqKY3o0AY,5,https://p.scdn.co/mp3-preview/12710c527b062832081138dc04c855713c179522?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Quartz in the Valley,4mivo6oDz7ft0ARW2bi4AH,H.C. McEntire,223IvfSnge3qiGcDMHk2e4,LIONHEART,2RzLGi4l3ERo6c5PimWZOU,16,https://p.scdn.co/mp3-preview/e3b5c2041f60b2db7c571e7ae5433e8154d1191a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Wavvy,7sLj7yNeoMWhLMXSgJ0qpX,Mykki Blanco,2tSv9mEQSuNVMGr9qjYfkr,Cosmic Angel: The Illuminati Prince/ss,3JBRe0SDXHotBz0gIMkrGv,30,https://p.scdn.co/mp3-preview/d5eb6f708f03ad6a574d7479302169a93eadf563?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Black Mirror,3L03QFrSxQVcskLG1XQWYE,A Giant Dog,0PL9vFj7i7uKg74WpLohnG,Neon Bible,4di9lQb4W5UUOmMpRHIC5c,29,https://p.scdn.co/mp3-preview/99bc9bbcd698a7ac4adb43afacbf799cda2a1b45?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Every Happiness Under the Sun,23TzhR4HtRsdy7fTxwF64U,Bonnie Bishop,6AKsk3Yh6ykylrmudAZCsq,Every Happiness Under the Sun,1jfVBYZlzAd9VF3uOyUieN,20,https://p.scdn.co/mp3-preview/46c879f200aa5f415f93bd819bb91ec22f723aa5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Proving Grounds,6wrJh8NPZxO9v68Hwr36Zg,Attila,4Uv5bceTJ2h3tLlssUNDNP,Guilty Pleasure,57kMq4QecevJKf8DOH8Gzp,50,not available
81,Smile,3LiyVUh05rAWGhtNgUSeta,Cynnamon,3bvdFMqWyvoHDXfj4eBaYE,Smile,7AA5Kn1k3RY3ynxQYuyYyx,7,https://p.scdn.co/mp3-preview/e827a15ca41a9e9ee9bbb57438562f1ba8412ec0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Tryna Make Sense,4743SvcHo3Z5jUXCDd2SlX,Madeline Edwards,3eJCIS7ytlYvT3pgReuWWa,Tryna Make Sense,2qbPH9x3Arb9Avpzes5FsH,15,https://p.scdn.co/mp3-preview/6fd9c608546da2c28d4b5bcbf976c50ac0a132c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,I Move in Shadows,6yL4cortETyFXU86bOZkHc,Office Culture,1mI6keuM9rBbs9GdbAHzgr,I Move in Shadows,7CdPBETnKXYOrm5XqiidFr,7,https://p.scdn.co/mp3-preview/92f1122f2f1dea6528e3cb8cf8f8dee3ef164107?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,The Old Story,4eps0rKujYJ1BJNtsJEfNT,Ola Onabule,2zvxIw9mNxFdvkNQHW0jmi,Point Less,5WvCO48cK8YAteH6CzPkYj,12,https://p.scdn.co/mp3-preview/3d8461dc9dc6e16c9792f3a6a997bae32d805f15?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Mardi Gras,2lXfQW0QyfnDyJyA0ZVr0z,One Eleven Heavy,11JCFEabrnvlkV6FFS0XX5,Desire Path,2a5YnElT3RSQR7oMKkleYH,14,https://p.scdn.co/mp3-preview/1e58db795024f4145174c3d9a22e17893b068b06?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Tides,7sRKaxjegjYXeFPueZ4Vx6,Amari Amore,0aro3RovsSM0gLcloTBtkC,Complications,4wrILlWoyonNXv5bXBLZK7,1,https://p.scdn.co/mp3-preview/3911b490045cfd79e4041e83a514ce17782050bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Seventeen,6uuh5io5QFW6hItlZfoobd,Sophia Annello,41unUomfPKA7lXvvoSx8mZ,Seventeen,3XR7vpwlUYq8bC2S94vjpI,27,https://p.scdn.co/mp3-preview/79667b09a4b09b98fbc7cb6fcbbb0a602b2dee5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Begin Again,2iFcECWt54J9y4ZRHFDkmq,Tippy Balady,0YQlCQYcfyGYgt1T6XAeQt,Begin Again,5w0l4dp4e5oaKh72A519GT,35,https://p.scdn.co/mp3-preview/0159341b418f26eef58453be7eebd673fde8b8d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
