Dancehall Official,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
90,Sexy Lady,4P4j091x9SbwDbCKgq0Aug,Dynasty The King,18sBI1uOiAXja6p0EWEk9H,Sexy Lady,2xcrhbF2otS0iPtdBtLRDW,45,https://p.scdn.co/mp3-preview/d5aa6d699beb2db2d743c5827d68d2f84cdbe8ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Mankind,0pye89yuOXk6LMwtXLMMw5,jahmiel,1pcKqVZ7T90mJ2rKo9XWYV,Mankind - Single,2gRCgFEkIAazBuI05u8Ev1,33,https://p.scdn.co/mp3-preview/db5aa04aa528ab4240d5e736f4d305376a8190c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Mr Gunman,6p3r7HKvhhDoqyg8kiywbs,Kabaka Pyramid,10p1CDVyRIkR2ybAu7SbVH,Prime Time News Riddim,2a0kmKGzaEu5N2HCI2tnBx,41,not available
93,"Take It Down (feat. Voice, Nadia Batson, MX Prime, Ravi B, Lyrikal, Angela Hunte, Ricardo Drue & Ziggy Rankin) - Remix",7rWp5BNP36rp6pUlpDwNl6,Dloxx,5GMLMYtGUCW8lcovpXABQA,"Take It Down (Remix) [feat. Voice, Nadia Batson, MX Prime, Ravi B, Lyrikal, Angela Hunte, Ricardo Drue & Ziggy Rankin]",1EtOmJsdiInuhgBgVHQ93o,34,https://p.scdn.co/mp3-preview/f22b5bbb89277568c09b26cd77c4dc662ffd840e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Real Born Gallis,5f0NYDxrXr4jBff4evhYFw,Busy Signal,4RfTXjK9aiiIKDaKUHpL57,Parts Of The Puzzle,1pWeFGAWLYOiteoFpOM2xx,26,https://p.scdn.co/mp3-preview/06d4829e3f5d0953a1f2c39a580ccb0735b2e123?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Want You,1FSPBQ9hAW0Ykg3rFLV7zK,Ayo Jay,1V6rvT87qMQvo6HAixjlpY,Want You,4qUOdWcjXqdRoj2KmoyMrJ,41,https://p.scdn.co/mp3-preview/644eb3acc62f6a69ca238225b08e2671c3b181fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Born Killa,1YW14rnkX9LWwuv5hyVn3w,Masicka,2Gzy8TYJ5xrEMDyUjZuDsK,Born Killa,5X8a78oRppqGBgVd1kwUa0,32,https://p.scdn.co/mp3-preview/ff77e3774ace7b8b1296c297bb0b153858463099?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,One Talk,7GJaXAZxz6PBjgswxaOHJn,Chronic Law,3zorWCDx017sz4UYP2fC9w,One Talk,3C4yqAz7ogRfrZpZ3ePT3X,32,https://p.scdn.co/mp3-preview/368e6fd6faf076f74da3112f0b18026af094887c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,Fake Friend,4Ahv4esO8ANScENAXCTOUI,I-Octane,2T5FHRvBN0LYvlvDoU89dS,Fake Friend,3xsjJBqlkGZoSf2yUfY8og,29,https://p.scdn.co/mp3-preview/b58a0ac0645e78b82c1648fe582d70bbdc40d7c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,100% (feat. Afro B),1xR4ERa4qWfhI05lcdaL86,Busy Signal,4RfTXjK9aiiIKDaKUHpL57,Parts Of The Puzzle,1pWeFGAWLYOiteoFpOM2xx,37,https://p.scdn.co/mp3-preview/24770f6e5895b259b31c7e3b9283117e0e891fb1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,Pinocchio,0OTKxwsbaI1doA8mwj2lTY,Squash,1HXkVBU6RwIxxN6xuI6b00,Pinocchio,557Jb072o850CE4SAaLIPy,37,https://p.scdn.co/mp3-preview/aac3844275fcca5035fe26f84235b22994ae1796?cid=fa83a2fec7c440b7a2795d600d6b2c7e
