WARNER REWIND,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
41,My Own Summer (Shove It),1158ckiB5S4cpsdYHDB9IF,Deftones,6Ghvu1VvMGScGpOUJBAHNH,Around The Fur,7o4UsmV37Sg5It2Eb7vHzu,67,https://p.scdn.co/mp3-preview/8d311acfa67d329ce5eec2dbcf336c330c70533a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Down with the Sickness,40rvBMQizxkIqnjPdEWY1v,Disturbed,3TOqt5oJwL9BE2NG9MEwDa,The Sickness,6IvosVciDOQ9NAPaKwhtLY,75,https://p.scdn.co/mp3-preview/03067cbdddf4717f3f8cb481fb99fc273e89b832?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Hysteria,7xyYsOvq5Ec3P4fr6mM9fD,Muse,12Chz98pHFMPJEknJQMWvI,Absolution,0HcHPBu9aaF1MxOiZmUQTl,70,https://p.scdn.co/mp3-preview/ff29ded2c1aa87ed04cb15ea9b1819dc4db95ad7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Numb,2nLtzopw4rPReszdYBJU6h,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,Meteora,4Gfnly5CzMJQqkUFfoHaP3,82,https://p.scdn.co/mp3-preview/e6ccf7717f8a167bfea4afc1bf7da1a0cd707fbb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Mama Said,5ArQzSBevAdXTxRY6Ulhbq,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,Lukas Graham,4rFrdkSWs0dtj0rWPzOk1v,67,https://p.scdn.co/mp3-preview/01fbc59e90751cfa9daa8d9294aa581cc4352a49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Strong Enough,144JMbvbR5txNzoZ112wo4,Cher,72OaDtakiy6yFqkt4TsiFt,Believe,0jZfbz0dNfDjPSg0hYJNth,63,https://p.scdn.co/mp3-preview/31f7b7878cbcad46832c8154056e23d1526463d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,One More Light,3xXBsjrbG1xQIm1xv1cKOt,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,One More Light,5Eevxp2BCbWq25ZdiXRwYd,75,https://p.scdn.co/mp3-preview/7ea4eef2ed25e30cd90bbef3dc5ef3503ac1afeb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Best Day Ever,56XhZKFVFeylLeAELp6pdE,Mac Miller,4LLpKhyESsyAXpc4laK94U,Best Day Ever (5th Anniversary Remastered Edition),13fsGE9UN5VaAkETSs94un,65,https://p.scdn.co/mp3-preview/59b0c990fa659cfe61b7f58522abb53d110e5af2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Rise Up,0tV8pOpiNsKqUys0ilUcXz,Andra Day,1c4rxrxy8eDLvMVL1DTiBe,Cheers To The Fall,6Blubl1glavmervPJa3QVs,74,https://p.scdn.co/mp3-preview/21b2fabb6435c0b766d491dbd9be019c803202b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",612VcBshQcy4mpB2utGc3H,Eric Clapton,6PAt558ZEZl0DmdXlnjMgD,Unplugged (Deluxe Edition),3ebyEGol0Abc7VAxYf7vEg,74,https://p.scdn.co/mp3-preview/6db51a706aa23e959e1f3ee27f26848ec81ff812?cid=fa83a2fec7c440b7a2795d600d6b2c7e
