Indie Christmas Songs: 60 of the best,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Hark the Herald Angels Sing - Live - John Peel Session #18 - 17/12/94,6Zqw0ivegYnlrsaTKQsg6o,The Fall,6WoTvA9qinpHtSRJuldYh6,Cerebral Caustic,6Ng6yHMNlGR2DxmDuthOuW,9,https://p.scdn.co/mp3-preview/28784665c446da396bc763dad1926260001bb0f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Driving Under Stars,4GZiahjGLXqiYTs9d0pbES,Marika Hackman,5DGJC3n9DS0Y9eY5ul9y0O,Wonderland,1mCahzjwzImAtHgzceDObf,15,https://p.scdn.co/mp3-preview/3483a01c5f550888fb7a2cf50e240af6876d4a36?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Boots,3fXXH2FsZcqj8w7RFDNBxN,The Killers,0C0XlULifJtAgn6ZNCW2eu,Boots,07Qn2OQDe2IsWa4rVD0DWM,0,not available
13,A Snowflake Fell (And It Felt Like a Kiss),4IfLr64AO9UZjGyccPfKQW,Glasvegas,478peoEkoKPsTgRiVzkvPl,A Snowflake Fell (And It Felt Like A Kiss),60gv8VOFtnVgqJyYoHAyz9,20,https://p.scdn.co/mp3-preview/fd2bb64dca2bc93d6bc029596607924f07fe8288?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Let Me Sleep (It's Christmas Time),0nZhZafAtCxIX4Evvtwf8H,Pearl Jam,1w5Kfo2jwwIPruYS2UWh56,Lost Dogs,2onYpZYqFWtcyPyw7Xirez,0,not available
15,I Won't Be Home For Christmas,4a8qPOn7m8eK5LEoTKrj2E,Tom DeLonge,5h7oZ7t5CU9lst1mIrjp3R,Essential Christmas,1Zq7z1MQov9EuDjMgtPXTQ,0,not available
16,In This Home On Ice,6svVdb3iPkFoz2BSdigt4N,Clap Your Hands Say Yeah,1jSaZgaKHmgc7VTgML528r,Clap Your Hands Say Yeah,5ZBGkT2Av2DOH6JUDGQCFB,0,not available
17,The Christmas Song (Chestnuts Roasting On An Open Fire),2CQBvQw0SHTu2Efq2RgBx7,Paul McCartney,4STHEaNw4mPZ2tzheohgXB,Christmas Rules,7a9xlXxD82eQGXaExYrChG,0,not available
18,All I Want for Christmas Is New Year's Day,1Hzs3hu72hRTImBDvwlXhi,Hurts,3w4VAlllkAWI6m0AV0Gn6a,All I Want for Christmas Is New Year's Day,5pJ24r0OmK5NN5FZoIpjEP,15,https://p.scdn.co/mp3-preview/a2853ff76c937dab038b27e2fbce085616bd2e52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Christmastime,39XSBEDcH3d0nwKsOWH5q4,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,A Very Special Christmas 3,2A2Ir5hwA0eYfdsH0m23Gp,0,not available
20,That Was the Worst Christmas Ever!,6pL6TOmzoMq6ckBFGTaAT5,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,Songs For Christmas,6ZCbYO3B5eslkY3zHdss4A,30,https://p.scdn.co/mp3-preview/f1d6c388e7d64c3c66caa712a5afcf9bbe1cdb2e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
