KEXP's Song of the Day 2017,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
52,Colour Of Water,5URfmqaIij8iAsMTNGp8KE,Rose Elinor Dougall,6T1GNMxXuljv0C0ZRR60CC,Stellular,1tKzlThkuK8oGyOhTqFbIn,16,https://p.scdn.co/mp3-preview/eb1d2c1fe086dcf5a5892e06264c8223c356bd2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Armija,49orsHeZERFzU6dvDKM0Ty,Bernays Propaganda,5XTkVAbzbtMNHmgTfzjU7r,Politika,7M5WPnFHv2vOpArIzltoGx,4,https://p.scdn.co/mp3-preview/8ebe2c044c437219f01bcceca0382e5755f91fe4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Doors Dance,6yeZVmEAXAgmDUddIWuo2t,Erki Pärnoja,33HYZgdE7uEgBnA46ctcD7,Doors Dance,54ETzDpox61smfQzxr72UX,0,not available
55,Show Me the Stars,1RkXE3KUCN7F9JI81l9WCf,Lydia Ramsey,0mti6c6QA5aGU4naBaz5zJ,Bandita,1FLrSfQdNZYpvYCphOLUp7,6,https://p.scdn.co/mp3-preview/58377911d257c7b886883fa8e84c6aef5adceed8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Sports,5QlYvnKkZ2kvjXEDTNyOzF,Fufanu,4PGqDzPCkNhkLPTqCkYRPC,Sports,41nuU0DrTCC904NwlwN7wG,8,https://p.scdn.co/mp3-preview/ae68995d29bf43b9f790d56e59afe780bfa94947?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Lovely Storm,0FgmeYDOX28bMAVNBJTg7Z,Brenda Xu,6fLTO1aoZmCYsUr0IyS4OU,Overflow,50F7B5ksEOnodiNapeTsex,5,https://p.scdn.co/mp3-preview/f9c439a915371fad8c38d140193c82a5841cb623?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,My Old Man,1Cf943IKq0bhdBv4VfdOcd,Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,My Old Man,3TqHx1gebNGWrT6aK7nOhy,39,https://p.scdn.co/mp3-preview/fba8946eccffa963542e0eb886fdb45cad259d22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Only One,0ahTrIsYWnX62xv2dVnkUP,Sera Cahoone,3wC39cIBlyNFSP8bO84FCJ,From Where I Started,5RiJv1zalIyCyjWfGUJq8M,18,https://p.scdn.co/mp3-preview/9905824d1fd6ab53d30484821a7c6b1c5509200c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Always The Right Time,77sDBDePbpoGU7UjQTnOxB,Entrance,6bc0HcX6BmS9H7BDMoVeY0,Book Of Changes,74ReZuHHV4YFI3wmwedEpR,10,https://p.scdn.co/mp3-preview/e59b601df9c914f1507d688d0688888767892e90?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Dirty Rain,6hNZ5O5riDfxd2wWNgkjVn,Andrew Combs,4ONwFcI8RGvYMG1vEIdS11,Dirty Rain,03OHMyiBTEOe4TPtpa0ISr,45,https://p.scdn.co/mp3-preview/a2d0016074c2ff46765e55fe5ddbb7d4d62b0578?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,1 Billion Dogs,1US5sDsfGVTASyDgb4BI30,Jay Som,1wmiQ6ytATiGnJs6uFluKO,Everybody Works,1ZMtgC7o6TGbzwkv5SpThU,33,https://p.scdn.co/mp3-preview/358895b7095ac6b53f86f57ef4cbf72d64a27e29?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Just a Cloud,3geVgfR9vQFIBOg5CwhoVp,Lusine,2fMe9lZs5HGGOwh8cMSIub,Sensorimotor,2sTOmLb4o7sYYNnpJBt3ot,49,https://p.scdn.co/mp3-preview/e451d9dec0d49e6176aaff94fbcead3755c4141c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Mantra for a Struggling Artist,34vdwp7IIyyQnGJ7PwHff3,Andrew Joslyn,5dSCgfYs71v0zjg2AwUq9n,Awake at the Bottom of the Ocean,7G36cnLPx9CuqnmZXYna4a,3,https://p.scdn.co/mp3-preview/15c516b918ac75a48eecec25218095ae5572a324?cid=fa83a2fec7c440b7a2795d600d6b2c7e
