Heat Check 🔥,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
44,Welcome To The Party (feat. Nicki MInaj) - Remix,0i56hhAdCCT5KqZIy4pHQ4,Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,Welcome To The Party (Remix),51F2ekuk5qdwFSLFgzq1YL,66,not available
45,Hell N Back,3NRql0A1Ef4RCvT473iqgD,Bakar,3K2Srho6NCF3o9MswGR76H,Hell N Back,3aEdbaJGWXbBxn79DgjamF,64,https://p.scdn.co/mp3-preview/6e4104d14a5ff037a436002f8204bde266b9db27?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Be Honest (feat. Burna Boy),5pAbCxt9e3f81lOmjIXwzd,Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Be Honest (feat. Burna Boy),4d2oTHRFwGifGFgve7zSGC,86,https://p.scdn.co/mp3-preview/55bfb31d5fbbc26818f8585c66911a5093642bc3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,B Here Now,2YxWsJIR9Wmc9Bdq2RL2cZ,Dianna Lopez,5C7POGyWtwj98P9yaabh4T,Fluidity,4cNc64hrj1Ukkq8KnK2EBU,20,https://p.scdn.co/mp3-preview/98778653ba43f2aa8f8ee28a86e97b60572ba4f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Navigate,6FxxTu0dRKjrWhn05aNgbp,Footsxcoles,763gxrgbNZ2Ob0et1kkz18,Navigate,6bKczjpjAj32lbyya17oo6,10,https://p.scdn.co/mp3-preview/4c9605bb6f9b58856775bffdd468e2fc428f5fa1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,BOY BYE,0VqC8QZDK6mkEmfcwX77Xe,BROCKHAMPTON,1Bl6wpkWCQ4KVgnASpvzzA,BOY BYE,4lRiXGum7cZNDDFLebNjoj,67,https://p.scdn.co/mp3-preview/ae90f58dda6d9bb5be13588f38988a8395024fa4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Beetlejuice,4bzvOWWMfQcXNq77TQOdG3,Mariah the Scientist,7HO5fOXE4gh3lzZn64tX2E,Beetlejuice,37tnM46unPrVR3LUDeDpHh,31,https://p.scdn.co/mp3-preview/d58f16a1a6759075aaf98633f7ea2f3eb7380d5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,D.T.M.,56cRdF1XyxOY1tjjaaiA57,Hope Tala,74CcYmmNeHKe5PrZaISk8e,D.T.M.,7x2S0Te3wioCK1ouviWT84,30,not available
52,Hair Down (feat. Kendrick Lamar),6sq5mqtS3jwJjvBHALknJH,SiR,3QTDHixorJelOLxoxcjqGx,Hair Down (feat. Kendrick Lamar),5w27XydFTwAPV5GjsWya37,74,https://p.scdn.co/mp3-preview/27cc6d6d989c10dd916a6111809c72dd3e48140b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Hatin,3Wk4qCyx4m5aoafRxftp43,Rico Nasty,2OaHYHb2XcFPvqL3VsyPzU,Anger Management,5JbeU5WL1WAGxy1u5fsOmf,57,https://p.scdn.co/mp3-preview/675c312ff0af0dd9d04a21676187524cbcd127a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Ella Tú Y Yo,2Gv7Cm6td3eqNLql0TdtJ7,Girl Ultra,7i1CyQ1fogh4bkj3EPj3ls,Ella Tú Y Yo,1kCigDJGp8e57fwsleXpN6,46,https://p.scdn.co/mp3-preview/69c3205b408cea636158bdca31ce33fecf9dd317?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Lucky,0mYslGmbnkbxuyr0ISIYtB,Choker,5XQRfs0gXs30aWUn1Umves,Forever & A Few,1NHlnn47gB3IrP9fwahcjF,64,https://p.scdn.co/mp3-preview/1e195df2ac55de0d51f5ef6eef9c547a04da4665?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Baby,2nKYHpmwjLaEOXS3o7QMiz,Quality Control,6i392l38cR3uBPF0DbNs7S,Baby,0ssH9wMngti9j73Rb9kcfO,86,not available
57,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),5N1o6d8zGcSZSeMFkOUQOk,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),2Xqs4kJBrZAHN1XVqy9QOK,87,https://p.scdn.co/mp3-preview/dd347607f1db8efba0a312403853ac07ba412ff2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,"U Say (feat. Tyler, The Creator & Jay Prince)",0xYlNtVflZPG1pUbk4qp77,GoldLink,5XenQ7XfcvQdfIbpLEFaKQ,"U Say (feat. Tyler, The Creator & Jay Prince)",5g0xMnMMjem2z6vr3ZXzES,64,https://p.scdn.co/mp3-preview/75101570047f5b4431445a231fb19a018a5e3f4c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
