Modus Mio,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
31,04:30,4SCM1b1vS70TtNQmO7Lo7B,Ufo361,5pVRwX5ZQR7hfJ18w8ZYkl,WAVE,4xPKZiJA8wUMx4n58xhZ5C,74,https://p.scdn.co/mp3-preview/bc77c8a8ed5f1002bbaa9dbcb5512e6d9b5bc71a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Bunte Farben,7emD4r5AwM5a5jU9NZ51FO,Eno,3GBBxBdoolb0B5YizZq9bF,Bunte Farben,3pQtiNNA2RoCUn4up5uwEo,69,not available
33,Junior Neymar,2y2Y9NYYK9pSqbTIaSxu1X,EREN CAN,0UwDgULqasKVT9gjTZsmIn,Junior Neymar,3RyvVfnUma4hVmkXnRQl9N,76,https://p.scdn.co/mp3-preview/a8cddd1b246aea12245993e3be4184fb9ce811d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Bonbon,2KIXeJqdCFV3Y7IBJyqnMV,Kalazh44,5sRQkVexJlax2iISuqL8cV,Bonbon,6fIfiqu6EhqFUVrf92F0mB,71,https://p.scdn.co/mp3-preview/497704935cb8c9679861f4d0335654122c818d49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,UP IN SMOKE,01vR5Z7AHinp9D2wu2BNQS,RIN,18ISxWwWjV6rPLoVCXf1dz,UP IN SMOKE,6Zq6DgJmYHyHtZbM9DhOPJ,81,https://p.scdn.co/mp3-preview/e7e2971fd976911743aa10a3f0937dd44e4745c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Genick,1AGjF8pckOxTGeb5zubyqH,Loredana,2Im8m4STDBosjfmb5hmP80,KING LORI,0m9pMIOYMHxRj6E9IRFacP,81,https://p.scdn.co/mp3-preview/543e8de403cd1af7df2b1131cacdad18db5a97c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,gENAuSo,5nmVf5dSgH4A25qsev28Mi,Dardan,3pjq2pDV9RR6VY55wBjVnp,SORRY...,24hHNi75352fzhqiorank2,79,not available
38,Verliebt in einen Gangster 2 (feat. Nura),3idg3BQI5yc5wnfItAgKkT,18 Karat,5oWFxbBrbk2Mw86PLUg3OZ,Verliebt in einen Gangster 2 (feat. Nura),0TDzdqs9QEBSfnsXQ1Aw0W,74,https://p.scdn.co/mp3-preview/93ef2c06c0f40b0288fab2977d1a1b3f8203d350?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Yeah,7HRuk2l86d8mgdmjhq4ypo,Luciano,3CJKkU0XuElRT1z8rEtIYg,Yeah,1n1OlItmYhBFV4neHli4WE,74,not available
40,Canim,53Gbeez5LVmr3BQENptSFW,JIGGO,5Pmsa0FeoMFWsjhpo2bIAK,Canim,5t7Vvek36WkcmLvY5snLW3,65,https://p.scdn.co/mp3-preview/cd6940f0852e32f552805a0a09aaa735adaea312?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,QDH Family,2lx8Ir3TlI7bcZa3yE7x5X,MERO,5wyWp867LWGjFmYZXVSFnZ,UNIKAT,3BtNr9u1bGdzAZx2wiKzfk,71,https://p.scdn.co/mp3-preview/3cf406640c174e61368efde0b55ebd81d589d2fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Ronin,2l2UsmkfgmRC6fIDwwsiNM,Bushido,3c96G4d2lUOxhomM2mby5S,Ronin,0GR2YD03pf2HgyNoGj4nPd,80,https://p.scdn.co/mp3-preview/402893cf2c647cf3a3b0d8c3e74138de1af00873?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Benzin,2Tidd473qI44pMi5eV3lFg,Olexesh,2Z9KL8Zmqx5Sg3cd7Fldhl,Benzin,2AyPcGGt3FAiJaxOa002XF,69,not available
44,Zeit steht (feat. Alli Neumann),22ET3BvBsXcGiwxy1uXPbU,Trettmann,6QzzeKV0VcnT2vJMYDPuL4,Trettmann,6nNWkAwlHC0yIoKzzl7rnQ,77,https://p.scdn.co/mp3-preview/94dfbe1cd8f61c6ab59b96e165bf37b192e822cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Hadi Gel Gezelim,7qklRDXUBfZK7Lruq6U9XP,Ali471,2hH16roqnQFy0PdSmgZRSJ,Hadi Gel Gezelim,5mP9LQRBZoTSymDDrBlE8X,71,https://p.scdn.co/mp3-preview/8a50a18ceb7f5b26c17b5a40ded79baeee353322?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,9 mm,0f9FAdm6qg2b7vvOhO15bU,Kalazh44,5sRQkVexJlax2iISuqL8cV,Nix gibts Balazh,5xzGE5PRmApLZHQYqcrtxT,63,https://p.scdn.co/mp3-preview/3f3168ee24318490efbb261a5cdbd323f4223a75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Bullets (feat. Kollegah),4hlgquvF9ttbq61cPUl3E9,Asche,4422XPmmt7lJGKjYbYSI6B,Bullets (feat. Kollegah),7GlEmST3n9NUKZsSeZ1q6t,63,https://p.scdn.co/mp3-preview/09e47760fa1fdc187f239c3889e4d97a5539f523?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Kein Ende (feat. Ardian Bujupi),3wneKl0jkJWUdOcEhlwZCg,Payy,5p4B4WSKIGvSfhc90GMxw9,Kein Ende (feat. Ardian Bujupi),0DmSm3Jgyfce6Ip2fyEo9p,62,not available
49,Bentayga,6hnj36hD8C8U1aYPKfTqd0,Seyed,5iJuniDT0LFzXnMoLI1YFV,Bentayga,4ArVTVV8bNXRcRN9jtcJcN,60,not available
50,Fanboy,64M2DKjDqp2plP3JdJ77ZL,Fler,75ctWsRuGXmxMxnFPkuEwA,Fanboy,2XBFG5nH00Had1J1n1SyvP,66,not available
