RapCaviar,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
36,No Guidance (feat. Drake),6XHVuErjQ4XNm6nDPVCxVX,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Indigo,1BfLzaTFI5qKsAAk0Ae6aV,90,https://p.scdn.co/mp3-preview/7c3bc7b4d1741a001463b570fe29f922d9c42bd6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Juicy,7qvsl2pYzrsYgPeFBN5jxp,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,Juicy,4gr1eiDfKDgoXT9HX2EdNT,78,https://p.scdn.co/mp3-preview/ea22758b8b6aecceb7a2c30b9b2c0807a81d362a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Self Control,6kyT7ubem08Egg9a8f77OL,YoungBoy Never Broke Again,7wlFDEWiM5OoIAt8RSli8b,The Continuance,2I9XHDB70SfH4Kkjakc90X,80,not available
39,Mood Swings,2xE16muNCmhZwSOv3i1d1H,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Mood Swings,0ewO3paYhoJwMGX1Yjyebw,82,https://p.scdn.co/mp3-preview/6624c5f2bd5d29d8ed40b4b65ec97ffc178480f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Mac 10,4e34Qq2lkp92egwgjacVcT,Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,Mac 10,2HLwLpyTKv5C2ezhxYuQ5U,78,not available
41,Broke As Fuck,1faIb3PPSzEifCHUOJ691R,YBN Cordae,0huGjMyP507tBCARyzSkrv,The Lost Boy,6Pb7PMZtW0fuEM1lCGvCDu,79,https://p.scdn.co/mp3-preview/26b166ec6ed2cdf881dbba5045945529b64baa12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),5N1o6d8zGcSZSeMFkOUQOk,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),2Xqs4kJBrZAHN1XVqy9QOK,87,https://p.scdn.co/mp3-preview/dd347607f1db8efba0a312403853ac07ba412ff2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Through Da Storm,3NqCEpT8xsHdzpiRlM1kpS,Polo G,6AgTAQt8XS6jRWi4sX7w49,Die A Legend,26ztFK3E69j5THJQdyxC5w,80,https://p.scdn.co/mp3-preview/8c8da4573b582381de1d6e6b78eb55e6507237b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Satish,4hbcs8vaamKTPevPIJsY7N,Tee Grizzley,6AUl0ykLLpvTktob97x9hO,Satish,1Qs0qbWADzRVQ7MxD5MvZe,78,https://p.scdn.co/mp3-preview/8c1731e404bd42eb549309eb73ecb477c1f297fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Bezerk (feat. A$AP Ferg & Hit-Boy),2B9wgj9XzbJZLty03PRbVo,Big Sean,0c173mlxpT3dSFRgMO8XPh,Bezerk,6UgZHNJFfmKLSGLuW9T114,82,not available
46,Pose (feat. Lil Uzi Vert),6e9biVAugkOfydEN8OiJpi,Yo Gotti,6Ha4aES39QiVjR0L2lwuwq,Pose (feat. Lil Uzi Vert),6nIe8wxpDcAzUJVj4v2v5r,77,https://p.scdn.co/mp3-preview/a4552ae3bf2deee5fe177fa4c63529ffd037a35c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,B*tch From Da Souf,6tLWt7gkvvTSjS6OfJjiyJ,Mulatto,3MdXrJWsbVzdn6fe5JYkSQ,B*tch From Da Souf,5Ux8ZuXz6ojbqiSf2y9iHw,68,https://p.scdn.co/mp3-preview/b1c1118ab64ac1469014a88331847fdf7cdf6651?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Babushka Boi,643PW82aBMUa1FiWi5VQY7,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Babushka Boi,3zOkSAbg9o7gQ3yXtZhx5v,84,https://p.scdn.co/mp3-preview/831dae9f38d24f6f02f126326882e86f6916847f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Tootsies (feat. Lil Baby),4MkMM6WUqkFeCLDJ4bhVpu,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,Tootsies (feat. Lil Baby),6LphJF2mfzJZ2QezGHs4q2,64,https://p.scdn.co/mp3-preview/3b656b3f835e939ebde5953a33bd0fcfd8375651?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Laneswitch,56Sng0NtW0YYy4Edtpybm8,Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,Laneswitch,3dAesOchwksFPoWDekVIhd,74,https://p.scdn.co/mp3-preview/cde90e512924b1f309ca1f2fc34be3bdd9343e8a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
