All Out 60s,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
50,Proud Mary,6mv76kovZyVB0UHbqUsee0,Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,Bayou Country (40th Anniversary Edition),04CGA9H5xjYGnGMB8cLYRv,14,not available
51,Waterloo Sunset - Stereo Mix,6i6vTovzDTGf6AQp96YwZK,The Kinks,1SQRv42e4PjEYfPhS0Tk9E,Something Else By The Kinks (Bonus Track Edition),3M3JjcA8YcJDKl0ktMOPQW,13,not available
52,I Want To Hold Your Hand - Remastered 2015,4pbG9SUmWIvsROVLF0zF9s,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,1 (Remastered),7vEJAtP3KgKSpOHVgwm3Eh,76,not available
53,The Boxer,76TZCvJ8GitQ2FA1q5dKu0,Simon & Garfunkel,70cRZdQywnSFp9pnc2WTCE,Bridge Over Troubled Water,0JwHz5SSvpYWuuCNbtYZoV,72,https://p.scdn.co/mp3-preview/ba833158dd80b316a9a108b1578fe1113b931132?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Wichita Lineman - Remastered 2001,6V9VCm1zOY2lGR80RehJ9i,Glen Campbell,59hLmB5DrdihCYtNeFeW1U,Wichita Lineman (Remastered),056tSaBR2WyN1nnmfIzkEE,62,not available
55,Save the Last Dance for Me,391TUcoPonqYykPkSZ5Z9U,The Drifters,1FqqOl9itIUpXr4jZPIVoT,Save The Last Dance For Me,6sWL3HHXGkqlST0rfWXvBU,61,https://p.scdn.co/mp3-preview/155cf0b2ea496dce0fe52b0657f209e042aae7f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Gimme Some Lovin' - Single Mix,0g6UcrVsACnRJyTGX6uSHu,The Spencer Davis Group,3i9hP422d2KMjaupTzBNVS,Keep On Running,3Z0XNzsJC1cY6szFkxVE1h,13,not available
57,Everyday People - Single Version,4ZVZBc5xvMyV3WzWktn8i7,Sly & The Family Stone,5m8H6zSadhu1j9Yi04VLqD,Stand,7iwS1r6JHYJe9xpPjzmWqD,65,https://p.scdn.co/mp3-preview/12c3a92b00af4a3b3f24bc1173413b7af6724ae6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Only the Lonely (Know the Way I Feel),2YDfRJp5Hth6K2pHXdHNZt,Roy Orbison,0JDkhL4rjiPNEp92jAgJnS,The Ultimate Collection,4EpWWMjlTMRrZi0zLH1SwX,48,https://p.scdn.co/mp3-preview/386806026555492725aaa8ff8dbe5e0ac3381fd8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Massachusetts (2008 Remastered LP Version),1mBPlknQe00PCd7R9g34ix,Bee Gees,1LZEQNv7sE11VDY3SdxQeN,"Best Of Bee Gees, Vol. 1",0YD5pkRnCzXeCM2z8YlvjU,11,not available
60,Eight Days A Week - Remastered 2009,1Dg4dFJr3HW7sbA7vPejre,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Beatles For Sale (Remastered),1vANZV20H5B4Fk6yf7Ot9a,66,not available
61,Honky Tonk Women - Mono Version,3RZMzCvYsmJ0u2ioKTOsmJ,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,Hot Rocks (1964-1971),0aqZJlugIkTUWW1sa4BANp,68,not available
62,Everlasting Love,2Rp4qTPWa91ctCSq0pu3zv,Love Affair,7aXDGr3cUBmH2Kx1yBC7Ux,Pure... '60s,3cceuam4ZfqSSC4uVchxvx,52,https://p.scdn.co/mp3-preview/6d6438f4dd433ad753b4c9f6c17bfe4df7f60b1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Baby Love,5uES1C2NgkdrNHiCwf9jRr,The Supremes,57bUPid8xztkieZfS7OlEV,Where Did Our Love Go,05pI1Rx1HQ4KA0a0e3PJlV,71,not available
64,Sweet Caroline,3zByVQLvdXUaDTubfWkpCk,Neil Diamond,7mEIug7XUlQHikrFxjTWes,Sweet Caroline,3aLKBtYt2B0XdLaTtBzF2n,22,not available
65,In the Midnight Hour,4Px3eyuChcQdX1GXytgxF2,Wilson Pickett,0N5PyKJzS3M1XNlaCL7bbE,The Exciting Wilson Pickett,3fxWzXNMhTz01uShzMARnm,46,https://p.scdn.co/mp3-preview/8c46bc43aaa34f8a0a62740de7d312521ae37d6d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,This Old Heart Of Mine (Is Weak For You),455HSLQfOn9vxG6UjzoTWw,The Isley Brothers,53QzNeFpzAaXYnrDBbDrIp,This Old Heart Of Mine,0TWtsGPvmioByGsm098Kh3,16,not available
67,Dancing In The Street - Single Version,32k7kVzz4SpmI7Q5xI856l,Martha Reeves & The Vandellas,1Pe5hlKMCTULjosqZ6KanP,The Ultimate Collection: Martha Reeves & The Vandellas,0kvY6WYTWWJXQnesQRJZUZ,15,not available
68,The Weight - Remastered,0sDqo9UPzPUtu9wEkI3zRB,The Band,4vpDg7Y7fU982Ds30zawDA,Music From Big Pink (Expanded Edition),0nuPXgAXAfPmz9AW1PPrlk,21,not available
69,(You Make Me Feel Like) A Natural Woman,5K09WxKdlkroDyEVyOSySy,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,Lady Soul (With Bonus Selections),7lEOKZaOpqP70UYqdLPejG,70,https://p.scdn.co/mp3-preview/5a75bcabe432f6ebf029e246d5d1ec663bba6156?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Itchycoo Park,0fYgtNCNCjFDeJWTIMukNU,Small Faces,1YqGsKpdixxSVgpfaL2AEQ,Small Faces: The Singles Collection,36kTs3PivuoQFTz102LcCa,44,https://p.scdn.co/mp3-preview/7ef0dd0149a8b473e39f0f911c806bf9a995c4ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
