Gegen den Strom,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
42,Enough,6XDOFMTKoydw1z91btaNqk,Aisha Badru,3vsVCHUe68gqUMIZwaVUIK,Enough,3eEjPpmaN2t52BwaXnEgVX,42,https://p.scdn.co/mp3-preview/18a392255dc4504f8964a6a917a4c315752dacab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Mars Mission,5GDtiMZfvmnl6P2rVB0x6O,Andrew Applepie,5BYcwjrQth7em7maAt0yKE,Earth Ran Out Of Disk Space 1,2s3PW3ADhsx4VZkP7L93nr,36,https://p.scdn.co/mp3-preview/be329617a82cf9bcff286f22b80326f9201f833c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Nach Hause gehen,4O9U8kvRw2dGXoJHvVexhp,Wanda,6Kg9EvjSnEm5swmrvWCJyB,Nach Hause gehen,5SOQlEXux7B6uefFxfioNY,44,not available
45,A Wave of Goodbyes,0NgZyIvIXc9Ze9BOkJtLhG,Camel Power Club,2ziSUHAT6LbHKCJIlwHhDG,A Wave of Goodbyes,6rI6UtlJWYyVxvEPe885UK,35,https://p.scdn.co/mp3-preview/efc3a2b7615623d1d023f73203fe2904344a86a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,A Bridge of Starlings,5VihTGTfGNTlHDx70Jr5wo,Ben Osborn,7xl2ryRjHsbvCfcAt30QUS,A Bridge of Starlings,0s73fOw6Qv216qsZqlCEfC,26,https://p.scdn.co/mp3-preview/010bd53b5f4c217c4fc670674aead43621b99877?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Erase You,4YAlzVwHWGaPYIkuMMGy1c,Vök,7oDTyDfeA2JE2jUZztkBj8,Erase You,2uYPm1Hbm7OEGl8trLwn0K,3,not available
48,Bei Dir,6uVEu6kmTTCUPRGk5XDsoY,KUMMER,2TiXt00aPsggbxZxL1RaG7,Bei Dir,0Eeiv0Chbt4XRSoooGkGjb,70,not available
49,Emily,3VY42CX63Kshy77EbM6Zrr,Tourist,2ABBMkcUeM9hdpimo86mo6,Emily,3df1BIiTr2gxRch1Et9LaB,55,https://p.scdn.co/mp3-preview/580635f610783cb066e53a46841ad7ed63951f84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Money,0PHfwQr1A4JTA2FBpK6cQN,narou,4WZfEIgHLAMmAxATgVjspH,Money,6eJka9N7hNYghl7RoWS0Yd,35,https://p.scdn.co/mp3-preview/681a347ac44ea8cf8d2ee1667d7f9f98c770a110?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Avicii,4ziTMcQQWz5T1F7DXsY6QB,Thees Uhlmann,4nBVmMKK89dAUaanGPBgpY,Avicii,1nqcTYpwGCJ4LZmbQBsTtx,49,https://p.scdn.co/mp3-preview/ebd93a3075aa96cada25e4c4e6ce75cfa80c05c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Winter II,42Rw1XGQXm1oOxnB3NlgvP,LEX AUDREY,5cGgrVxs4xKhhpEjuAxf73,No Intention of Changing the World,2pVf3D3hnkSgZYItJSMq9M,33,https://p.scdn.co/mp3-preview/eed39287799d83de882df90f6a6e439d3d49ce0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Der Weg hinab,6g5pNLpUyfHYtBYnshC3Au,Rocko Schamoni,1Enw1OhPzkUmYl8daiaBtS,Der Weg hinab,2sEgROkfakXTAlKTxiRDmR,27,https://p.scdn.co/mp3-preview/234f8fd4641ab1e00570325c306fc1467467596a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Believers,0Hjcj5P4ZKvVY7DUjU5ILC,At Pavillon,6cOhhwyjb3UD6DSB3z3WIc,Believe Us,1SqJ1wIhpb65LhuSZMjom6,34,https://p.scdn.co/mp3-preview/2658bb2edbb162a239dd077e9c313a9c1bdf4509?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Ferrero,4aLrqv1XbApnl8PywMQbi1,Chai Khat,6kpXGU7MLpmSFn2XSXthBx,Ferrero,75sqlTMOfAaxswXOZtQ4wA,25,https://p.scdn.co/mp3-preview/dea0697d52583bcec4ceb0444a5901e941f153f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Bang Bang,2JPFrY4uQ2WIFThXoYpmzr,AnnenMayKantereit,23xqmJEN3oVxwzqtNIyR5m,Bang Bang,4oOCxjoU3V6GKU1uePmGEP,57,not available
57,YaYaYa,2f7AYSEsmlHJHpkUQk97po,RY X,2KjAo6wVc9d2WcxdxSArpV,YaYaYa,6NSX0vUXoW3DZyHGGHaRSX,33,not available
58,So siehst du nicht aus,4RDlaw7MZDC5WGbs5doxCa,Die Höchste Eisenbahn,2NnrINoqFoPEteJ6m1TR72,Ich glaub dir alles,25zMVZBvlHmirxo0voJF8H,44,https://p.scdn.co/mp3-preview/6fc2ce4dc3185d17846d30adf5af0ebd6825ef79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Perfume,65sU8P8AF8owabvNVz5Uoi,HYMMJ,56xfHSJ3RgYdHHupuyL2ia,Perfume,1n7wqQuRF2NwIGIv53zuGy,27,https://p.scdn.co/mp3-preview/cb7aa9c24a2e12cbdd4a69afecc20aaeb5f4598f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Easy Way Out,6soNoFe7xhheQKQXPU9LpX,LEISURE,7b04D0yLktCUpvxQBhmG7R,Easy Way Out,6HXN7RS2g98CgLSPhyTFJb,33,https://p.scdn.co/mp3-preview/f098e9fe7bfec8edd8e1bd431f7c46e9679df90d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Flower - Radio Edit,0vZBWHKkhVVGTb0lKcIXUV,Gospel Dating Service,5P9Y6YrGik6EVQTb75x3i3,Flower (Radio Edit),65v7GK9Ousu4Ael9Un6DPZ,24,https://p.scdn.co/mp3-preview/7c9187050a0a023e5de73d050eb2b034af8353e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Top,6AMvkm7NKeT3JlRHgs17Bi,Faber,0k70gnDBLPirCltbTzoxuM,Top,4yVmXQ8paqgQPkJnHkABYG,57,not available
63,Disteln,0YbSWtJdo0deLaq66BAGFs,Neufundland,2EOZCoVCpBwgOSP09Cg551,Disteln,3xIgy4CzPPR3fW4Pl4ecXo,27,https://p.scdn.co/mp3-preview/c95ee1dc04fd29faef568e5115d8af2cffbbdb1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Never Die for You,7dnlnK1s5HPbQDZOtVEszA,Diskopunk,5Ck4KWOZsbrSQpiLimooDp,Diskopunk EP,1C2wZZ4GKNtQyGN9c60dp8,29,https://p.scdn.co/mp3-preview/e68572566114c69fdfdc26432b053a269992c25f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Falling Back,7iA8BlFVOityG3DGPExJtx,Roosevelt,4AQrqVz6BYwy29iMxcGtx7,Falling Back,3dRyi7KJOlQxfzA2hrMjJe,56,https://p.scdn.co/mp3-preview/cde5bc2740e251b3f0c0d3f5eff654a9b9a54a6b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Wolken aus Beton,67OnzwEI7yKoxj04wL1c42,Enno Bunger,0aiAgFPJcZggIkSUGDFdkD,"Was berührt, das bleibt",6cpRUhuci9y1Px0aqUv5to,40,https://p.scdn.co/mp3-preview/2a928288a6cf55ac386f04df230cdcb87177ad0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Pretty Sure,04qGGETPrwsKlDxnsXq8Kd,Kita Menari,1noOoapXyyCG1nYTH436qw,Pretty Sure,1QwvFP4NTFotRNokGV8IyX,25,https://p.scdn.co/mp3-preview/69abc5b9ed23622ece9829b110f2f12e4ad330ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Glowing,5a1jnECEInfdRnxIka7OlE,Those Goddamn Hippies,5GwTmLS15PuaqFZDawkU7V,Glowing,5p41k7rgum6E6oMeC4qz2N,24,https://p.scdn.co/mp3-preview/300817ef424edc40e7fd3c8f21f96293a1f2bd12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Mango,3lGEWmq0S5bhAuJDgTd0Rj,DOTE,0OxUICX98hef3SYXRXZUNi,Mango,1vsNd80TUxZX2xoZ3C1YQk,35,https://p.scdn.co/mp3-preview/6696681f69ec73f9df71f602ea6e02a9c6f59c05?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,count on,1A4tabNlyLKLOHQW2XpjaU,Shallou,7C3Cbtr2PkH2l4tOGhtCsk,count on,3Crvq8uqSTfvnn4IbIzAHY,61,https://p.scdn.co/mp3-preview/b9244000b7a5bbae408242a7e978680236763b43?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Ghost 2 U,6lg6fVmb52zeBbWxR8cel2,Jinka,4QQ7oTTczMTot51xhy1giT,Ghost 2 U,0nZpXfmQylAbVduwuuXzoq,25,https://p.scdn.co/mp3-preview/1e2a6a1b9cdbcc941223c7a7dea7ac912020cd20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Howl,5Gu9NqnVHf7mmlCWYb25Ix,Yoste,2wwZDwSBHaVaOI6cE2hfhf,try to be okay,6ZEaeupABwXllQb1Q5DYHv,53,https://p.scdn.co/mp3-preview/2fa2f058db3b1ec777abc4beadf08b86b1f14061?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Is It Anything?,7L9IGgZekAzMtRSnx25jSj,Aaron Taos,3AcBSoCVhxILXJnfLcJb66,Is It Anything?,2xxfjKdVRECNg1lmvJeO1U,6,not available
74,Maybe You're the Reason,7xKjdvYaJ1tvwNXRTAZs78,The Japanese House,3IunaFjvNKj98JW89JYv9u,Maybe You're the Reason,17KlhxChcvEVCiYqQ54q34,45,not available
75,Visitor,6KuM30lJQ4cji1C0OFb6HE,Monumental Men,1g086QeJJCdi3HfyfpU22A,Visitor,459lPMGLgDa4gZ5UC7fdw1,37,https://p.scdn.co/mp3-preview/65658f5745cbf18af7ce58473725d299ae82767a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,There's Still A Light In The House,6fYjH3nS3NRxBRmIXsbDtX,Valley,7blXVKBSxdFZsIqlhdViKc,MAYBE - Side A,3sM4jQAMDikT1KDdXnykgN,51,not available
77,Might Be,46wVUNXaNhWm2lUvrN30MO,Tennyson Wolf,76j5XafXREO5PqTNWY3bHv,Might Be,5K6IcxceGYN1AyUAzYuUHn,21,https://p.scdn.co/mp3-preview/98d226944cd59e60a773891f3ff2ebe4f907d12f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
