cozy chillhop beats 🍂 lofi/chill hip hop beats to chill/study to,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
90,Someone,0kKCw7Pz8sUbmwGlwePBfQ,Psalm Trees,5pmXkV6A8yQdoa64xzvZ0S,Dreams from the Shore,7MgdBdKl1aUb0goNIokTn4,29,https://p.scdn.co/mp3-preview/9c3800311755a4bf57294ced372eb8a604b23f4a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Drive,1aUk6SYJq9P9rAJDasqVg3,Slom,0UswO8FFKS2tv6dzyNyJLD,Alone,5eWt3DeiqNPEZguSUJ81YM,29,https://p.scdn.co/mp3-preview/d0459e51a0e5a3153afe6c09a793c82e431d46af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,j walk,4rZgu7tHfo8j55oVbKinc1,Ian Ewing,6QrRSfwkZsixVIgDRhpToh,Lakehouse,65Rpb9q7gbq2H3GnjBZ6Gf,25,https://p.scdn.co/mp3-preview/d2f9623f9b3cc661c2d0a4eac34e7eec9f4465b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Looking for the Sun,7evrORO6fJUEKjm6fYYr8o,L'Indécis,5p1ichthTka1KT0iUvrlIu,Second Wind,0N3uT3w0Bn1f6wlrtHTcfM,35,https://p.scdn.co/mp3-preview/51798c763da4a272d8d2eb30c0ffbe80a4705bb8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Hummus and Bread,6V3RKx3TCAo9Yf6VDYM4i3,Yasper,1axdL80XjVHdInGsJbURyt,Build,12GNXzHWdzTfUcW4JYZIvd,38,https://p.scdn.co/mp3-preview/be4ad85cc5f3b5c3b1163c758663a4e26dc7f0f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,McCarren,3zIziTILgfatE6hMRHJoS4,auv,6mmGVOvxusEdkxXmPg0Wlm,Chillhop Essentials Summer 2019,0xqLG9KaR7gw3Bkc5Bza1v,45,https://p.scdn.co/mp3-preview/1ea053e7059a31ba0f26035e0c4a7bfa907100cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Nightwatch,3UILxt9V6DnC29eQ46zkrt,Yasper,1axdL80XjVHdInGsJbURyt,Build,12GNXzHWdzTfUcW4JYZIvd,40,https://p.scdn.co/mp3-preview/314f2f59f44e2261219ae904dd2cb9f414ee96eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,FrEsH,3PkDE5z7x4PW15nZI7x4B4,Middle School,6AjXxPL8C44rc1yJdi6RZB,The Finish Line,5e5ZeUKvE0Iuqvw6XPa0Le,41,https://p.scdn.co/mp3-preview/129915c1e0150b70c1eb282f474e6d8c09442a4d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,Seoul,0MctAGNnY2d6BBqfSyc0om,Slom,0UswO8FFKS2tv6dzyNyJLD,Alone,5eWt3DeiqNPEZguSUJ81YM,23,https://p.scdn.co/mp3-preview/228bcc9ac043af67dac135357549dd99365e1bcc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,Sand Under My Feet,0MDxi9pB8WhAN0CowRHxOf,SAINT WKND,4vO1cl2ndGrUPSl6IYTHs6,Chillhop Essentials Summer 2019,0xqLG9KaR7gw3Bkc5Bza1v,55,https://p.scdn.co/mp3-preview/2937cfe3180190e882a94346750f164f8e6410a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,Playful,311dPlWgkEnpyTIGVFWxlK,Yasper,1axdL80XjVHdInGsJbURyt,Build,12GNXzHWdzTfUcW4JYZIvd,43,https://p.scdn.co/mp3-preview/1c74e7482d2ec9cf2cec702d95a3290c2866fa4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
