Chill City Nights ♫ Lyrical Chillhop Music,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
90,Play Dis - No I.D. Version,6mB0ZEEXD0MIx71OHTJgo3,Saukrates,4xvUHg4mIFbXo2caP0PO73,The Underground Tapes,1SFbOwVUkUwtkO2r47YX3j,16,https://p.scdn.co/mp3-preview/2dd39616182a39b162a18add2b6911008d52416c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Brand Nu Day,2TdDwHRDf3UamxQIh5SLrQ,Lord Digga,2dqNwauc4KgdSei6yQTYiA,The High Plains Drifter,3ROwZZ2vCZxz74UbxYz2KV,19,https://p.scdn.co/mp3-preview/1ecc95179aea992aa19222c85d3cf92b93d5ade6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,The Everyday,3dlsfeIOQTm3txvrj0CwVQ,Easy Mo Bee & Emskee,3LOI09MhHJUuspzswJOa09,Two for One,5OfYFfCtQsIjsJEUElZsw5,12,https://p.scdn.co/mp3-preview/eaa94af550b358a878832b23940010bcff77a530?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,GTSA,65bcaAKkX9HsIfdNmqGeWL,Lord Apex,052uglZ4PgpVs8YxEOViXz,"High Stakes, Low Ryder",5QBnvPniMDCrcPu3iShmlg,17,not available
94,bentely.truck,57R1HjImUucOEXR4ViQdmb,J.Robb,2DfpfU9DpRLC3EuWLKyy4m,monetary purposes,56c43iQjpIRkjPWxjTJVnF,20,https://p.scdn.co/mp3-preview/4e1a7a2682f69b98858a7fd6ffc123dc7e92d2bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Heaven,61I14mQFghcIJMlJAGe5MA,IAMNOBODI,2DLlb2Se6eF0mMTYffyAcn,Heaven,5IkgmLrvrSkw6vtXSBtPsb,39,https://p.scdn.co/mp3-preview/9434d842aa2618f43c643970ac9294219923782f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Illustrations,2fkyaIibLH6gaYscHzYSEq,Ill Biskits,6msysuuIUtVyTcgOpyz0tS,Chronicle Of Two Losers,3oQ2XwZlBGeBHunTbHY5ji,16,https://p.scdn.co/mp3-preview/00863f07dfb2f81ebc328582194a41f0d878f025?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,Pardon Me,2F8lizZajcabuhSNgdY3pM,Soudiere,01oeaKF2UI2pmIHljhewRN,"Young Pirelli, Vol. 4",361SpKDsdWd2h9bfXuOrMA,35,https://p.scdn.co/mp3-preview/017fd2e10a0978ea24e967beb19296228cb18952?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,Dedicated,5Qp4onPqJ8UQ80e3wxw5w3,Funkdoobiest,0pbj7bsLCiQ5f8P9mFnuPN,Brothas Doobie,33SkKSM72vyJvx5oc13351,35,https://p.scdn.co/mp3-preview/9e6139ebe215d06ea2f587365e8d144a65c8ed82?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,Give Thanks (Sound Providers Remix),1SDphe6FjJOc0PBzTA6jnO,Various Artists,0LyfQWJT6nXafLPZqxe9Of,Kero One Presents Plug Label,1jTFQCqUBwhCJJpVgfe2ip,20,https://p.scdn.co/mp3-preview/a5a4e474f472bd59e9056347a5d871dc134c934b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,"Yagotta (Raindrops Remix - 12"" Only)",6Jfy2vxdLhEgexh22XLqNe,Various Artists,0LyfQWJT6nXafLPZqxe9Of,Kero One Presents Plug Label,1jTFQCqUBwhCJJpVgfe2ip,13,https://p.scdn.co/mp3-preview/0b1a5feb69f81629777992ca46806244c77efe73?cid=fa83a2fec7c440b7a2795d600d6b2c7e
