Sub Pop: The Grunge Years,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
83,Little Joe - Remastered,2QJBB1ULdezcwhK3ZKQcyf,Soundgarden,5xUf6j4upBrXZPg6AI4MRK,Screaming Life/Fopp,2yN7nOorUYUHWZdbZLeOB1,23,https://p.scdn.co/mp3-preview/276872816ff4cfb5334be863cfae2fc43eb10239?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Hand of God - Remastered,2aGCCYWFaf9fHtVv9OxYBz,Soundgarden,5xUf6j4upBrXZPg6AI4MRK,Screaming Life/Fopp,2yN7nOorUYUHWZdbZLeOB1,23,https://p.scdn.co/mp3-preview/1ae7de4edd8d098517c0eb602cd8cd4092833008?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Sub Pop Rock City - Remastered,353tG6zuOSRk9McBBvrJ9t,Soundgarden,5xUf6j4upBrXZPg6AI4MRK,Screaming Life/Fopp,2yN7nOorUYUHWZdbZLeOB1,24,https://p.scdn.co/mp3-preview/5ae591507d8b579d9e364fc331e98ad5a1e707fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Fopp - Remastered,7IDAWTMKBNACCLatbTh6T4,Soundgarden,5xUf6j4upBrXZPg6AI4MRK,Screaming Life/Fopp,2yN7nOorUYUHWZdbZLeOB1,24,https://p.scdn.co/mp3-preview/bc93cd38fd465aee56314db651a1f7ea7331bbe0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Fopp (Fucked Up Heavy Dub Mix) - Remastered,189WhTLTjqKpnpsbf31bmk,Soundgarden,5xUf6j4upBrXZPg6AI4MRK,Screaming Life/Fopp,2yN7nOorUYUHWZdbZLeOB1,20,https://p.scdn.co/mp3-preview/46513657b005845d2f4d53350ff68c89901e6323?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Kingdom of Come - Remastered,5IahR2gOHNzlxae12d7pVC,Soundgarden,5xUf6j4upBrXZPg6AI4MRK,Screaming Life/Fopp,2yN7nOorUYUHWZdbZLeOB1,22,https://p.scdn.co/mp3-preview/d574cfeea1956c944c1ab9255fbd9c28dc5553b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Swallow My Pride - Remastered,4JW0nXiWuqAdmXKToJQ8fK,Soundgarden,5xUf6j4upBrXZPg6AI4MRK,Screaming Life/Fopp,2yN7nOorUYUHWZdbZLeOB1,22,https://p.scdn.co/mp3-preview/112c598a8a0b44c2fbb9312b1006ba51d36a53df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Lo Boob Oscillator,2GBHOI99bnVDozc6wCI5XX,Stereolab,3Rj0tDHoX7C5NFq5DKIpHt,Lo Boob Oscillator,2rBU852Q7cWZgDNxnz6JNm,0,not available
91,Tempter,4xedL0gWJ6eFmjA2mWfn91,Stereolab,3Rj0tDHoX7C5NFq5DKIpHt,Lo Boob Oscillator,2rBU852Q7cWZgDNxnz6JNm,0,not available
92,License to Confuse - Remastered,0f6JPR4Rswzvqt7QC8JeSl,Sebadoh,2wrhBKGC3DTNNNDRJPaxW6,Bakesale: Deluxe Edition,70XjdLKH7HHsFVWoQipP0T,0,not available
93,Careful - Remastered,4RK534uGX3Gekmol99apCB,Sebadoh,2wrhBKGC3DTNNNDRJPaxW6,Bakesale: Deluxe Edition,70XjdLKH7HHsFVWoQipP0T,0,not available
94,Magnet's Coil - Remastered,1Whq1SlS4Q94jJ6kQ2Czk7,Sebadoh,2wrhBKGC3DTNNNDRJPaxW6,Bakesale: Deluxe Edition,70XjdLKH7HHsFVWoQipP0T,0,not available
95,Not a Friend - Remastered,4LoMnSX8JaDaja8ghwDMEG,Sebadoh,2wrhBKGC3DTNNNDRJPaxW6,Bakesale: Deluxe Edition,70XjdLKH7HHsFVWoQipP0T,0,not available
96,Not Too Amused - Remastered,005XHfrL4bVKOiUFX1Uu4z,Sebadoh,2wrhBKGC3DTNNNDRJPaxW6,Bakesale: Deluxe Edition,70XjdLKH7HHsFVWoQipP0T,0,not available
97,Dreams - Remastered,6tINSlIGdltytXoC3mTL3Y,Sebadoh,2wrhBKGC3DTNNNDRJPaxW6,Bakesale: Deluxe Edition,70XjdLKH7HHsFVWoQipP0T,0,not available
98,Skull - Remastered,07G160yYZD2W2gLcla1lmF,Sebadoh,2wrhBKGC3DTNNNDRJPaxW6,Bakesale: Deluxe Edition,70XjdLKH7HHsFVWoQipP0T,0,not available
99,Got It - Remastered,03j87eOYh3wAjbZW8WkCSm,Sebadoh,2wrhBKGC3DTNNNDRJPaxW6,Bakesale: Deluxe Edition,70XjdLKH7HHsFVWoQipP0T,0,not available
100,Shit Soup - Remastered,5B5IMi9PbY5JspX9KYSzQa,Sebadoh,2wrhBKGC3DTNNNDRJPaxW6,Bakesale: Deluxe Edition,70XjdLKH7HHsFVWoQipP0T,0,not available
