Alternating Currents,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
38,Paper Mâché Houses,1VOfMLNjH8zw08r30hyHHo,The Weeks,3zE5jV6Uw9hhdWCXM8hS3j,Paper Mâché Houses,6TTQycfvuXhFpduigAIoYw,34,https://p.scdn.co/mp3-preview/6a6f1244082d81ec3880880839a744493ec41330?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,One of Us,7CMxksycvvl7dg12SJXVaO,Liam Gallagher,6sN51vEARnAAdBw1IKZ8Q9,One of Us,0MhkVEeQASqX4Vg0AUOitn,64,https://p.scdn.co/mp3-preview/7294d4a9c09f7f901f22b9c0e288a168dbfee845?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Do Me Right,4si2egyVFj30L8gLvjuA6n,Hollis Brown,4Ayh1SXnVpYPCVR4190RXw,Ozone Park,7JDwHZPUc5AAxue3FT2Gat,39,https://p.scdn.co/mp3-preview/b5fc51b2f3ba56869cd7c178553e95b60131a80e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Charlie,6SPOM20nWbQSBvTwzgIzqg,Mallrat,4OSArit7O2Jaj4mgf3YN7A,Charlie,5p3g2nCVAeUIXzhBtTYWux,63,https://p.scdn.co/mp3-preview/5084c5cc78953d87c394a040aa745b6ed83ee03d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Some Girl,3Cn324qhZyTLKGgPeYPccP,Andy Grammer,2oX42qP5ineK3hrhBECLmj,Naive,20mlgqmD6YJwkNuAfLRcDC,60,https://p.scdn.co/mp3-preview/2ef86221d319a53e0f510c2a1b7db59f2ac6b179?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Eagle Birds,04mV3n8ZNGHvhxdJSyxE9d,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Eagle Birds / Lo/Hi,1hbTDW9YTpIF1gQX32U9vS,53,https://p.scdn.co/mp3-preview/2cd052b2b2483ca0ef6eefdf4c3c1a6de0b61184?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Daphne Blue,3GzZfni9NCD54x1prgpIYl,The Band CAMINO,6d4jrmreCmsenscuieJERc,Daphne Blue / See Through,2B4wLLLPV8rAnpmdBAykxs,47,not available
45,It Doesn't Matter Why,26rVYAVAj6AsH3TvHE3Yxc,Silversun Pickups,6qyi8X6MdP1lu6B1K6yh3h,Widow's Weeds,1r1tRhTrJVRtpFpDoOywYc,47,https://p.scdn.co/mp3-preview/23e63551d991bb40f20fec7d603d1e66b7ebcba3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,The Hype,7I3skNaQdvZSS7zXY2VHId,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,Trench,621cXqrTSSJi1WqDMSLmbL,73,https://p.scdn.co/mp3-preview/854ee3b17e484b0727dffe62e50f8549ce66ffee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Strong,1P75eSyKtKY2ZFk9bhDzol,Christian Paul,1Bfi1Jw2HGVbOEjOdtApOe,Strong,2xBjte0BcbTMBh9RNw7pK2,36,https://p.scdn.co/mp3-preview/c05236e4c18e818147994477ad5fbd421b40940f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
