Dancefloor Classics,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
36,The Sound Of San Francisco - Progressive Album Mix,60tsXfCcG6Ljxsr8whOXL5,Global Deejays,5M0Y6NBi3Wfwo2H1gtPl1L,Network - taken from Superstar,3NBCC4dPJwOG5JNCpXUlNL,57,https://p.scdn.co/mp3-preview/ebc48c56fcf9e8e80e9249d90250139dc5a3a9f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Space Cowboy - David Morales Classic Club Remix,6TDLSzbn9DxMxZpeS0ByMW,Jamiroquai,6J7biCazzYhU3gM9j1wfid,High Times: Singles 1992-2006,6ytsKoFtLGNe5rsYoxtRl2,1,https://p.scdn.co/mp3-preview/eaf542dcf227bbdb9752f88ac5b75ad9c8b674e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Go (Radio Edit),6m97Mu089F0rYcvggzwS2W,Moby,3OsRAKCvk37zwYcnzRf5XF,Go (Remixes),56kI0i0Zght0OYNwFwJL50,52,https://p.scdn.co/mp3-preview/48c966fcd44f8a442d476327ff8a24640c4e4d70?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Barbra Streisand - Radio Edit,0XvjOhwCnXXFOSlBbV9jPN,Duck Sauce,0q8J3Yj810t5cpAYEJ7gxt,Barbra Streisand,5ihBBPbPvnQutkSqvDKs2K,47,https://p.scdn.co/mp3-preview/c6ea7197c02430f1c51aa9478be44a5a40ca0192?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Jubel - Radio Edit,58VSx2Adlz83g6YVDdJ0zR,Klingande,1L9i6qZYIGQedgM9QLSyzb,Jubel EP,29EeCNBZxGVdwHUAyos10R,55,https://p.scdn.co/mp3-preview/7df12c3c3edd3f8a30b20214a5bd2efef8ed2d92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Vous êtes fous - Techno version,1bpD8ZWvP7XYI3DHVSPLJv,Benny B,5UH09fEGItBT1759YMWeCI,Vous êtes fous ! (feat. Daddy K),2SHdt4EdgFUbAELM7SiQTc,35,https://p.scdn.co/mp3-preview/99287915476d54651c02a7106c0844073661be33?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Love Don't Let Me Go (Walking Away),6YnRn7r3TnEZmAwT86vhih,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Love Don't Let Me Go (Walking Away),3Xr3qXhwqvsLwuQygwqYTY,32,https://p.scdn.co/mp3-preview/da6ee2e65a4f717730c32e7f106bd0a3524b95e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Horny - Mousse T.'s Extended Mix,0G5N8DyVtVAV8tmiUkfH3j,Mousse T.,5N6EzjkOoyABhNZJggeXi6,Horny,3Hjm7oTRzCNloxI3Dth1oH,45,https://p.scdn.co/mp3-preview/451e5fccbe424d08bb8ef463d45419c191ceaa64?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Let Me Think About It,4LjfIjS8iweFCPdKxLnEoV,Ida Corr,30ut8L4gmEz4vNr1zNhpbh,Singled Out,4nLyl2aEgi2qQrcPiFlmD7,61,https://p.scdn.co/mp3-preview/a46fc92903028c99aee79150ca2286013862183d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Gypsy Woman (She's Homeless) - Radio Edit,4UJ1AKSbXAbPlPVFe66wK7,Crystal Waters,2sd9Q3r0Jhqpe3w9WVuG43,Music For Girls Night Out,0qiop0l73dDZfXckujBG7k,60,not available
46,Ride Like The Wind - Extended Mix,14EmbSFzGojq0y1SzbebF8,East Side Beat,5gTDW3PDk9rwhOv9q50Iu0,Ride Like The Wind,2EZVGmyL5vk2zRBWBMIXEW,24,https://p.scdn.co/mp3-preview/8301e8a48b1dbaf9999bfe646a4e96d6f4669f8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Sexy Bitch (feat. Akon),1B3t5xC2jzTgjDOwawchu8,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,One More Love,6w2rRSUsQk1e9ALB6ybmlz,22,not available
48,Keep Control,2MKtM6VW4tlVf91tar3pPS,Sono,7vBGVjjUKLWS8zLNSYwVVC,Solid State,6neXRnQaxqdJflFy3nYJYq,43,https://p.scdn.co/mp3-preview/a7a053da1c88722d9f74dc567a2b1c9632d83f02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Cassius 99 remix (Radio edit),5NL6WBPlPDfEaJXUDDv7e5,Cassius,4sf3QZW8a3xZ14IGsOAzoy,1999,0hbGOLBd2yz1biUze5qVVW,2,not available
50,The Bomb! (These Sounds Fall Into My Mind) - Radio Edit,4oiJY7sUeg0TTjgLkWPFIq,The Bucketheads,1yjuFciXmV3NaPCzwwHclC,The Bomb! (These Sounds Fall Into My Mind),61BxfS6u08JfsGa9uqCniw,35,https://p.scdn.co/mp3-preview/8a7f54fe9924ac3e8e65a6e6c4a7e8ba26a95397?cid=fa83a2fec7c440b7a2795d600d6b2c7e
