Get Turnt,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
69,Wish Wish (feat. Cardi B & 21 Savage),6pcYAFkGyFRCrmcXk6iauq,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,Father Of Asahd,4vuV7xWL4TDaaO412nbhuK,32,not available
70,Miami,4aalPyjg8pC5v7AQm5HJd0,Kid Ink,6KZDXtSj0SzGOV705nNeh3,Miami,1vZqOUrU5K0cbwZbY7cJ0R,67,https://p.scdn.co/mp3-preview/475c22b49ae0d0f907518fdb484bad7334f26592?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Juicy,7qvsl2pYzrsYgPeFBN5jxp,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,Juicy,4gr1eiDfKDgoXT9HX2EdNT,78,https://p.scdn.co/mp3-preview/ea22758b8b6aecceb7a2c30b9b2c0807a81d362a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,PUSH,0eJiuthkwMbYtPvc2LTFwT,DDG,0WK3H9OErSn5zKOkOV5egm,PUSH,3j2ygRmtQOmIN0qu2tVATh,66,https://p.scdn.co/mp3-preview/58e1af8bd46343a690e5c08c61a70ef467a7fd2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Love Me,7Aem1fAapTdGcHwAYyQYU4,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,Love Me,2mmm7szQmrcm5BpAg0GzXO,78,not available
74,Intro,7tbyiwnLhtKYXNMjCZ60BT,Quality Control,6i392l38cR3uBPF0DbNs7S,Intro,1y1l71S4ZveVZQRuqcZk0u,68,not available
75,Nasty,2jjItCsygxKASceR8hppIX,DJ Drama,5oNgAs7j5XcBMzWv3HAnHG,Nasty,5ZVjkEYRQQLpadUVOd3z1S,66,https://p.scdn.co/mp3-preview/48a70e6694fc947dda775fad75291e1ce4c48f55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Pretty Bitches (feat. G-Eazy & Bree Carter),1DJeN9JIHqYBxw2qKvOOIk,RJMrLA,6kQWPGBItT0oMCHZy3M9DN,On God,5S0kuixF3jVGnvRDdjYVi7,60,https://p.scdn.co/mp3-preview/4c3a15e7575178fb95690c3a74dc80cef7e35334?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Pure Water (with Migos),63cd4JkwGgYJrbOizbfmsp,Mustard,0YinUQ50QDB7ZxSCLyQ40k,Pure Water (with Migos),1ypNy6o0C2ZbuuPPYkavVl,66,not available
78,Welcome To The Party (feat. Nicki MInaj) - Remix,0i56hhAdCCT5KqZIy4pHQ4,Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,Welcome To The Party (Remix),51F2ekuk5qdwFSLFgzq1YL,66,not available
79,BAPS,6VdyIlc9dT5tPamLUNNRNy,Trina,4PrinKSrmILmo0kERG0Ogn,BAPS,3EJAd4wL9en9n6cBU1Ym6y,53,not available
80,Bop,0EzRnjtN5ER0wu1IudNom8,Tyga,5LHRHt1k9lMyONurDHEdrp,Bop,0hEBLa2HOpQP3DhlHbAlHx,71,https://p.scdn.co/mp3-preview/110244c9e05f98a8366295b720016309a59835d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Bussin (feat. Lil Pump),4eZKAB9uNMIG0yNri34PBp,Blueface,3Fl1V19tmjt57oBdxXKAjJ,Dirt Bag,4eAiHYd3nih3os2BqHm0vt,76,not available
82,Sociopath (feat. Kash Doll),4xR7m33ECxSjY1nXyWmAx0,Pusha T,0ONHkAv9pCAFxb0zJwDNTy,Sociopath,3v452sweoHYSYqZ3oVOM7c,65,not available
83,WAM,4uU6WpUiOHLxMzXD7eVzyK,A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,WAM,1opbVvrgNu3y8qFERjLQW1,70,https://p.scdn.co/mp3-preview/58f7f8f8447e3a74874846b0d827defe65a3f680?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Out The Mud,2wZjsbwmWfNVslgV5afl1L,Lil Baby,5f7VJjfbwm532GiveGC0ZK,Out The Mud,1LGwG4vhQIOwCBZhyEtL4u,77,not available
85,Undefeated (feat. Lil Keed),6FZjiSBSQoj1geAgXjvqez,Future,1RyvyyTE3xzB2ZywiAwp0i,Undefeated (feat. Lil Keed),0wWL6KM5LuMupJdO4SGiMe,67,https://p.scdn.co/mp3-preview/fc0f0f59b5ca72df03c1abff303f1d32e6e00f74?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Mac 10,4e34Qq2lkp92egwgjacVcT,Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,Mac 10,2HLwLpyTKv5C2ezhxYuQ5U,77,not available
87,Shotta Flow 3,0OsYwz3SCLD98IvWfdLeRQ,NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,Shotta Flow 3,364MkTsepOdzRrKvSdaAt7,79,https://p.scdn.co/mp3-preview/4a32ec6e1c372672ef54843bf0cf8362f5717086?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Sunset (with J. Cole feat. Young Nudy),3pZO6GoVPeSYDxxsH6vCdj,Dreamville,1iNqsUDUraNWrj00bqssQG,Revenge Of The Dreamers III,2n3quCZ0anEa46j2IveacI,73,not available
89,Lightskin Lil Wayne,1zZEly0sLmyDm75c1pAqYf,Tyga,5LHRHt1k9lMyONurDHEdrp,Legendary,6hHIX3lfGKnZ2ji41YZMVV,69,https://p.scdn.co/mp3-preview/703916daf3602e527bd5c62ebd6a6cd6bba8b51e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Go Up (feat. Roddy Ricch),0cMPXkjXXkMqokO9LIFPFn,Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Go Up (feat. Roddy Ricch),29ljL5QvYMhy07hjzhSG4y,68,not available
91,Water on Water on Water,5YGhm6pI5s0uxJ2DwrDYqO,Young Dolph,3HiuzBlSW7pGDXlSFMhO2g,Dum and Dummer,5QNIFVnhZn80T3EteDzvgW,71,https://p.scdn.co/mp3-preview/66402975f89513456bc02301635a6a2a4ed166f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Party Bus,2RPNu8WTEHuInQJqRYDlWA,Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Party Bus,6krJbTQFsYKWdXJJa1WCYr,63,https://p.scdn.co/mp3-preview/5ccae721bb07d5fd4f0f41ad57d9142c4d83d064?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,"How You Feel? (Freestyle) (feat. Lil Yachty, Danny Towers & Ski Mask The Slump God)",67cpn8ZBO7QU67jky8Fh47,DJ Scheme,1m7LSAMIB1BErIHYSOn32W,Preseason EP,4un0IQy9lIQfk2zFRVAj0o,78,https://p.scdn.co/mp3-preview/9fd7067a2a2b574595909c72350f1b82170b78cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Ready Set (feat. Big Sean),5wlwbEGB1y9nov8qj3yfkZ,Kash Doll,3u579Gdap91lMptBSdXTpf,Ready Set,343SSLPC1MpxYdNSZtczuA,54,not available
95,10 Bands,4dGLMiOBMUD74iiAGQ17cK,Joyner Lucas,6C1ohJrd5VydigQtaGy5Wa,10 Bands,2vD6NN9RCmTwoNsM7k1LLf,72,https://p.scdn.co/mp3-preview/9ef5eb4d419b59fdab269163606c09b4e194bde3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
