Tropical House,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
42,Moments,0e4xfVTScciruWRTHG3Myh,Klangkarussell,041iTeoMIwXMlShuQPIVKo,Netzwerk (Deluxe),4j9mSsoan95YCTzgxORbvK,41,not available
43,Somebody Else,6UW9S0skvWZ9PUvLti7aZP,Zonoma,5UrrQCLgSkyFRo0I59nXWH,Somebody Else,4Nrw8ETybU3f1SFV2aEhfB,57,https://p.scdn.co/mp3-preview/98d0c5327d9cd8089df0f2d0adcfd9679916072d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Miami 82 - Kygo Remix,7l15QDWp4v3TYh5u3pQjxa,Syn Cole,6i1GVNJCyyssRwXmnaeEFH,Miami 82 (Remixes),1cVyMj4skGmb4uYJWbC95c,62,https://p.scdn.co/mp3-preview/565078b00dc8e05bf380956ef440f71ec4097af7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Freak - Sam Feldt Remix Edit,5SNTUBSq1Qzi0URdB443h1,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,Freak,0ojB0D1LudlOhfQr3mQaJ7,37,https://p.scdn.co/mp3-preview/be2722f34a6f705bac8c6417dd1e51b26e9e5cb3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Leave Me Alone,1YEgACMNGb2EGptiOodOyZ,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Sunrise To Sunset,3DXfe2cEsCdAjORfXw0NDK,8,not available
47,Regulate - Le Boeuf Remix,6RBsFW2PBiJtCYZmNpia5G,Warren G,2B4ZHz4QDWJTXPFPgO5peE,Remix The Classics (Vol. 4),5HE2LhFUMTw1KhwY2x0O5y,52,not available
48,On My Side,5hRVBXMn6TFyOncZTYl7ej,Hounded,0ttHbJjRLbyrOgRy0oUMug,On My Side (feat. Savoi),5PCo30Irlzv3HTIZYae18C,7,not available
49,Sun Don't Shine,6n0OQD5aGspHuwFPJ2ePGC,Klangkarussell,041iTeoMIwXMlShuQPIVKo,Netzwerk (Deluxe),4j9mSsoan95YCTzgxORbvK,49,not available
50,Above the Clouds,6wHdTGv5xb3HU7As15DLda,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,Uncovered,4iu0toRdSjyU0qIdKTWMoY,49,https://p.scdn.co/mp3-preview/1f04b1152dafe9cbac1e247516d9631464a70437?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,High And Low,4PwXNVqkIM8KBuEgYFqDiE,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Sunrise To Sunset,3DXfe2cEsCdAjORfXw0NDK,6,not available
52,Wild Church,58aeU18mt15CnihIz4MsS3,Kungs,7keGfmQR4X5w0two1xKZ7d,Layers,66KCBRiOFSs9bki2A15WlB,51,not available
53,Home (feat. Nico Santos) - Marcapasos Radio Remix,2NsWGd3UslepVF25pKw1sp,Topic,0u6GtibW46tFX7koQ6uNJZ,Home (feat. Nico Santos) [The Remixes],3iCS2u4nW6aQ0eycQXTuFk,48,https://p.scdn.co/mp3-preview/91a163ea2f560c48317e6a94f59dbe7a642d26fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Panamalu,6RxxunHQUOtYojwJGDLB51,Fabio Carry,4sPjRX7FKfMvfa5tPQC64C,Panamalu,3s8rlfuQO7p5TR7x3VLsTo,46,https://p.scdn.co/mp3-preview/36d72394f9e5fca6c36f06d8bfa767b00aea57f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Maaya,6p8uFTidsF68EHK5p753gU,Achtabahn,2bnHA3uft5ff7aFQLvscV5,Maaya,6eW0O5Pw4fGnyVBS3avc79,48,https://p.scdn.co/mp3-preview/73a5182102e4b153139e993603bd5742e413f19e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Don't Say A Word,1fappIhSOUyng8mHEfYzkP,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Sunrise To Sunset,3DXfe2cEsCdAjORfXw0NDK,7,not available
57,Seduction,23OzWEhGGgu7RSqzKhsGhE,Boris Way,6B4RvAzPbZcxMjhZvFSDis,Seduction,716PfjuMoJzNMvydwPKTGV,44,https://p.scdn.co/mp3-preview/9acc66bdfc1fdb69132d16882b9525cdcc46dcc2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Younger - Kygo Remix,7vHshinTU8161w69EPbabY,Seinabo Sey,4X0v8sFoDZ6rIfkeOeVm2i,Pretend,7g2ZA4JCgG8Jxr67i23xlz,68,not available
59,Little Do You Know,5lIat5pyge2yKkV20FlgQ7,Campsite Dream,69VkQLf4DH7GJ68BCDOPKL,Little Do You Know,5do9Fx2lflBZzxgup2xbTQ,57,https://p.scdn.co/mp3-preview/6bb4354b07712dc713784ea510d995e11e49b6e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Tonight and Every Night,3nbtUMjRUH5VDwhvvcPRF8,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,Uncovered,4iu0toRdSjyU0qIdKTWMoY,50,https://p.scdn.co/mp3-preview/aca6929706e1051b6f8edb1f6065619200998f71?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Summer on You,7Ct0Q46k5PkXzYiNE5D2dn,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Summer on You,5IbJRX7Te1lvkMwPjssiV5,13,not available
62,The Sun - Klingande Remix Radio Edit,5ahvjrjn7ymaeaWKFZrsca,Parov Stelar,65EXuYHVoehCKqp0kOS6px,The Sun (Klingande Remix),003sFH4G9RLE253AFIJ0YJ,57,https://p.scdn.co/mp3-preview/032054c8b47567b6cebb4938f9393b7d63f07501?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Feels Like Home - Radio Edit,7MCgEv2ovQuxfijz2WZ4kH,The Him,5WdqBAQhGFCrZvBKXiPIu7,Feels Like Home,1kGvpxO6wQ0OtR5RJ9FYa1,56,not available
64,Call Me Over,65AuuSC0parBq0hAFyA22v,Dusky Grey,3jFE9Q1V7P1AkbU5UzPEol,Call Me Over,0GF9iQgs4WkJhfSO8PgjO9,46,https://p.scdn.co/mp3-preview/503ba9b9eb2c5d329c275a01a7b72a13f1d2eb31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Tripping Off,5JdhojQ6h2Cy2t6uH5jPAa,Kungs,7keGfmQR4X5w0two1xKZ7d,Layers,66KCBRiOFSs9bki2A15WlB,52,not available
66,Been A While,4mPOYg53faLL6brBcoZ5T8,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Been A While EP,4uZwvic3uzZeuMQW9jWp2Y,11,not available
67,Ocean Drive,0k93MXOj0kSXo84SvSDeUz,Duke Dumont,61lyPtntblHJvA7FMMhi7E,Ocean Drive,1jlUEbR1VEEGzjK47Xk1gT,17,not available
68,Forever And A Day - LVNDSCAPE Remix,4MmESCOyomLv2BmcHkVAQY,Bolier,65NscqgsoMPqBtoLbkP3jD,Forever And A Day,3GbSqBflhUSuP294AP68GQ,6,not available
69,Hands,5153LWKMJiMNIRCChGN4Ja,Mike Perry,6lB8vOoI4DRrrVxXwuV19c,Hands,4XvGuEh8FePzLZJlEZtOlq,68,https://p.scdn.co/mp3-preview/135365a575c9150649583c6db59bb4d7813ed42b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,If You're Hearing This,1aJ1xeEQ1ivKGnTeuYolJk,Hook N Sling,3iN9k8uvm4WrgdlOigOH8D,If You're Hearing This,2yOjy8vG8Tp7bVByZSLNcJ,57,https://p.scdn.co/mp3-preview/d06fcd34fafaec3a98db94e4e0e4d050b0208d3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Carry Me (feat. Julia Michaels),3FZEv9JddkjHNFiMVxJYpS,Kygo,23fqKkggKUBHNkbKtXEls4,Cloud Nine,0uMIzWh1uEpHEBell4rlF8,65,https://p.scdn.co/mp3-preview/96741e38568dfd1e59d318fa1e0fcbc7ada72a1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,YES,1hO3oLiU5EeVwO11djsxL9,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Sunrise To Sunset,3DXfe2cEsCdAjORfXw0NDK,4,not available
