Easy 00s,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
62,I'm Like A Bird,2ze7s5CrESggiWA3RpDYIy,Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc,"Whoa, Nelly! (Special Edition)",0on8zrPIIlANtVlNw6Uea7,14,not available
63,Halo,4JehYebiI9JE8sR8MisGVb,Beyoncé,6vWDO969PvNqNYHIOW5v0m,I AM...SASHA FIERCE,39P7VD7qlg3Z0ltq60eHp7,79,https://p.scdn.co/mp3-preview/3c97985f3736fab6d4abcd2067f346a9b30955fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Make You Feel My Love,0mqTcM8kuu2IYPotMt7AzS,Adele,4dpARuHxo51G3z768sgnrY,19,2YO1F9DHVEzXPriA1JHoOQ,77,https://p.scdn.co/mp3-preview/5b3bfc4c3b98df595f623e86bc0296016030ce20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Accidentally In Love,4FXdIM78OBdw7KIY2jeM8D,Counting Crows,0vEsuISMWAKNctLlUAhSZC,Films About Ghosts: The Best Of...,2XstwYnZ4pC0O99VCOnfSa,13,not available
66,Hey There Delilah,0xM88xobymkMgg46MStfnV,Plain White T's,1g1yxsNVPhMUl9GrMjEb2o,Every Second Counts,5UdU4dmcRw1TG3oVZf9ZvT,65,not available
67,Dog Days Are Over,456WNXWhDwYOSf5SpTuqxd,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,Lungs (Deluxe Version),1rLLyY5p6HXNl2lKzINWp5,74,not available
68,Who Knew,7uYl7xgDeAOHP98obvrJvB,P!nk,1KCSPY1glIKqW2TotWuXOR,I'm Not Dead,6WlnnRa9jAPXhZEbvBvdxB,71,https://p.scdn.co/mp3-preview/e1d31c14939bd998e6a95853fe76251169d267e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Home,3lyLqIn8mybyEFTs8JJaLf,Michael Bublé,1GxkXlMwML1oSg5eLPiAz3,It's Time,1f9vWKabhNPNQnHLleExSh,71,https://p.scdn.co/mp3-preview/0b77063b23e010c31ba91154967624ae14c7247d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,She Will Be Loved,5s5t0OFg9lIlBFaCI14K1i,Maroon 5,04gDigrS5kc9YWfZHwBETP,Songs About Jane,7gGcnUEEQgIMV2JRwVQbrF,23,not available
71,Queen of My Heart - Radio Edit,3LaOU1rxGZFPRC4I602Z3O,Westlife,5Z1CCuBsyhEHngq3U5IraY,World of Our Own,5FECTGZ9UdITzeo7o0AhUZ,52,https://p.scdn.co/mp3-preview/1b4fcc9b4f9fc06c4379331ce3abd5d72a1f792c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Anyone Of Us (Stupid Mistake),0xIACZq7oyYfSG2tIbUb7s,Gareth Gates,4nNwfeVaNJlfz8RdCT5MJO,The Very Best Of Gareth Gates,7kJsT5YQPSwXUZe1kiDAv9,41,https://p.scdn.co/mp3-preview/d82c4d548c204a92521dd8a997a418a60c1365d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Warwick Avenue,5IdPVawDl9lz84nPj832is,Duffy,37NqXwtb6nIEqRt4EJSoIO,Rockferry (Deluxe Edition),5Mxz1P0qfXLR6SgE6xbyBb,9,not available
74,Hallelujah,5IaR621NoOM6i5KTcuNRHM,Alexandra Burke,6yZoNdsPrYLviaEOOzbZt8,Overcome,0Jo60TeFm2QkBR9d5anzRU,61,https://p.scdn.co/mp3-preview/7b973d0fe9cdbab8d373bfda885fa22e40fae8bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,You Belong With Me,26eccs3bbw6DMekFwZbdL2,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Fearless (Platinum Edition),6mhqCOSN7y93aydjeBatWb,5,not available
76,Big Girls Don't Cry (Personal),2ZpOQ2MJxce0xf1eKhobMR,Fergie,3r17AfJCCUqC9Lf0OAc73G,The Dutchess Deluxe,1mtWvoEOGCTV112yCmJayi,8,not available
77,New Shoes,265Anh9hGoozFigjUVLUeD,Paolo Nutini,7x5rK9BClDQ8wmCkYAGsQp,These Streets,6L2FiSnFMisCgbhbag4KTl,67,https://p.scdn.co/mp3-preview/d49eccb4b21bcf4906633f52d2f1f30304183565?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,A Moment Like This,5i9UKSttY3V7x9OnYZsMBX,Leona Lewis,5lKZWd6HiSCLfnDGrq9RAm,Spirit,7t1veDv7FWHYXskQEoU7dq,57,https://p.scdn.co/mp3-preview/80e14be90c6d293b53e0f0f73b3e021dda40c526?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Somewhere Only We Know,5LOaKdW9D2Gl9neAN94NbR,Keane,53A0W3U0s8diEn9RhXQhVz,Hopes and Fears (Deluxe Edition),5QqVXRTiGpLgmo1YNoz9Bk,16,not available
80,So Sick,5203pcq3cNteJuOVhIEnt6,Ne-Yo,21E3waRsmPlU7jZsS13rcj,In My Own Words,6SUV4nzZobjuioos5VDUl7,62,not available
