100 Uplifting Songs,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
48,Pumpin Blood,3dNcq4dzEtbFUM4PGeHHXp,NONONO,513t0jZUP0K98C4h7KHtEb,Pumpin Blood,3RxXgt17o9OICCTJ17CSHI,44,https://p.scdn.co/mp3-preview/9ede67ec47ad3e03b702af113b6fd8565e58f12d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,2Foc5Q5nqNiosCNqttzHof,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],2ePFIvZKMe8zefATp9ofFA,77,https://p.scdn.co/mp3-preview/92d40a2ae211cceb264e9ee1e67fe05f4d788200?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Move On Up,0MHXrqn909p0LRTPsNsGEi,Curtis Mayfield,2AV6XDIs32ofIJhkkDevjm,Move On Up (Single Edit),2EwoYRFQRJqw7BTVG6GlTw,68,https://p.scdn.co/mp3-preview/1e239430ca65ef330d01716c14c7e1e91165e447?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Suddenly I See,5p9XWUdvbUzmPCukOmwoU3,KT Tunstall,5zzrJD2jXrE9dZ1AklRFcL,Eye To The Telescope,3j70PDKieTWQAwas3bPHRZ,69,not available
52,We Are Young (feat. Janelle Monáe),5rgy6ghBq1eRApCkeUdJXf,fun.,5nCi3BB41mBaMH9gfr6Su0,Some Nights,7m7F7SQ3BXvIpvOgjW51Gp,75,https://p.scdn.co/mp3-preview/af96d9b11588ea7d7754ccf2a8cefa7ead23a7d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Crazy,1vxw6aYJls2oq3gW0DujAo,Gnarls Barkley,5SbkVQYYzlw1kte75QIabH,St. Elsewhere,5I0Wf7lRLZArM1K2uQ1AEA,76,https://p.scdn.co/mp3-preview/b05681b8d3d07a6e0eed3a69d7e6bc221064d8e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Anywhere,7EI6Iki24tBHAMxtb4xQN2,Rita Ora,5CCwRZC6euC8Odo6y9X8jr,Anywhere,3syh4e0H2YnXmzGzP5Rd3G,75,https://p.scdn.co/mp3-preview/ec024df926734cd185ae9fde8d081cc4d451c4d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Mercy,69FtgMJrR2lfsBR97JSp4d,Duffy,37NqXwtb6nIEqRt4EJSoIO,Rockferry,1HktodDSb6mvEMfSjH4Hsd,55,not available
56,Adventure of a Lifetime,69uxyAqqPIsUyTO8txoP2M,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,A Head Full of Dreams,3cfAM8b8KqJRoIzt3zLKqw,75,https://p.scdn.co/mp3-preview/f5c8203c517a906dd581e0faeca84d1e0206c8b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Material Girl,22sLuJYcvZOSoLLRYev1s5,Madonna,6tbjWDEIzxoDsBA1FuhfPW,Celebration (double disc version),43lok9zd7BW5CoYkXZs7S0,75,https://p.scdn.co/mp3-preview/5ff7f7b7d2af1a747da275bed3c49054c01b5b1c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
