Rock Nation,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
40,Legendary,2gYCaUsqrnBOt7DymQCY6d,Skillet,49bzE5vRBRIota4qeHtQM8,Legendary,3YBM8Bk5cfjLLTwJx8uWXb,47,not available
41,Low Life,1OsZJVrWpTUAdoBOMEqjdx,Crobot,4ygqEKxbe61knnDaodGFmi,Low Life,1vhwb9tA2jPSQ9aNxmhnpW,46,https://p.scdn.co/mp3-preview/d0211e0884943fcca26b2b7577aa2e08ff4f61b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Daphne Blue,3GzZfni9NCD54x1prgpIYl,The Band CAMINO,6d4jrmreCmsenscuieJERc,Daphne Blue / See Through,2B4wLLLPV8rAnpmdBAykxs,47,not available
43,You're The One,0iYBNrznkCwhN3xCmNVJpo,Greta Van Fleet,4NpFxQe2UvRCAjto3JqlSl,Anthem Of The Peaceful Army,7zeCZY6rQRufc8IHGKyXGX,66,not available
44,Can't Stop the Bleeding (feat. Gary Clark Jr. & Gramatik),1731hlSR40kK9X67spxxdA,Tom Morello,74NBPbyyftqJ4SpDZ4c1Ed,Can't Stop the Bleeding (feat. Gary Clark Jr. & Gramatik),1r39AQEMxkecEBP65nFmY2,50,https://p.scdn.co/mp3-preview/bd1138d173696380fe2308a29886dbb62a1d403b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Might Be Right,2hJIp64P8hh2VLtvxuIT3Z,White Reaper,75klPfIVnyYcyEGaicRUSF,Might Be Right,1euxMKOns4X6POhO9QMLvt,60,https://p.scdn.co/mp3-preview/10708f755e0eda63059ae3dc4ada35d281c2b57b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Cold,0IpHg3kAiR9Qf1VJbGrmsY,Korn,3RNrq3jvMZxD9ZyoOZbQOD,Cold / You'll Never Find Me,12taAGGgV6iUJEGLAT98T6,57,not available
47,Quiet Heart,2Nuw8DlD8wUVCixDgKP9zq,Joyous Wolf,48vfT7i3EmuNEDAVRhzxpp,Quiet Heart,6552yFMZg7wwUvcbfVnRv1,23,https://p.scdn.co/mp3-preview/5760fa3318ea6a6a876deaf1ada0a830ae649a02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Rolling 7s,0TsrzHBOSONnsEeFGZNYlq,Dirty Honey,0XBRd3N11rCbh0s8qHf41m,Dirty Honey 1,26t3s1ESMQP4w4lKol1k1I,44,not available
49,"Fire, Ready, Aim",3I8Ri6tLa4QA11MMdZywtM,Green Day,7oPftvlwr6VrsViSDV7fJY,Father of All...,1xIgeQeVlMe5fcAVpRjkaP,63,https://p.scdn.co/mp3-preview/2e4803f2d87f1b15fadbddfc764feff05833438f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
