Merge Records New Releases,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
82,Tumult Around the World,7fJDGViuE9HfvP7qDqCxy7,Titus Andronicus,5lJ4XQ2hlPlxACN7q3xKL1,Tumult Around the World,1jJqSm61s1zWaAF1clXz8W,31,https://p.scdn.co/mp3-preview/92d51b4eeafb3d9d82d35de7a69df0e583fcc69e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Gold Past Life,1n0sSIiplHTHGY8GmhIaTu,Fruit Bats,6Qm9stX6XO1a4c7BXQDDgc,Gold Past Life,1WKoPiWwaR5fmKcTbESxI2,36,https://p.scdn.co/mp3-preview/0c67b4bd18de7d2fbf975f1b80d9f55e37f9fe44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Where My Mind Goes,2gmLRh2dMLWE5jzyns5RqW,Apex Manor,6L4oVbtzJenj0JyZiUEjz6,Where My Mind Goes,4TZqxS03GmmrC91KYEQGG2,4,https://p.scdn.co/mp3-preview/78022bae4aa31b69f85322fd017647506cf855e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Doc Gooden,7xYstHmzZR3Ny85nuANSbS,The Mountain Goats,3hyGGjxu73JuzBa757H6R5,In League with Dragons,6Xw8Mujzvzu7gMeizXOHc6,37,https://p.scdn.co/mp3-preview/4c62b63100f2667114b773f132f7ca2222d3506a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Clemency for the Wizard King,6Ae9S3WEGgMeFJ15ms0ygE,The Mountain Goats,3hyGGjxu73JuzBa757H6R5,In League with Dragons,6Xw8Mujzvzu7gMeizXOHc6,38,https://p.scdn.co/mp3-preview/ba48707052428799b37d6391cf9318824a8fdaab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Passaic 1975,5xGfQQdwIFICOiqliQtSnx,The Mountain Goats,3hyGGjxu73JuzBa757H6R5,In League with Dragons,6Xw8Mujzvzu7gMeizXOHc6,37,https://p.scdn.co/mp3-preview/c98fa03e302733a9818951647f6914bd5ab2587e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Shaw,2lLWLstbmhdgAs0SAnxplf,Reigning Sound,1YRBRIN8d5Xa6vU1OKUc4t,Abdication… For Your Love,5k3VQ6sLO9dmxKTdI3R8eG,21,https://p.scdn.co/mp3-preview/683d14978c76bcccbacd7678dae401c29e4a9fdc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Everything I Do Is Wrong,5AeENSwtcWEiQZ14FrjL3p,Reigning Sound,1YRBRIN8d5Xa6vU1OKUc4t,Abdication… For Your Love,5k3VQ6sLO9dmxKTdI3R8eG,19,https://p.scdn.co/mp3-preview/d207d4fac0c6a987fb70bc9553bddae2a09edf99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Find Me Now,7vgbgLHyMQ7yeYYmH0ddtX,Reigning Sound,1YRBRIN8d5Xa6vU1OKUc4t,Home for Orphans,74uFHaSqnBgWyskc5SkInh,14,https://p.scdn.co/mp3-preview/eda87951ad5c3d876b56745158eebd1e3fdc7ad0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,So Goes Love,2UWwE257O9MB1fuqep8Pqf,Reigning Sound,1YRBRIN8d5Xa6vU1OKUc4t,"Break Up, Break Down",0GEX71Q8lm00UPzVmqOUao,7,https://p.scdn.co/mp3-preview/481d5152fd65607a5540a6a94a2dfeaac218b6a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Break It,433jh6frWxts75xE0BCijA,Reigning Sound,1YRBRIN8d5Xa6vU1OKUc4t,Love and Curses,6tdAYE5SvbyDO9MXylJlhq,15,https://p.scdn.co/mp3-preview/10d90f29970609795258a00be9aa76f7f106f97b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,If You Can't Give Me Everything,3giyXIOXPRUu5SUbB9q7rB,Reigning Sound,1YRBRIN8d5Xa6vU1OKUc4t,Too Much Guitar,3Xr6MzsxnprKi9t4LDOXkM,16,https://p.scdn.co/mp3-preview/c14c05b20db4ecb11f910e947af28595f4faad81?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Stormy Weather,6Lz4guYlgxqdoEqi454JP6,Reigning Sound,1YRBRIN8d5Xa6vU1OKUc4t,Time Bomb High School,71BCZDhiPjYKwAPxpS2zKP,38,https://p.scdn.co/mp3-preview/06e3f1c285636395b774f49bfd3cf06e25085ffd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Down in the Valley,785ocfCelc4nlqkFZ81tuD,The Broken West,1dOALICyzOQ3sR2SKULZFD,The Dutchman's Gold,52AnEnM05fHXu2iPkRApYK,3,https://p.scdn.co/mp3-preview/91feaa0b3ab2d7a48c48f39a5a9d5ba8429e446f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,How Far,3X1HaTPD9vKdl8I87V4v8Z,SACRED PAWS,0loUVauivVQPRdqkbd250b,How Far,4j7Kz5ooeizB7YcOuDMKi4,4,https://p.scdn.co/mp3-preview/abca28b4959b04d9ad005b2e28fb55ba209c2bbc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,Running,348BLuFbXsNfzgIjJK73JC,Gauche,6GVrQ3dvXPc2VcEslMAgk4,Running,1dBKSQWzF3RBg9XdlnPyMA,9,https://p.scdn.co/mp3-preview/4091ec392fc2639a129696096f93440acff8254d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,Sicilian Crest,4iOIJI6JFJLXKNpHbSMgTL,The Mountain Goats,3hyGGjxu73JuzBa757H6R5,Sicilian Crest,02Q4T0qTd2kyXD4kzq29lR,23,https://p.scdn.co/mp3-preview/0d0ffa2f211b57a2f9801c679cf30e767f805e0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,The Bottom of It,4bva6j9FaGs1rdCzScAqLk,Fruit Bats,6Qm9stX6XO1a4c7BXQDDgc,The Bottom of It,1k4JXPaKc4ZSZPalFAoWRA,59,https://p.scdn.co/mp3-preview/9350d6ae4d033054259412fbf800cf7274e81242?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,(I Blame) Society,2yMhLBzcF2FI5la4zHq6Ar,Titus Andronicus,5lJ4XQ2hlPlxACN7q3xKL1,(I Blame) Society,5OfCP1KlLwiIzON3c0Jxv4,28,https://p.scdn.co/mp3-preview/d71c1056cc12a65c941ec401f063d19e873696bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
