SEAN'S MUSICAL DISCOVERIES (STAY IN!!!),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
79,Heartbreak,0txdVPZ88kbYp8gVWtEQev,Diehard,1Ib7DOenJoLzd3lxQryo8z,"Brown Acid ""The Third Trip""",6kOalgNcPgYhBBuXO5IB64,10,https://p.scdn.co/mp3-preview/54c208b62f977eb1349a3a5c6f138d3af6ae4bdc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,The Wizard,1IthyCLL7jTL9vJHAhrZSm,Blown Free,3po3lbDYspZGaFrLLn61UU,"Brown Acid ""The Third Trip""",6kOalgNcPgYhBBuXO5IB64,12,https://p.scdn.co/mp3-preview/3865c8e98d84b37bbc065199699b53fd62574bd0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Time Machine,5KxGOo6e7f5OfkNWWXvoJZ,The Factory,1USVCuYigQ1RVA5f7Y9Xkm,"Brown Acid ""The Third Trip""",6kOalgNcPgYhBBuXO5IB64,11,https://p.scdn.co/mp3-preview/d734cfdc6288b74d345d0ca60e2161fcd3d9da84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Be On My Way,423VmOCtWA1pv84AvLDVrh,Inside Experience,1vgwzsMD5nxj2y7a1NMbgs,"Brown Acid ""The Third Trip""",6kOalgNcPgYhBBuXO5IB64,9,https://p.scdn.co/mp3-preview/54a1db0696dbecf039a1e1585b4a11908ce5c339?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Quit Your Foolin,2SxJ6F2jKSFGZSZxiJP44h,Cold Swett,5eb4U724BYa3qYItIRmpf5,"Brown Acid ""The Third Trip""",6kOalgNcPgYhBBuXO5IB64,11,https://p.scdn.co/mp3-preview/7e1d700b01a10275cb86863dc47bf1429ed61905?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Highway Song,46Dj7oY4uO2WnmeKAjukms,Elliot Black,69a7784aOWpEom2Hk7Rtpc,"Brown Acid ""The Third Trip""",6kOalgNcPgYhBBuXO5IB64,9,https://p.scdn.co/mp3-preview/93e3361c0a71948972c64d6db0452864a7695350?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Before You Leave,13h77dXHCFYxIhdhkCIo4R,First State Bank,0B9hlbJwgM4VdmZgGjGH6x,"Brown Acid ""The Third Trip""",6kOalgNcPgYhBBuXO5IB64,10,https://p.scdn.co/mp3-preview/86bc4dad6be7af49acd5ce000f15125ff43c8ead?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,The Train,1o4UaGMWiH4OqOCi1obduf,Flash Beverage,2hSpufSn8x8U9hXYEF73Ph,"Brown Acid ""The Third Trip""",6kOalgNcPgYhBBuXO5IB64,10,https://p.scdn.co/mp3-preview/33c53ad2a8998bd25d2606f5a7eb736f7cc4c1ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Leave It,3RBuMbt4stC8US87kiVPwY,Kanaan,3Hb1TSP5l7tR214bjmHIBA,"Brown Acid ""The Fourth Trip""",2QsTxzuRKHBQP8H6mDNYSo,5,https://p.scdn.co/mp3-preview/975fb21a3040c3b10ff6bb8ed1977e193acbd7d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Oceans Inside Me,4jNTPkWqUXlqoZk0PdXbM9,Stone Garden,3uzIdk3Qfh2tiTVlJCYhMY,"Brown Acid ""The Fourth Trip""",2QsTxzuRKHBQP8H6mDNYSo,11,https://p.scdn.co/mp3-preview/b8a8551136b56cbbdfae8be7f137299693ab3724?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Carry Me On,4J0Ti9VKPzHppuKHMVSOxd,The Headstones,6HcGxs9mOhOByBk9mYJfeC,"Brown Acid ""The Fourth Trip""",2QsTxzuRKHBQP8H6mDNYSo,9,https://p.scdn.co/mp3-preview/411e588e0515be47fd056b659653bac3066ef17a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Rock N Roll Fever,0roxYKGbOSyvjkhkJdditC,Wrath,7Jf0Ov3fxMc2LwiB9NdPgN,"Brown Acid ""The Fourth Trip""",2QsTxzuRKHBQP8H6mDNYSo,8,https://p.scdn.co/mp3-preview/4f9c959c7ae87da75ed5cf5f4d236c036dc7f56a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Numbers,4qo4Kz7HKAd6L16SLIWKbY,Bungi,4kS9lzeF90lVlYf6e6ARai,"Brown Acid ""The Fourth Trip""",2QsTxzuRKHBQP8H6mDNYSo,8,https://p.scdn.co/mp3-preview/076b37ed8a59448eadf240379322b010f28cf4c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,The Train,28mLUC47KVl9ooIM17Kw4e,Erving Forbush,7rBgwdF2Yuw60XacNItZcY,"Brown Acid ""The Fourth Trip""",2QsTxzuRKHBQP8H6mDNYSo,8,https://p.scdn.co/mp3-preview/db2dea21ce87726b04eaec83bb8c56d92f9549e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Comin Back,0m5Zb27daH3OriSldItnxo,Zekes,5u6sHWWAxcLd9ddtyQKRJw,"Brown Acid ""The Fourth Trip""",2QsTxzuRKHBQP8H6mDNYSo,9,https://p.scdn.co/mp3-preview/0a9e8f57065f42a26fd5fd8ff410d7cbf2360507?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Coachmen,348yTodiloW5JDu2z5ZsTB,Bad Axe,1LSQtLZ4vLTdAwuH2cBIOH,"Brown Acid ""The Fourth Trip""",2QsTxzuRKHBQP8H6mDNYSo,9,https://p.scdn.co/mp3-preview/2c9a4985b6a546afa9b0d1b9147a91c4b78979c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Warrant,4aNegtQnwxrGX6cC0C38L8,ASH,4RxOcYere2aEs5vqCYxexW,"Brown Acid ""The Fourth Trip""",2QsTxzuRKHBQP8H6mDNYSo,8,https://p.scdn.co/mp3-preview/50e1c88c62606bd9fb6cbe0292b84d8a5b7deb63?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Lucifer,0PJc01hMrVfzIVSonqzyei,Axas,5Qh5EteouIPttFMdrYlMHu,"Brown Acid ""The Fourth Trip""",2QsTxzuRKHBQP8H6mDNYSo,9,https://p.scdn.co/mp3-preview/88032ecc04bb065627a5bbd62323db44879a4546?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,No Reason,0F5JRzAbXqwgsx546e7aup,Captain Foam,6ZxXV57h1eGQzZw5pAi2Dy,"Brown Acid ""The Fifth Trip""",6IvPFgrPyhVO6b14WYsJ3K,9,https://p.scdn.co/mp3-preview/83ec82aad176c5250b1bbdda7bde6fa92edb3a9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,Blowin Smoke,0i706qbi2IdTDj92LAsuUn,George Brigman,2UWdjkh8wqj1H5cJK20QEM,"Brown Acid ""The Fifth Trip""",6IvPFgrPyhVO6b14WYsJ3K,9,https://p.scdn.co/mp3-preview/246100bcaaec9fded66e1c74b44a6510b5a71278?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,Nothing In The Sun,45SlvOkZXPoJBimxJIaHX8,Finch,528t5c0zyuG9beehtth4Za,"Brown Acid ""The Fifth Trip""",6IvPFgrPyhVO6b14WYsJ3K,13,https://p.scdn.co/mp3-preview/6a62736ad528e028b6978c264e0c60c9fbc133b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,Clockwork - Instrumental,0Hx4f0iPzxigAZyJO4iJUl,Cybernaut,7ghNcizZmEXvgxsWgGM6BJ,"Brown Acid ""The Fifth Trip""",6IvPFgrPyhVO6b14WYsJ3K,8,https://p.scdn.co/mp3-preview/a72ae761cfa0da44d6da8f24a783136e62f1269e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
