THE EVERYTHING BURGER,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Cool Buzz,5V8MZzvqSPIZ9vaocZsEJQ,Poor Sons,1oPSPyypzsRhHhMNh79D5a,Dyunes,43kRrIp0MeOU44tY4uIruy,0,not available
11,Burn,1OilId8p7X9y6SMG8y0f3v,Eating Out,2xBaSGT0iXUrtPCa3nPlTK,Eating Out,4q6b8RYBB0pcfQVFxrcIn8,3,not available
12,Shoot Me With Your Best Shot,2nlAz5beGKrDwTTrM1BzJL,Mild Manners,5SQM35p7aH9cKyf7RfkNMQ,Excuse Me,2xblXsxJksP3at4uZ0XuLc,0,not available
13,I'm A Woman,6KzyPsoQpJm6zetf3TU5T2,The Garden,4UVlSeEFDPmlkYKaRMRoOz,The Life and Times of a Paperclip,1Gedw8BSGLD38u4kzhWVqD,32,https://p.scdn.co/mp3-preview/07b77be08669559f7a0cbd9f2b7bffb207d00965?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Caught In A Thought,28pfoXBIUXde4iGmj8JFZS,Free Weed,6Faoj5h2jMC1mqhGlqmyWb,Fantasy,3qnNKSmbXcdBp4MNM7Y6oQ,1,not available
15,Dirty Room,3ZPoXs0t4PMee2od30Z2sN,The Go,2m0xdXsYglZKSzqVkZtFi8,FIESTA,5vXn4zbWMk4hbEwfVcklmp,8,not available
16,Closed My Eyes,5POZlkJyBYhkZyICkNtJJh,Mandy + Jason,2pZXeaeb7Irq5DP1aouW6F,For A Time,1uaGSRazI1XIbAJELyWgfo,0,not available
17,Pretty Ann,0iaEmEk75fhA2bAbrbqDNV,Freezing Hands,6lwspN4Xsnruhq02vQzswr,Freezing Hands,4vLLLDHSh8bXKgPaIuZqLF,0,not available
18,58th St,5NZdldt3sVG0lRAEdi831V,Gap Dream,1yZc7JDNtiB3ztNtCupSKq,Gap Dream,6smtf4lBUIwy18Web1cqen,23,https://p.scdn.co/mp3-preview/3512a24fe4cb526bf1e2897bac6a58ad925fb083?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Living Like Animals,7l4HomjxXMfDK49LPoEwfd,The Pizazz,3eNVXTSKpnYM8SdaYOp7SQ,Get Out Of My House,4IwRmAw2jYaz9hwqLLFYzd,1,not available
20,Private Party,4xAUU9jcLJNRonqYhPbPHt,Garbo's Daughter,4sg0nCZM6Vk34YH8otZJa0,Goes Pop!,1mgHUJpCs7nsmd8P4aH8p5,0,not available
