SEAN'S POP PLAYLIST (STAY OUT!!!),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
31,Down For My Niggaz,6SSJcmQgBEvHqqCivyVfqG,C-Murder,4135eJjHCRw5SuVzLfzR0x,Trapped In Crime,7MDd3o71CPSVTi3F58gWVu,53,not available
32,When You Were Mine,0sIk8fruA5B3Evgqlt45ir,Cyndi Lauper,2BTZIqw0ntH9MvilQ3ewNY,She's So Unusual,2aZG65CSBMeTKr0YNfsFMe,0,not available
33,Digital Love,2VEZx7NWsZ1D0eJ4uv5Fym,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,Discovery,2noRn2Aes5aoNVsU6iWThc,64,https://p.scdn.co/mp3-preview/7079f6d7bc465f71971454808d5039b35bd3fd2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Face to Face,7v9Q0dAb9t7h8gJOkcJHay,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,Discovery,2noRn2Aes5aoNVsU6iWThc,61,https://p.scdn.co/mp3-preview/0e9237cb3b1a1bcd5fc8e7d152708c8fbb57dffd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Da Funk,0MyY4WcN7DIfbSmp5yej5z,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,Homework,5uRdvUR7xCnHmUW8n64n9y,59,https://p.scdn.co/mp3-preview/b17c3e133675a0a5e387b323f68daa5a37ffd66b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Instant Crush,2cGxRwrMyEAp8dEbuZaVv6,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,Random Access Memories,4m2880jivSbbyEGAKfITCa,75,https://p.scdn.co/mp3-preview/df572a412d8737b2579169fd8b58786a8c8f2f2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Memories (feat. Kid Cudi),4iMu9le3ytNO3tvgVpQANx,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Memories,1A1FF7GxrH0GIqBBaSopYo,47,https://p.scdn.co/mp3-preview/7798e1790d4e1b791fb2615b7bcce4fac655deb1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Turn Me On (feat. Nicki Minaj),0zlD8JjDsFUUmofqPE83Cj,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Nothing but the Beat,08DAekBeqPRCsn3XHDwj6b,48,https://p.scdn.co/mp3-preview/83ca8ab672a0a2dc4b8fc7ed30a3ce234e9a8fe2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Sexy Bitch (feat. Akon),0uXO2GrNiIb1xHT9LUdxZE,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,One Love (Deluxe),1xGEbkqzqiCcUTBbasvShI,59,https://p.scdn.co/mp3-preview/282100e2282a5d4e2fe9894e6b19129da7353af7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Cool for the Summer,1KK0j3djUgx5tuOMwesdAT,Demi Lovato,6S2OmqARrzebs0tKUEyXyp,Cool for the Summer,7HuuDdhR4ukUjkQg9ty6kt,3,not available
