The A Word Playlist (BBC One),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
69,A Girl Like You,6XOINCZBv8Q7RXgNNiTwIN,Edwyn Collins,5Qlt3zQ63Z99mNhuun0JAT,Gorgeous George,4gIHBmLBXUnDJgWhcPzNDG,64,https://p.scdn.co/mp3-preview/99fe2118c18157a910b9d8e52464681dbc828fa1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Ace of Spades,3AVZaAbDvR6rs2NN4n0aAF,Motörhead,1DFr97A9HnbV3SKTJFu62M,Ace of Spades (Deluxe Edition),0sbAKeTchIsRqECNFjPHSf,10,not available
71,Indoor Fireworks,5ye4XQUT5ICKR28YdY1Hm7,Elvis Costello,2BGRfQgtzikz1pzAD0kaEn,The Best Of The First 10 Years,7runu9rj3FdiuPBFKRzASm,0,not available
72,Just Like Honey,1OVBB8GrnbKd0E0yTzXnt9,The Jesus and Mary Chain,4rjlerN21ygkIhmUv55irs,Alt Rock,6x7GKeKbOO8hcSgkavwjOU,8,https://p.scdn.co/mp3-preview/6dc70694b3c70bbd644a7477ae66d154be28ec6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Kennedy,3TbyWUiz9pqk9ZDF5uUats,The Wedding Present,4tyCvqG48h4LdcbFfWBjR9,Bizarro,3tp8pJWiuLPiwxZ1URt1OP,40,https://p.scdn.co/mp3-preview/4af9a7ac9395859965790fbc7cd793e3e80060c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Reward,1utfkudVfRFuWcEURm6Bq9,The Teardrop Explodes,4AIo9dEYhuS3AtwhhKgA0M,Kilimanjaro (Remastered With Extra Tracks),2JmwtB6nd7Iy3LpaAAvI3m,0,not available
75,Mardy Bum,7iqTu4OPL3KYs4FMdtLZsy,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,"Whatever People Say I Am, That's What I'm Not",2PXlvqTzGBNetlGct7L5e6,5,not available
76,What Do I Get?,2wdZA7WFwatJufJWVEyyfY,Buzzcocks,2DxlS3lTLFIq70S7ap5H3y,What Do I Get?,23p42IzCg7u13sOGU984gr,37,https://p.scdn.co/mp3-preview/c18b35203342e90aad5eced4012a14078aa40005?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Where Were You,2IPiN6vIKqdDQLB1q7fp4b,Mekons,1Ag6UM6dow2OH9V06mxzV5,Heaven & Hell,5jWvjV2Iif8b1hmoPgEqEI,0,not available
78,Another Girl Another Planet,0PDZ4Rgj36MxVgvoMv3sk5,The Only Ones,16VudBYGOd9sMpOtA0szfp,Another Girl Another Planet The Best Of,5G4f8hTTzGH0QGqGeQjsS1,47,https://p.scdn.co/mp3-preview/7d028c4e1e6a4e9cc62a577004760dc5c30902da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
