Sub Pop: The Less Grunge Years,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
67,Anywhere Anyone (Nobody Remix),6E8Fd27ep62p48LOlQCY2a,Dntel,1jf3CssdtSksxNa3uIpPzS,Life Is Full Of Possibilities (Deluxe),2RxcUcneYSl9nXsz0HrI32,0,not available
68,Umbrella (Version 1),1Ua6KaUoPOga8ZDPwZY6ye,Dntel,1jf3CssdtSksxNa3uIpPzS,Life Is Full Of Possibilities (Deluxe),2RxcUcneYSl9nXsz0HrI32,0,not available
69,Footprints,1ZU21LDpB5JlSgJSiA202k,Dntel,1jf3CssdtSksxNa3uIpPzS,Life Is Full Of Possibilities (Deluxe),2RxcUcneYSl9nXsz0HrI32,0,not available
70,Last Songs (Vocal Version),3OJQe6DN6upKh5Xkl89fJZ,Dntel,1jf3CssdtSksxNa3uIpPzS,Life Is Full Of Possibilities (Deluxe),2RxcUcneYSl9nXsz0HrI32,0,not available
71,Sorry_,2wFhUrnakWHu6UVZDYBPvB,Dntel,1jf3CssdtSksxNa3uIpPzS,Life Is Full Of Possibilities (Deluxe),2RxcUcneYSl9nXsz0HrI32,0,not available
72,Anywhere Anyone (Silent Servant & Regis Sandwell District Mix),5rlb2GCeA2jydUDVPaBiok,Dntel,1jf3CssdtSksxNa3uIpPzS,Life Is Full Of Possibilities (Deluxe),2RxcUcneYSl9nXsz0HrI32,0,not available
73,Anywhere Anyone (Pearson Sound Beatless Reduction),06SKensGpbfwWtPzqGX0j4,Dntel,1jf3CssdtSksxNa3uIpPzS,Life Is Full Of Possibilities (Deluxe),2RxcUcneYSl9nXsz0HrI32,0,not available
74,Cats and Dogs,65b63I81CnJHvUh9P23UfR,The Head and the Heart,0n94vC3S9c3mb2HyNAOcjg,The Head and the Heart,0xWfhCMYmaiCXtLOuyPoLF,2,not available
75,Couer d'Alene,7pPpktBix6VFxm3D2pNSNK,The Head and the Heart,0n94vC3S9c3mb2HyNAOcjg,The Head and the Heart,0xWfhCMYmaiCXtLOuyPoLF,1,not available
76,Ghosts,2mSuo3pB7VknzwD0WCS3RS,The Head and the Heart,0n94vC3S9c3mb2HyNAOcjg,The Head and the Heart,0xWfhCMYmaiCXtLOuyPoLF,1,not available
77,Down in the Valley,5Gtn8HgCAo0TUiaKKgP6us,The Head and the Heart,0n94vC3S9c3mb2HyNAOcjg,The Head and the Heart,0xWfhCMYmaiCXtLOuyPoLF,16,not available
78,Rivers and Roads,4Q6Kuze3wNMQRjamyBjHUR,The Head and the Heart,0n94vC3S9c3mb2HyNAOcjg,The Head and the Heart,0xWfhCMYmaiCXtLOuyPoLF,17,not available
79,Honey Come Home,1uGPqR2OCNimv0kPiLmA35,The Head and the Heart,0n94vC3S9c3mb2HyNAOcjg,The Head and the Heart,0xWfhCMYmaiCXtLOuyPoLF,1,not available
80,Lost in My Mind,3gvAGvbMCRvVDDp8ZaIPV5,The Head and the Heart,0n94vC3S9c3mb2HyNAOcjg,The Head and the Heart,0xWfhCMYmaiCXtLOuyPoLF,22,not available
81,Winter Song,01NSrsQkOZ3PgRcGLGrOT5,The Head and the Heart,0n94vC3S9c3mb2HyNAOcjg,The Head and the Heart,0xWfhCMYmaiCXtLOuyPoLF,7,not available
82,Sounds Like Hallelujah,3ABYGT6fB6ocDDYZ7vj4lj,The Head and the Heart,0n94vC3S9c3mb2HyNAOcjg,The Head and the Heart,0xWfhCMYmaiCXtLOuyPoLF,3,not available
83,Heaven Go Easy on Me,0OTZSyRWCb8cYxGU2hWue4,The Head and the Heart,0n94vC3S9c3mb2HyNAOcjg,The Head and the Heart,0xWfhCMYmaiCXtLOuyPoLF,1,not available
84,Flares,1TEOokCvE3KKyACKbI0HfM,Dntel,1jf3CssdtSksxNa3uIpPzS,After Parties 2,3lluw9HqZvCV62QzCgsMqm,0,not available
85,Peepsie,0dZnQObSJ8DqFC6DI9Y6qx,Dntel,1jf3CssdtSksxNa3uIpPzS,After Parties 2,3lluw9HqZvCV62QzCgsMqm,0,not available
86,Hits Line,2yQVuRhVUAuwnovpuQctQL,Dntel,1jf3CssdtSksxNa3uIpPzS,After Parties 2,3lluw9HqZvCV62QzCgsMqm,0,not available
87,Aimless,5tNy0KbjmSpnryAW9RrXAa,Dntel,1jf3CssdtSksxNa3uIpPzS,After Parties 2,3lluw9HqZvCV62QzCgsMqm,0,not available
88,Leed,4bUKAuVJSPPqArNwmlcHqw,Dntel,1jf3CssdtSksxNa3uIpPzS,After Parties 2,3lluw9HqZvCV62QzCgsMqm,0,not available
89,After Parties,3cKnFZUiGSKQwksWy2hlcd,Dntel,1jf3CssdtSksxNa3uIpPzS,After Parties 1,2T2IakPRoXlKh0r6Iqoby1,0,not available
90,Lindsey,4uvE86KXvYdD8bgbJMjUPq,Dntel,1jf3CssdtSksxNa3uIpPzS,After Parties 1,2T2IakPRoXlKh0r6Iqoby1,0,not available
91,Soft Alarm,68UurenE3PrfodCrOwbQ81,Dntel,1jf3CssdtSksxNa3uIpPzS,After Parties 1,2T2IakPRoXlKh0r6Iqoby1,0,not available
92,Semi-Precious Stone,21oUlZ9GUpadGlTjoPyItd,Wolf Parade,0XSqX2PB3C5dTMv7SZaxSm,Semi-Precious Stone b/w Agents of Love,0Hlr5BczvdcWVNPFEId99m,0,not available
93,Agents of Love,5xxYhCURWB1USr0IcaI6ib,Wolf Parade,0XSqX2PB3C5dTMv7SZaxSm,Semi-Precious Stone b/w Agents of Love,0Hlr5BczvdcWVNPFEId99m,0,not available
94,Sam Kinison Woman,04TfvnVN4QSwOCUBAvTxKZ,Pissed Jeans,6FTONkEJQsCSpoDHqaAP1V,Sam Kinison Woman,3z3rGs2S8AnpCyjGwQWq57,0,not available
95,The L Word,0PDZ7DLLUh5jkHBNPFYJTF,Pissed Jeans,6FTONkEJQsCSpoDHqaAP1V,Sam Kinison Woman,3z3rGs2S8AnpCyjGwQWq57,0,not available
96,Rock & Roll with Me,00baaEBIvGUs9O8cjKJzJb,Kelley Stoltz,6NZ4NDGpMT4p82PCJh57Ec,To Dreamers,6ekNJXv7vwlCXxntfAplOo,0,not available
97,Pinecone,6L00Qz6781IQTuZbDPwWjn,Kelley Stoltz,6NZ4NDGpMT4p82PCJh57Ec,To Dreamers,6ekNJXv7vwlCXxntfAplOo,0,not available
98,Keeping the Flame,5J2sxIgSuUZfQqLnyzCIVN,Kelley Stoltz,6NZ4NDGpMT4p82PCJh57Ec,To Dreamers,6ekNJXv7vwlCXxntfAplOo,0,not available
99,Fire Escape,0Ltz8kEVJWdJKrHsWPwKr9,Kelley Stoltz,6NZ4NDGpMT4p82PCJh57Ec,To Dreamers,6ekNJXv7vwlCXxntfAplOo,0,not available
100,"I Remember, You Were Wild",2zUmnjwxToo718NsHJhMOV,Kelley Stoltz,6NZ4NDGpMT4p82PCJh57Ec,To Dreamers,6ekNJXv7vwlCXxntfAplOo,0,not available
