2018 BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
91,Love and Property,5CBdLZNSPR4utVoXkKMrRN,Greenwave Beth,2anyntZ1zZC2EyVuEqg7x9,Dinosaur City Records Mixtape #3,1fmviXHurqpt3Gzz4jGUIu,0,https://p.scdn.co/mp3-preview/bdff9a30675a92dba812eaa51cb75fe673200d54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Tender,44Ubar1mdfpVA9Uw510xLw,Tuffence Meringue,43BwUfU5iNCGrdZ155vDs2,Dinosaur City Records Mixtape #3,1fmviXHurqpt3Gzz4jGUIu,0,https://p.scdn.co/mp3-preview/63dfbc1f79593f916445c9b895d1c3f0441a28d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Jk Not,6hmYjTMR06rv2OfoAuWSlz,Navy Gangs,4xHJy4HgM47bJHMA0XCMOf,Dinosaur City Records Mixtape #3,1fmviXHurqpt3Gzz4jGUIu,0,https://p.scdn.co/mp3-preview/b1ce019a584f8530b85962c24be1b58fb4dec1b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Cockroach,1E8Cx69tP8SiJjS09G6uYs,Bourgeoise Earth,5zh8vPglinzTwEosvqtYID,Dinosaur City Records Mixtape #3,1fmviXHurqpt3Gzz4jGUIu,0,https://p.scdn.co/mp3-preview/d43c14e56c4670906ec0af236870bd7c61a1d3e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Without You,0tkreDIymxcLx3XBjpHxDF,MEZKO,04fhc7PLNprdHcVf5CyjuD,Dinosaur City Records Mixtape #3,1fmviXHurqpt3Gzz4jGUIu,0,https://p.scdn.co/mp3-preview/50665afdefa0261253b7d51fdd84b81e52d2a1b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Gutter,24fXolc59QNLxLarlqzw9P,Real Love,76ziW61akksdBJINaNLJB1,Dinosaur City Records Mixtape #3,1fmviXHurqpt3Gzz4jGUIu,0,https://p.scdn.co/mp3-preview/fe3965f5c02a9f8a775b1fb8a1790fdb0248929a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,Bar Cards,6Nic5iSgstUswSkHOnanCF,Bored Shorts,3uYP6IV5RkbTCZsWRnJEQL,Dinosaur City Records Mixtape #3,1fmviXHurqpt3Gzz4jGUIu,0,https://p.scdn.co/mp3-preview/2e2b1721d1f827609e106ea6dcd742a6a907a669?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,In 2 It,68FDo9fOfT4uMPkh7nX1NO,Solo Career,2j4psU9AyAD46rqgtXfl8R,Dinosaur City Records Mixtape #3,1fmviXHurqpt3Gzz4jGUIu,0,https://p.scdn.co/mp3-preview/43d400420d7ac6b86dc6c9cbcc41db568b9d8c60?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,One More Night,02MRLZSH5daHKtPqYWnuB4,Sadventure,2kw0KmpvA6EZkIKOSsUQnk,Dinosaur City Records Mixtape #3,1fmviXHurqpt3Gzz4jGUIu,0,https://p.scdn.co/mp3-preview/27749eed0ebd048382a1dfb18f6c1d1b2c6677e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,Trickle,10vXsqg5N4MEi86HOH4VCP,FRANK,4erf3FC4VCuruSU8sItEKx,Dinosaur City Records Mixtape #3,1fmviXHurqpt3Gzz4jGUIu,0,https://p.scdn.co/mp3-preview/b3601476e41a91ca464e3c28830df714ae6592bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
