25 Years of Summer Jam Hits,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
38,The Motto,49ySwzAyvxcNXOkOP6ZB1L,Drake,3TVXtAsR1Inumwj472S9r4,The Motto (Explicit Version),4yyKZOy1Nq9DPfzf5O4Hpg,9,not available
39,Peso,5sl2735QKaOmL8UL4Q39Ut,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Peso,5iHriAMstCv20NpOo0BX1A,62,https://p.scdn.co/mp3-preview/27bf35b15b405f3dcc112d2f939bffe5efbc7509?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Lotus Flower Bomb (feat. Miguel),3MAgQuClHcAV8E9CbeBS6f,Wale,67nwj3Y5sZQLl72VNUHEYE,Ambition,0jCVC8ndYYOooEY2YTO1l6,68,https://p.scdn.co/mp3-preview/575838aedb77beb7c9cfaf7620b1eff486117771?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Black and Yellow,5A6OHHy73AR5tLxgTc98zz,Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,Rolling Papers,6ZOXiVL8rmk2ATHJiFJhiD,75,https://p.scdn.co/mp3-preview/743b231f046440a6076fef4bb670f133d05651fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,B.M.F. (Blowin' Money Fast),35QGdv6aFbIaLM0Ozr3rHt,Rick Ross,1sBkRIssrMs1AbVkOJbc7a,Teflon Don,0jipZxGtkTDHjVerLkzO80,56,not available
43,Find Your Love,4BycRneKmOs6MhYG9THsuX,Drake,3TVXtAsR1Inumwj472S9r4,Thank Me Later,6jlrjFR9mJV3jd1IPSplXU,62,not available
44,POWER,2gZUPNdnz5Y45eiGxpHGSc,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,My Beautiful Dark Twisted Fantasy,20r762YmB5HeofjMCiPMLv,79,not available
45,"Beamer, Benz, Or Bentley",0cNJ3huiV99wvUN1tmQLTL,Lloyd Banks,3vDUJHQtqT3jFRZ2ECXDTi,H.F.M. 2 (Hunger For More 2),0h8gzYOChHoUjn3xt4mDsS,58,not available
46,Hard In The Paint,7cd9sDJhSrIsZtnpPzSV96,Waka Flocka Flame,6f4XkbvYlXMH0QgVRzW0sM,Community Service Vol. 4,4gSfyqTbPphQFxXpxHw6iZ,28,https://p.scdn.co/mp3-preview/75b44049f6df5bb689d80567165a8a6c5a43650e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Best I Ever Had,3fyMH1t6UPeR5croea9PrR,Drake,3TVXtAsR1Inumwj472S9r4,So Far Gone,61NNWRxokNUQx0aYysBL76,12,not available
48,Empire State Of Mind,2y0zglZs6AlNBg4XEm2leW,A.Keys,6VtkJKAvBr6PT1Lh54Aq1p,USA Christmas Day Number 1 Chart Singles,67lZb7n8A5rSUJAf5jFMGn,6,not available
49,Day 'n' Nite,4ywmyUAQ0WAdNHXpoWWqfv,Kid Cudi,0fA0VVWsXO9YnASrzqfmYu,Watch Dogs (Music from the Video Game) [Original Game Soundtrack],1D622TWd7hvxVZicNjVLjl,51,https://p.scdn.co/mp3-preview/3df15358a59601608c4e589922114f7e8e5d5a01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Forever,6HSqyfGnsHYw9MmIpa9zlZ,Drake,3TVXtAsR1Inumwj472S9r4,More Than A Game,55UhXq8grzHPga0we8mEL3,69,not available
51,American Boy,22UDw8rSfLbUsaAGTXQ4Z8,Estelle,5T0MSzX9RC5NA6gAI6irSn,Shine,5y4Ikuc4sLtNOpanoKKqwo,79,https://p.scdn.co/mp3-preview/c5ee61bf5c6c01d923aec35b6f52df76ac651bfb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Whatever You Like,1IAzD1muglOxOcPbUHs70R,T.I.,4OBJLual30L7gRl5UkeRcT,Paper Trail,5PfepkNWgRR2DI02Y8AawC,76,https://p.scdn.co/mp3-preview/c82678be83d118b5d815dda0ecc00b5ad99e81e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Sexual Eruption - Album Version (Explicit) FINAL,6oap7i6E7uqmyIxG0nplVI,Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,Ego Trippin',7HnpPsuzBgpkbZJm0GOMgC,39,not available
54,Miss Independent,34ceTg8ChN5HjrqiIYCn9Q,Ne-Yo,21E3waRsmPlU7jZsS13rcj,Year Of The Gentleman (Bonus Track Edition),6dTn9vJSxVTIGm4Cu5dH4x,69,not available
55,Swagga Like Us (feat. Kanye West & Lil' Wayne),2kNtAwWATYkqV3CdT20RV0,T.I.,4OBJLual30L7gRl5UkeRcT,Paper Trail,5PfepkNWgRR2DI02Y8AawC,59,https://p.scdn.co/mp3-preview/079dec645405d2b98f9b24dac70c8d2bb8742d23?cid=fa83a2fec7c440b7a2795d600d6b2c7e
