Feel Good Friday,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
43,Giant (with Rag'n'Bone Man),5itOtNx0WxtJmi1TQ3RuRd,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Giant (with Rag'n'Bone Man),4PwXTHenZZx7ebgsnTM65K,84,https://p.scdn.co/mp3-preview/0f2bfeddc5705a09caf868f7e5aebf7e9fd8b6bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Strangers,1Lz8M0HL8IPugvYoTjJjfE,Sigrid,4TrraAsitQKl821DQY42cZ,Strangers,1i9YOL3HV1PXUL18TdzLaT,57,not available
45,Dished (Male Stripper) - Edit,7rUPp3VSAs7MZuCIIwMWTQ,Purple Disco Machine,2WBJQGf1bT1kxuoqziH5g4,Dished (Male Stripper) [Edit],5zbrCRpKZP0iObMDfjwKjm,54,not available
46,Movies,1hMApuynE0hC7m41JFN9tE,Circa Waves,6hl5k4gLl1p3sjhHcb57t2,Movies / Be Somebody Good,5hgoHzbFqij1ekGDFUoutv,55,https://p.scdn.co/mp3-preview/3a232f0524b0287bec0ada2d8ce627aad436784e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,High Hopes,1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,Pray for the Wicked,6ApYSpXF8GxZAgBTHDzYge,87,https://p.scdn.co/mp3-preview/f6404b1b3199442271c17d9e1461c3f2a52018f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Here With Me,5icOoE6VgqFKohjWWNp0Ac,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Here With Me,6NHS3hV16MZyfcp0nSHdrd,86,not available
49,About You Now,1ctdfJSzp6qF2iDAVdDrfl,Sugababes,7rZNSLWMjTbwdLNskFbzFf,Change,1xY00CnzzvXjYZjZEUS4qI,66,not available
50,Put Your Records On,2dEJE18eoskLm4bjSW6kmY,Corinne Bailey Rae,29WzbAQtDnBJF09es0uddn,Corinne Bailey Rae,4ShaH3pEqEonoqH3L8ceR5,44,not available
51,Play,29R1IMTTbDDA3VNlk6UEW5,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr,Play,7ugwbZf0nbP0s2s3IaiU70,68,not available
52,You Make My Dreams,4o6BgsqLIBViaGVbx5rbRk,Daryl Hall & John Oates,77tT1kLj6mCWtFNqiOmP9H,Voices,4LniALl9S6YedTFdiZWOMS,79,https://p.scdn.co/mp3-preview/771d17fd95b403d1cedf9337822038f31847dcf6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
