Room 2: Urban Classics,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
78,Like Glue,6pbCkvCENw0suVGr4Ckkae,Sean Paul,3Isy6kedDrgPYoTS1dazA9,Dutty Rock,3nAwSh2fcp3M8voQKZS2as,62,https://p.scdn.co/mp3-preview/60b3239394de896716595455b9f65acbda1aab7d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Where Is The Love?,7oPnZNl1acGA7ELxsNirrR,The Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,Elephunk,2Yx0X8CYJD0G2pvJYZcTxt,64,not available
80,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",5PMKzsUsTpZZGsCcJBuhP2,Donell Jones,5KNqYrivNgVCHBssEUSu5B,Where I Wanna Be,01riz9JMpPdL99fYhoZaph,61,https://p.scdn.co/mp3-preview/c56fbcc782e2c65a0a82f991a2d91afca34b2c57?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Bootylicious,31CsLSgn0HdZEVC8Bnnmvr,Destiny's Child,1Y8cdNmUJH7yBTd9yOvr5i,Survivor,480AZOo2VQ1kf3GedAiKV9,65,https://p.scdn.co/mp3-preview/ebd1b6c361b104fbc1f63319193b42c26eb34fca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Perfect Gentleman,7bVeIwMoakhx9SzB0NMn98,Wyclef Jean,7aBzpmFXB4WWpPl2F7RjBe,Greatest Hits,4Ip2M1LyOpNT4JDxZnc6u3,54,https://p.scdn.co/mp3-preview/cd0a97b093a789934899b764de6fd3224dee16cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Family Affair,3fYmEIBNpvPZTCrrHPhrCK,Mary J. Blige,1XkoF8ryArs86LZvFOkbyr,Reflections - A Retrospective,0FIbNt9exRxDm6ANemuKBC,7,not available
84,Yeah! (feat. Lil Jon & Ludacris),2w9Nu1hgsBRlcgiRGXucgA,Usher,23zg3TcAtWQy7J6upgbUnj,Throwback Thursday R&B Jams,1uK1d6H0smXhjc13Osgoj1,1,not available
85,Summer Of Love - Radio Edit,1bmnlM7k7q1E8kO4SSrZBn,Lonyo,7ggOyf2aSSBXOS8RTvy9Mz,Summer Of Love,2ZEP1ais9sYt1SRPnra8U1,43,https://p.scdn.co/mp3-preview/daec1b0ab406eabc25317a677057ef668a6213e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,It Wasn't Me,0ec2YqaLnasKAES0iWMmhy,Shaggy,5EvFsr3kj42KNv97ZEnqij,The Boombastic Collection - Best Of Shaggy (International Version),0JFoLERkkPF0TMg5XnMjDs,55,not available
87,Why? - UK Garage MC Radio Edit,1dHLyXaqQDLxH4IyZ3NgdN,Mis-Teeq,6csA2rxNLkQJXeEa7lyGXn,Lickin' On Both Sides,5TMQsvBUkHGxOEnPEVPrj3,48,https://p.scdn.co/mp3-preview/f21c20eddc109a0351796c800e21e6bac357c79e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Let's Get Married - ReMarqable Remix,0ORQ2L5bsBcGH9a5mJp1DX,Jagged Edge,7Aq8lpLMSt1Zxu56pe9bmp,Throwback Thursday R&B Jams,1uK1d6H0smXhjc13Osgoj1,1,not available
89,"Bills, Bills, Bills",1Oi2zpmL81Q0yScF1zxaC0,Destiny's Child,1Y8cdNmUJH7yBTd9yOvr5i,The Writing's On The Wall,283NWqNsCA9GwVHrJk59CG,66,https://p.scdn.co/mp3-preview/5947a78d5f8dbf6cd776b9fef4aedda4c406f8ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Tell Me It's Real - Club Asylum Steppers Mix,7qvjI9Mo0KQTGz6NB0ZLYQ,K-Ci & JoJo,05RZIdfz59ZW2FvFuwnmNK,X,48JsbOoVdwVMARvLKoYZYY,45,not available
91,Get Busy,5qTvkDrSfvwDv6RBjjcfQr,Sean Paul,3Isy6kedDrgPYoTS1dazA9,Dutty Rock,3nAwSh2fcp3M8voQKZS2as,72,https://p.scdn.co/mp3-preview/9852d037d90d8059d97546917af1ead2f7393321?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Scandalous - U.S. Radio Edit,3stnrhzN0lzZFskbaZ5sEw,Mis-Teeq,6csA2rxNLkQJXeEa7lyGXn,Mis-Teeq,7fw8rAhWi3UWw92jgemhbZ,56,https://p.scdn.co/mp3-preview/a5e3f191b0d4c82f180ee64746e4cf472ed3cd33?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,I Need a Girl (Pt. One) (feat. Usher & Loon),7lVNTXkI3cHFvcXiI8damb,Diddy,59wfkuBoNyhDMQGCljbUbA,R&B Hits,5Bp5PZqYJ9tiz0Hf6lOD5Q,65,https://p.scdn.co/mp3-preview/51009fab8f1b1bbf2a06f9736fb7758c00f4dce3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Oi,0IrgT8AoXX5FiHPNkxrcak,Lethal Bizzle,4KGNjRvBeqS7wDrExXVN8a,Best Of Bizzle,6Kdsrh31egVDwdWFNKb6XW,45,https://p.scdn.co/mp3-preview/14272308814df3de828b5a1b0f0b65aedd740e4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Work It,3jagJCUbdqhDSPuxP8cAqF,Missy Elliott,2wIVse2owClT7go1WT98tk,Under Construction,6DeU398qrJ1bLuryetSmup,72,https://p.scdn.co/mp3-preview/a007b4cabe8441d6d878da45bc3b71471848101e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
