Easy,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
43,Copenhagen,7InbW1uQxnPs3pIvh6gGu8,Jack Vallier,2wnHlwpI5kZaXQRGq21UNN,Copenhagen,5VLdsaraoRFqlVypErg2lq,54,https://p.scdn.co/mp3-preview/d111e61f93a9dd6d4b969d308f859b87571db901?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Pick Up Your Phone,4hIppgm5PYoVIoGtCCSJnh,JC Stewart,2TAqN8fwfaKauvviN4pOsv,Pick Up Your Phone,0R4xeAX58W4xrgIQ9OIJ6q,56,https://p.scdn.co/mp3-preview/a612ea34285bc778bcc78d53df16fce7f38c1feb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Falling Down,68GFPHr5LtadnQ8wOtramJ,Harrison Storm,5Ld19xtpAR80G2boTcHaVx,Falling Down,4h7Qc4WQRLAuyuRxEEDFkg,57,https://p.scdn.co/mp3-preview/a41ec23361ff6938cc2df59d51e2cac4905a5d8b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Barcelona,0Obw4BtHqS4xkgKLliS9sa,Brother Leo,4FEOZMbo7XIdGHVrrioAP6,Barcelona,3LGMGt3NT68OsawMb7eXAr,47,https://p.scdn.co/mp3-preview/7a04c55e66e68e8b69556aa1fcfb182dbe456e30?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Lost,4MQ6QWqJztCZJYEAXeQkIf,Will Heggadon,2Y0sh9cqZb8lhfWsIsByAO,Lost,7dYEBfjq8oAgiB76zKLbX0,41,https://p.scdn.co/mp3-preview/5f84ca0826191223fdb20ca4c2bfba0bf873d548?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Faith,7GV76jsKLVPMNPA96mXu2E,ANYA,0LtICwkx09q0oc4VjuwJTT,Faith,4Fyu3D6jQNBCWcNy7sTjHg,49,https://p.scdn.co/mp3-preview/4a444e7a6f7a52bb28fe8778aea5f2e6b095aa4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Real Life,1YKWVtChHNu95KWJQMgtwi,Emeli Sandé,7sfgqEdoeBTjd8lQsPT3Cy,REAL LIFE,2IDveJpLabNqS3bSavJ9T6,56,not available
50,Carry Your Light,1aGdvA6S033vzVT7NEh0IP,Nick Wilson,09Z3wZ88af1pfyJxziESQF,A Face I've Never Seen Before,4V5lduQnf5bfrx4FnLno4T,54,https://p.scdn.co/mp3-preview/89a5b05c6e38e00e874f6bf57244d1a3aff29781?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Better Half of Me,114xcQz8sZ6fxRBTZmgmNE,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,Better Half of Me,3qMdA1s9e4FiWOlVFViq20,64,https://p.scdn.co/mp3-preview/399031dc531b563a49779932cac87f9c9f161d85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Running to the Hills,1674dVJi71UNTetOckMldn,Dan Owen,3wrdNgjTSLLQZ382sPyoA5,Running to the Hills,6mDjTwfz8PygKZLS328MZI,45,https://p.scdn.co/mp3-preview/a82e08162026b5638d76e20e2d9734f0524be1ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Different Kind of Love,1u1gxhg453Qv1sBUYtomtd,Hannah Grace,597GQ9dmhOQoBfqmfQINKB,Different Kind of Love,7Ad8aMOpk50RA9KmlEtCZK,9,not available
54,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",322tcqPhma7F6hfCeLisx0,Lauv,5JZ7CnR6gTvEMKX4g70Amv,"fuck, i'm lonely (with Anne-Marie) (from “13 Reasons Why: Season 3”)",60sI3iRfHfu7YpcTpZ29W1,92,https://p.scdn.co/mp3-preview/f516b7ef3c83e390a1c965c5b3730ebe4a6c667d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,One For You - Acoustic,5WrDwOrl330xJzlj3yLAWZ,Blakey,3cqjRMFHyTEbY3Gq1P7sAl,One For You (Acoustic),4oZlF4IU77TmVHTdJJbPp2,48,https://p.scdn.co/mp3-preview/36123d0b6f48a0cf0090f4edb95817e4d53acfe8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Unspoken,66MxyiQy54baNhSyg3wiIn,Aaron Smith,5Nm4sZeWDNd1sOs5HcxAbl,Unspoken,7kRUXMREmvFYqvh5IEZvmt,65,https://p.scdn.co/mp3-preview/a80886e018ef1ad07931e0b39ccb49d611c6b964?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Beauty in Your Brokenness,1idFKgxkwqOcMJmlPGy1MS,Wildwood Kin,2KOxHm9lGE9lFZDQdebD6B,Beauty in Your Brokenness,1fEzwtHUDlN33c35KvM5e3,48,https://p.scdn.co/mp3-preview/6466e901ce4176a2b3e0c78b629147cae4e542a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,I Won't,0d8ecVQ21crDPnkOmstmig,Richard Walters,3rUqgY188kWz0hKkqnpk9F,I Won't,7GlB46U9wtvRcAu95TeAjt,56,https://p.scdn.co/mp3-preview/ac33b35d31aaa65fb8f8aeb3143a5b96cd074c87?cid=fa83a2fec7c440b7a2795d600d6b2c7e
