Déclassé,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
41,Lit (feat. A$AP Ferg),4OCuHoCvatMsnD5VITttCs,Octavian,5zfEatKLDdRkgbw6sdLBAQ,Lit (feat. A$AP Ferg),1XtGGXmpNStzrFLmoWkBDR,57,https://p.scdn.co/mp3-preview/8155de0d97f1c03d327d584e4e4f823ba743be48?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Côte Ouest,5Q8gCS68FITJDiWnedMejb,47ter,0aXaZj4wB5jLF2E2d8WEVi,Côte Ouest,6MQs1Wt5328zlD3m33J9d8,69,https://p.scdn.co/mp3-preview/fd17b3891d9ec4a293ba776578b0a07f0e45cd80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,holy terrain,0ND36delZlYUcwNaCk9Uf5,FKA twigs,6nB0iY1cjSY1KyhYyuIIKH,holy terrain,1hDlZBsaWOz8St9iioQF0y,72,https://p.scdn.co/mp3-preview/a77c481b1915cc4c2d19da312efef11c036b57fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,FEFE,2l8nEO0vsTRCRnGqQty6qx,6ix9ine,7gZfnEnfiaHzxARJ2LeXrf,DUMMY BOY,4f8pX9Vjs9uU5aKjqDNcDO,81,https://p.scdn.co/mp3-preview/975aa3227f4d06fba4cd0a3de39bd72e8acaed6e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,BAMBAM,5f8nPSxuYwoS3Fuql6btfg,Ängie,3pgtze01npIBY3DCDD5flw,Each Other,0pI8FbPaT5z0ZKKXmIE5Lc,50,https://p.scdn.co/mp3-preview/b044d81b48b0f3fd5fdcc2646fc5011d8baa3107?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,The London (feat. J. Cole & Travis Scott),7DcvwMAiqKJQD1rrdfxSDx,Young Thug,50co4Is1HCEo8bhOyUWKpn,The London,6p9Y1K9yu3ojyS8fBJXUnp,89,https://p.scdn.co/mp3-preview/1172c366301561c0e3adc84ffdf95f8fd760ca54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Dans l'univers,3OmMEncU5Z8hZJVKwAMZpk,Nekfeu,4LXBc13z5EWsc5N32bLxfH,Les étoiles vagabondes,5eLZYtCXkFIsOmpVc7vrI2,38,not available
48,"100 Bands (feat. Quavo, 21 Savage, YG & Meek Mill)",5duCElafuovM4ZSmkQL4hn,Mustard,0YinUQ50QDB7ZxSCLyQ40k,"100 Bands (feat. Quavo, 21 Savage, YG & Meek Mill)",1Q5yQIQXBLDWTSIYXF2oJc,68,not available
49,Smoove Kriminal,2SULeROPQ6q2kx1Lb2ylDX,Young M.A,7LvoDJUNGnOrPdGRzVtOJ9,Herstory in the Making,1F1JJHhqMo5DETJkesqGpG,58,https://p.scdn.co/mp3-preview/38e700957d30807f5da4128366cc74fe5b9670dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Saint-Tropez,7C39RtGhnEw7cyf0Pyw7PV,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,3KziODx7ieQTgYCVrS6nBv,84,not available
