Mujeres del Indie,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
42,Cortemos,27yn2ODiJLkrN41zDvmEw9,Pamela Rodriguez,0xSlY9GBehjuViqWE1KrMC,Pamela Rodríguez y FFAA,3Sddgopqc6s6y6iSrKyVGS,39,https://p.scdn.co/mp3-preview/96c33006961f098c7d242444003abe4c0fc67f8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,MALAMENTE - Cap.1: Augurio,5zOAudPQIs5U8zP6LQGHmH,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,MALAMENTE (Cap.1: Augurio),2O7Zu2OPZzqehwh1wiO764,69,https://p.scdn.co/mp3-preview/e144483031e39b729519d4b229baf62f33d61ca0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,No Me Encuentras,6oSYFdzNQE4xcMHZSsLSyG,Tatiana Hazel,5NvrRBcK6hRuboOL0CtZXU,No Me Encuentras,4w5wqZhyYXb0fvMuINF0kR,38,https://p.scdn.co/mp3-preview/90021be9a040b836684d93faa553d325409b8841?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Para Dos,4O1wTxFcSAsvE0blEbsIkY,Cocó Cecé,4MAPWlyF0tOgw8djPFLU9V,Para Dos,2dT87pA1XEnnuQaC8uB88G,30,https://p.scdn.co/mp3-preview/771bdce9fdf4e2e5fadada401ad8f70cde573088?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Olga,4d3iFjV5XBQ6u9meTBcWly,Fer Casillas,1zl3p4VBfqqHGikw3Ad46R,Olga,68D3DfF2krx0XOhfDxwjuL,23,https://p.scdn.co/mp3-preview/938270123c8614ae658a532a01f7d2ade9d942ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Hacia el Fondo,4PjdRJ5qKarmZkExU7X1BY,Rubio,79YjWaAoD88XGLETIsnnQV,I,0paC09xWlXqfwWhcIdCpB9,0,not available
48,Abril en Madrid,7bLdIe7IAyIAEQfTgtwNwZ,Marcela Viejo,1j2sGZWC8B3TvIxsK7mVpx,Pequeñas Profecías,6TvZMi5VZl449aqj0xF6Tb,23,https://p.scdn.co/mp3-preview/113faac9a216a3cf1a0e6bec922cab4c5345201e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Clase M,0E1xiD3gjKu7dtyv9mfFkL,Niña Tormenta,0KJEHAoNtPaopqOHD6UIkY,Loza,0RAoYFdwdNtRG19pGJK8Be,36,https://p.scdn.co/mp3-preview/e7d90a60c7a5973c958c047c99e8b445ec3c0b84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Alma mía,4zwnhH4aFWiXGzUBInMrK1,LaTorre,1jiEzyMQwfYcQtp19fwOTZ,Alma mía,74EbdS6zuGWYOSV1EVqYJZ,28,https://p.scdn.co/mp3-preview/12224fe7e05070f8e1d680cf0f4f90dda2bf42f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Estallar,3QFlpIJd18JNyQbnWQWiph,Soy Emilia,09MCzRiOuz48BY0imXgFFM,Reconstrucción,20NTZgsDfie7eJEHfhKnmh,25,https://p.scdn.co/mp3-preview/0eb5821b5b3f2b04907bbbe0f15bf3ed0a493297?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Secuaces,09D8U0TiGcj1gAwP3dSlUC,Rey Puesto,6WvxtJVJ2rXajpU69sMr5I,Secuaces,4lTsV6kmt2XqAJqSrwmZXp,19,https://p.scdn.co/mp3-preview/de9567fa9747996b2e00a6e0d7049463344711b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Hoy - Moügli Remix,4SboKdud2c6qtuOFYWeQpk,Pedrina,7BdQWt4FjHEvmTH6jmaJd1,Hoy (Moügli Remix),3P9hrHk2e2YrM65E87Ubab,23,https://p.scdn.co/mp3-preview/8caf157e17497408c003d1356d13e5aaa21b4d36?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,A Lo Que Vinimos,0hNjrvEpHe4LMWQ2ARc9Hh,Paola Navarrete,45nJ2GweSs0s4gWVGHLhYu,Verde Fugaz,0GpMfBHm18jWYpxCoj3Obo,32,https://p.scdn.co/mp3-preview/8f2151a6d4103ae9fd589b72810350e39fba7885?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Desbarátate,3mSFVduZlEwSOAcHNh7rh7,Valsian,4f8uwOhcAdzozAkqq6AEwa,Desbarátate,3q5IbF5RKhgDVbm3jhonVz,25,https://p.scdn.co/mp3-preview/0d1536ede8573884da3871e2c0fc63af40474361?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Ay tentación,36aqyvgi0LDv23pZNYTbFH,Chicarica,6FCUGgR9Bf7zx8q7Sog9dN,Ay tentación,4WClPjVnjq3q5FwHpX8cg9,36,https://p.scdn.co/mp3-preview/222ab6665144782abf155c6b508a995667d89ba8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Quiero Que Me Quieras,69I8H6hOjJtysbOQIdRZCO,Marissa Mur,5kt4v3JNtP8svtTI8PDFOT,Quiero Que Me Quieras,2SywNh8zslIfAVJnWzXBkv,36,not available
58,Corazón Negro,40MCJ7vMPvmENFf7yDBtmi,Aida Bossa,67pueAIehGjbKbuwPQ0Lyv,Corazón Negro,6jSPaMf0h8xKnp4kgRQnhU,30,https://p.scdn.co/mp3-preview/79c702989dbee92e9319cb1f0dacd0ca7794a4bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Imanes Permanentes,1ifr5Ncd7ZyFxOWi91P2mq,Tania Barbará,18zlMHVUNwCW1CmnG4pgFP,Imanes Permanentes,47vVmsHL6m1NU04SGbntO3,19,https://p.scdn.co/mp3-preview/0c4be256cc2aaa0b2f5e9c78172d87bdd8714ba1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Casa,4mEpYGrEDFek0JJznKZ7Hv,Fer Casillas,1zl3p4VBfqqHGikw3Ad46R,Imágenes de Olga,1TZeaHikj2S5KfKEoWdcDA,27,https://p.scdn.co/mp3-preview/23432130acc072ae0fe00f3e235a1ab6af1e478d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
