"Café, Libros.",Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
42,Water,23LO0vpCsno4HBk36R5yEn,Birdie Busch,0IuTILt9CYAi0LgEGH93sD,Water,2A6L16e7qs2bGzjRxEJmvN,2,not available
43,Despacito - Acoustic,3tqRrUMHQ0y80CN58Xh0CT,Aberola,0i3cbCgMSQS3tXMVFXoaTC,Despacito (Acoustic),1Pt8HB8WKl2eVAgE0MTMeB,53,https://p.scdn.co/mp3-preview/1a7455144bfade6d0a7c9004d9d7757d2543157b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Eyes,61jdfQE6tyDHQS6tBzfEn0,Ambar Lucid,4nzV0hThyodYzrwksnS86G,Eyes,1N5xWe3kxR3EDOVbq2FS2F,46,https://p.scdn.co/mp3-preview/c761935b51f77a04697dbf17791ee8772c3991ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Mothers,6Nqtm7NVrrki8XxAhh5soI,Steady Holiday,3jLDJWlhuDcbq1DTlWp0NM,Mothers,3yZAj3Ar12YiBbC2r0cHXr,2,not available
46,Attention,3vwj1C07osOH8vqi6qmOoY,Reason,1afLcYZN3PBlA09Bw2P6e6,Attention,30yS0uvaCdl5ANFuupquVk,53,https://p.scdn.co/mp3-preview/b86562678e96a07eadfc381bf96d534932a233e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Sleepless,720kcKRMGl2rJh6jsfu8Z5,Novo Amor,0rZp7G3gIH6WkyeXbrZnGi,Birthplace,0tWckYjFI6ioZptLr42J3p,52,https://p.scdn.co/mp3-preview/068811f159536e7bbfaee824ef406cb8c83739a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Mi Gente - Acoustic,1ci9VbZkSxkWmWkD5xGurr,Aberola,0i3cbCgMSQS3tXMVFXoaTC,Mi Gente (Acoustic),6ygBeTx54rBIFb2YIkq5tj,54,https://p.scdn.co/mp3-preview/1b612dfa3ee8213adceab1b6fc0961024749659a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Enjoy It While It Lasts,46aRt9ol4YgFYVpMzj6M9c,Easy Wanderlings,2hfWu4We2fbIRY9kClxBHT,As Written in the Stars,4E1if5BmJTV3ryoNkVGFzm,45,https://p.scdn.co/mp3-preview/c8126ee0ee201d458f6e887bfb0336fdcdd1a16c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,In the Air Tonight,4nixlf5mp4AuWZ5yDOHAsY,Tom Speight,02U4dXZhGSo07f66l8JZ91,In the Air Tonight,0wTG8yKMH91knOCvxfCRrl,6,not available
51,come out and play,7wC5eZcFS1Q1BsQ35DU6H4,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,come out and play,0ifM8RTX9HjtCJtY9452bW,78,not available
52,Wrong,38UrVXf59mHTI4vQD3Zz51,Loyal Lobos,26BPVK55HCqiBNb32TXfBf,Wrong,4xc9qA72raiiFI0Aolk6W9,39,https://p.scdn.co/mp3-preview/87198dff7c194f11e5fb1d4cf2e6f09915ff6c32?cid=fa83a2fec7c440b7a2795d600d6b2c7e
