Merge 2017,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
80,Gulfport You’ve Been on My Mind,6M56KyzbJug7uCfRWHY5j3,Hiss Golden Messenger,37eqxl8DyLd5sQN54wYJbE,Hallelujah Anyhow,0UnyFPAZ67GwQztV0DPyfj,34,https://p.scdn.co/mp3-preview/29015d72161300019634d2968cb4ecbf6941d8f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,John the Gun,6Ylg84l84JUzALdqXi8ptY,Hiss Golden Messenger,37eqxl8DyLd5sQN54wYJbE,Hallelujah Anyhow,0UnyFPAZ67GwQztV0DPyfj,35,https://p.scdn.co/mp3-preview/3fa6942f54b1ad6a694a2ce34a39400815ec26ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,The Best Ever Death Metal Band in Denton,0ZU4ImdR4d5TK6TLz8PacY,Laura Jane Grace,4yfPiAauSgUfyc4k4WtwM9,The Best Ever Death Metal Band in Denton,7ke4uZ9QlJwkAe5yWmwV8X,29,https://p.scdn.co/mp3-preview/96c7ad59005864bf717992abd5394a634cf80804?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Freefalling,6ZqMCACtM515bultRA3rgh,Hollie Cook,1fwuUuFbqXJx3B17PUhFCE,Freefalling / Survive,406vFRc1KkJx3HA826O3vI,15,https://p.scdn.co/mp3-preview/98ac815b4a6773f58fa3341e815723eee65e0076?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Survive,5orwjXbeD3aTBN69cVZTeZ,Hollie Cook,1fwuUuFbqXJx3B17PUhFCE,Freefalling / Survive,406vFRc1KkJx3HA826O3vI,18,https://p.scdn.co/mp3-preview/9877d44b9d86f757c9d07dfc8c85bfd1938bacd7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Iron Curtain,10x3l9usuc8mIomqJNelIt,Escape-ism,48TRPVbEYuT05V1bvAR5pq,Iron Curtain,2GDcMIspPAFn2PGaCqH10E,1,https://p.scdn.co/mp3-preview/cf64a18447b0c985f7314c6d9918f126777a02a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Fall of the Star High School Running Back,4pYnmenjdGcBJIkSx2GYVW,Loamlands,5l6XIrqKniA6LUKGNdz6FT,Fall of the Star High School Running Back,13c0r1UJSPhhQxpX94TqA9,16,https://p.scdn.co/mp3-preview/afe37968e5715e8d469f25cb81b3e45e56b35174?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Marsh Witch Vision,7ozGShdL8ncby9ydq0qEYL,The Mountain Goats,3hyGGjxu73JuzBa757H6R5,Marsh Witch Visions,70yUFujJm1buZ8MKyq0b7z,15,https://p.scdn.co/mp3-preview/c625f5dfe2c3be064fc8636b9885d5421278ee14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Shirtless in Hamburg,1n0KgwcueMRIOAY994ssvP,The Mountain Goats,3hyGGjxu73JuzBa757H6R5,Marsh Witch Visions,70yUFujJm1buZ8MKyq0b7z,14,https://p.scdn.co/mp3-preview/4bdeef6cfa6b5588142559f0be34d5eb354ac2ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,No More Tears,7Jjtv4sq6dqcms3VlGSXM4,The Mountain Goats,3hyGGjxu73JuzBa757H6R5,Marsh Witch Visions,70yUFujJm1buZ8MKyq0b7z,13,https://p.scdn.co/mp3-preview/cf1fcfb95a8928492fde697b0698ca56e5e1ab90?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Break the Glass,4jagnXWffKffd5gufNt7Sl,Superchunk,7lmde7T1WJPFwv1eR6melP,Break the Glass / Mad World,77QNFsFuHwH3tW6S8v92QC,6,https://p.scdn.co/mp3-preview/54dddfe3c1f14837a181490271dd542597725eff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Mad World,52nqbj7wQt5y18DLhSA6JS,Superchunk,7lmde7T1WJPFwv1eR6melP,Break the Glass / Mad World,77QNFsFuHwH3tW6S8v92QC,8,https://p.scdn.co/mp3-preview/b2a841192ffe81cf25fd392f64bed8e26abbdddc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Cover From the Sun,4PZ99VXM4gQw0sJK1zM97r,Destroyer,22ojy4H4ZVpowC4lRRC8In,Cover From the Sun,7nejzU7qfr2Cw5fIvM9kPs,2,https://p.scdn.co/mp3-preview/8635a8067cf22478708e9c698eb35d23a9f9d17a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Don't Make Me a Target,1IyDxMIDxs9G4I6w26s0ZY,Spoon,0K1q0nXQ8is36PzOKAMbNe,Ga Ga Ga Ga Ga (2017 Remaster),3k4KtMTnGJsnqTt0AHEmnw,37,https://p.scdn.co/mp3-preview/9f8790bed74461f1d1a42f2e657204274f96cfe2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,You Got Yr. Cherry Bomb,6X8DdhqGXlp9i9dsoUlXIZ,Spoon,0K1q0nXQ8is36PzOKAMbNe,Ga Ga Ga Ga Ga (2017 Remaster),3k4KtMTnGJsnqTt0AHEmnw,46,https://p.scdn.co/mp3-preview/ef41c978157d78c1e4cd1c4c27b57e40a9aa669d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,The Underdog,6MCYY4i1zrRIbVj9YlVUdF,Spoon,0K1q0nXQ8is36PzOKAMbNe,Ga Ga Ga Ga Ga (2017 Remaster),3k4KtMTnGJsnqTt0AHEmnw,61,https://p.scdn.co/mp3-preview/0e7f650efe3151590ae47fd10fe5be8b89fd1861?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Mean Mad Margaret,6cyjkzEn1uK8nVufRO1W5F,Spoon,0K1q0nXQ8is36PzOKAMbNe,Get Nice!,4wLFFfFbe5q8hcNGkyWfF3,16,https://p.scdn.co/mp3-preview/5b21f169ba07ddc646f8f2a44f1d4405e644e82a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,1975,6bf7QxIBflZ7TTpBMddlyX,Spoon,0K1q0nXQ8is36PzOKAMbNe,Get Nice!,4wLFFfFbe5q8hcNGkyWfF3,14,https://p.scdn.co/mp3-preview/e6f4f0a43ce62d4f5e123dc0d038c3baca5eb636?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,I Can Feel It Fade Like an AM Single,5KNPrPwPZmGpu1mQsoQmDv,Spoon,0K1q0nXQ8is36PzOKAMbNe,Get Nice!,4wLFFfFbe5q8hcNGkyWfF3,15,https://p.scdn.co/mp3-preview/c5614b12500ade3764bb7f257eb176e8a16fa395?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,In the Morning,6U2WF2Ojbvgbg2k1G3BbFn,Destroyer,22ojy4H4ZVpowC4lRRC8In,ken,30uony23TuPbw1HM6fUCjG,27,https://p.scdn.co/mp3-preview/8b8ece120b87f141b1131be4c506b3a8997e7926?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,A Light Travels Down the Catwalk,4NYWEwXwYOOVlP79FIjo5n,Destroyer,22ojy4H4ZVpowC4lRRC8In,ken,30uony23TuPbw1HM6fUCjG,22,https://p.scdn.co/mp3-preview/6c136a28e43f5bd3478350688bfa32046d815adc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
