Sub Pop Celebrating Womxn,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Bad Habits,4paOi2D1A1pS5bPugSfUg7,Madame Gandhi,1zBHbitf3pjF7W00UIFfVf,Bad Habits,4qKIwcoyB91GMyy9431kaf,34,https://p.scdn.co/mp3-preview/249d034546b762019341e10b0df948ff68fdc0b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Car,3NSgqQnlcBmcXmpjkzeI61,FEELS,3n2689NB8LE4EaQJyRy5jH,Post Earth,58RVZkW5bbnCEVN8r67Ej4,1,not available
12,Pussywillow,5KgqxgPGXUG1ctJsBTDZ6U,The Coathangers,7INFKsainUv68DHVbuLh4J,Scramble,2EBWxwGMDIyEIaOS4vQ53X,12,https://p.scdn.co/mp3-preview/56e05ffb7ca343e141786882a75a77475ca9c5f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Seventeen,7yMYqHqzye8vtyiHqdVlZw,Sharon Van Etten,2wJ4vsxWd7df7dRU4KcoDe,Remind Me Tomorrow,2dvXk4nacVRmDSnbKniwrS,63,https://p.scdn.co/mp3-preview/7e82d2c5fd8f5d66b9072417305d5f1770b0dca3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Pressure To Party,5Wyy2JHaM8cKEN6YDC6C8O,Julia Jacklin,12fRkVfO2fUsz1QHgDAG3g,Crushing,4u3aIyQbywYaxgF7TcXuIu,49,https://p.scdn.co/mp3-preview/0f8a78378f28bfd4f2aa88e6c3eb806f469fed4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Light On,6UnCGAEmrbGIOSmGRZQ1M2,Maggie Rogers,4NZvixzsSefsNiIqXn0NDe,Heard It In A Past Life,5AHWNPo3gllDmixgAoFru4,76,not available
16,Sick in the Head,0hUR0133jb5YDVOdqBpYnz,Indigo De Souza,3ir2pF2mkiEWqyPenKTh5e,I Love My Mom,2SmRytrhB9KG10MYI1IS7k,33,https://p.scdn.co/mp3-preview/8ccf7b95ce47379fdcfbebd1a9c179461c7fb949?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Not The Time,0Vmd1bjR3CAhT86mHs3Mp1,SASAMI,4pdoRs7yHNXakMobf8M9Oz,SASAMI,5dJhE07Jbhdg8wj3ysnT7H,38,https://p.scdn.co/mp3-preview/d976e772dd76339faa5b83636cf5723de91cf0c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Pristine,4UADR6fNQfx4fxkiRQvSy2,Snail Mail,4QkSD9TRUnMtI8Fq1jXJJe,Lush,2e48GqjEwCi87gQJanb1bf,60,https://p.scdn.co/mp3-preview/b97f8fe32a38250728b8e4164bd4aca6eee48491?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Feel the Same,3xwhBXeQ3tUYLZ7OeboZv6,Bully,34LdbFt5sVXKTJOzf1iExQ,Losing,0T5W8q4JXryl3iiogSJ0zC,35,https://p.scdn.co/mp3-preview/3c3b0b8dfab97e55286c93664f68b5f5b1ff91f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Night Shift,2AF5Kzxb4pz7j79Ity84pP,Lucy Dacus,07D1Bjaof0NFlU32KXiqUP,Historian,01GO03odsNlNLtvNETukWT,62,https://p.scdn.co/mp3-preview/11ff58f96758165ae3d0580925fe74b3852b4aab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Something On Your Mind,6Vz2IQv3AYoznh4tjsrRPo,Karen Dalton,5O5V29YvM6AzAQ0rNt59fy,In My Own Time,1OuzXj4yo7VyBKwHZhxEnW,57,https://p.scdn.co/mp3-preview/12df68f0b6abf6b64aa618856940faa681cd16a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Jesus Was a Cross Maker,0YA6BYi1Fwv58UfX3M1z7f,Judee Sill,2IkwqvwEnXFlZEq6eFP1wL,Judee Sill,2zaIMRTlztlfkxLoo5nPtf,37,https://p.scdn.co/mp3-preview/e0e14aee018ea42c715e6e078fbb721f06f64507?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Sprained Ankle,5mHTg6cqhyP0BmsTQKzN1X,Julien Baker,12zbUHbPHL5DGuJtiUfsip,Sprained Ankle,4dRzxZm69k9s0nzKmKb8Gj,43,https://p.scdn.co/mp3-preview/79a33257692c5e5ca5c5257029322a2692902a5e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Don't You Ever Get Tired (Of Hurting Me),6WjBHU164j4esComSsTIpU,Bettye Swann,0g3EsNvUCwgpsdkAiIC50W,Bettye Swann,1oHCwJLBDoKDOfdznsRjNs,24,not available
25,Eyes Hands Mouth,4HH1IO836PVq0E5FXumP6f,Explode Into Colors,5EItJ3HBtrQf0irjVxn5se,Quilts - EP,5JpAhFiAaa6VgSstI7zL62,0,not available
