Your Coffee Break,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
32,Rumour of a Good Life,7G0R0wTup7aDC4MOsIgHEb,Toby Johnson,6aWiYkCceJsc6lorPBdvIg,Rumour of a Good Life,0CFvAE9MUv3uTCM9LPOqjU,56,https://p.scdn.co/mp3-preview/b423845408faab63e52462a579f1962ea0f0c4a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Helios,7GoorEWShjONZUmCKQbq5H,I See Rivers,50y0b4AuxvWpH2jlNqGMmg,Helios,09RIbV6S3HOn3OGmwc0DDv,44,https://p.scdn.co/mp3-preview/3e9e7bd4262c61c9a8d0e9047beae093ae1b03e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,My Love,4RjtcXnzQ0KTyt3CKxDpSf,Vacant Bays,26Fv5TXIrHArqoYpKa1UD3,Matter of Time,2iwgKxlCzGBIFlfFJA1PwB,39,https://p.scdn.co/mp3-preview/6fc7babd8c8d0d967e56eace0f0a570ddc266d7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Beauty in Your Brokenness,1idFKgxkwqOcMJmlPGy1MS,Wildwood Kin,2KOxHm9lGE9lFZDQdebD6B,Beauty in Your Brokenness,1fEzwtHUDlN33c35KvM5e3,48,https://p.scdn.co/mp3-preview/6466e901ce4176a2b3e0c78b629147cae4e542a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,So Beautiful,1qU4YN3rTD3ufFRDcXHM6k,Ed Prosek,6DchmKCVOKK707FCrLFFDW,So Beautiful,4NXjHsNiqLuMiak11vmBqk,43,https://p.scdn.co/mp3-preview/2194522c8220ce4a5f74b787c730ae3726b73d18?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Jealous Of Birds,6nuoNN62XI74sF1MehARgZ,Bre Kennedy,61oqMHI8QuFrE5Qt91uJAj,Jealous Of Birds,1wvJvb2k412nebCXAsNuMW,55,https://p.scdn.co/mp3-preview/48fc05665040bcbd9042c1892f846d5d55b764d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,If You're Out There - Acoustic,0ohnwqhkz8juGiR3xVwPpF,Above Water,5liqSYNsRihg8rBQaTQCgw,If You're Out There (Acoustic),2SGOLQvjhhfnrAbvKsljkM,40,https://p.scdn.co/mp3-preview/0c468102274f722104833d927653f9cc51ba1acd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Know I Am Happy,7m9EVYQ8Z8PBBUr5OFygf7,Daisy Phillips,17nwvQem27SIkvCWyb0hrh,Know I Am Happy,26dtBjm7YAnTHUU75wsqAt,39,https://p.scdn.co/mp3-preview/92b668c489118302a74501767cef442a01028731?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,june,4ANPD30CWSouyKnQhHSpcw,Maria Kelly,15MkO1zSQcHtjObfkiEUaV,june,7cBMEtUNg8Abva4BlaAWGe,5,not available
41,Shapes in the Sun,33j513nc49tSf7jpGY2A4J,Allman Brown,239Y6QdFqVFfdsw6moqSEN,Shapes in the Sun,3l7eD0ZXtyRkfSYgJXrOmL,55,https://p.scdn.co/mp3-preview/d23d8c1c941f966c6c7a2fe15080fc8d8c69e5eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,The One I Love,4CTkHewevcDjIT3j9qb36e,Ellen Krauss,1hY6WSJRQy3FPTnmprOBVh,The One I Love,6Pf7ZUDD3Oup6DQOEhrBol,62,https://p.scdn.co/mp3-preview/ed3ce3f5378df87b98313c7737055287acefb31b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Gone,654RUTRNIHgUIfj1b2zJNh,Mabes,1kTrYYWMLQsBKlbINUg1Su,Gone,6HZqU0ps1QZCVm76hrtSfM,18,not available
44,Leader Of The Landslide,5lYk9NazoE06vNff9xgfbh,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg,Leader Of The Landslide,6Eb1C8SL8BuzdA1V7tO9AL,44,not available
45,Hounds,6DHrHYsp1Xt11qqgN5bo2u,RY X,2KjAo6wVc9d2WcxdxSArpV,Unfurl,2HkhUyGwuuhYdwpisH8faB,28,not available
46,That's Where The Trouble Started,7HyWizYEcWQvJzWB2VaDZz,Rose Elinor Dougall,6T1GNMxXuljv0C0ZRR60CC,A New Illusion,1jvJnND8Rew1hDCqW6Zd0f,39,https://p.scdn.co/mp3-preview/4970bdb82273ccb2c246a922e91f67e1716182a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Dream In A Dream,6EGvCC2xy1lEzfINPK5DUq,Frank Rensen,4nahdbp2YzcisSOrGyVBAP,1/2,02YjNurvWFrkzn5wjEYT2P,41,https://p.scdn.co/mp3-preview/1a21b35dc65ef2fdb3725e286415e1e175cc96a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,One by One,1FYt6pAEZVjWzISSdHs9HK,Cameron AG,1JOiO3DL7byBZMLDPvCDCx,One by One,2QO5jGeh0SxdRqHuA2ZI4s,39,https://p.scdn.co/mp3-preview/b909366a30e891b92b553abea683c01ae64731a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Fool,1w6mTVeOVDuHQBQF6PnO01,Sophie Rose,7zVoS1SW2Btj5qRbtlKuyp,Spring,0BRapJVmYd1HDNr13zFzgD,39,https://p.scdn.co/mp3-preview/88a1b7259ada87ddb6172b8397f47034b76c4bdb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,My Love Surreal,0a5D8oTA2MNeicsKquqInA,Grace Gillespie,4owaayCKTzC8Y7PeADjuAk,My Love Surreal,25BjV3p8wxel5dssKmbjmp,39,https://p.scdn.co/mp3-preview/d32fba17d1bec04c89f6528316ce6a9a900bbc22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Mandolin Rain,4NuPXWBg1uNejzSHcEZPEe,Music Travel Love,2qNrJcE9LjzPdiXbrjkqFa,Mandolin Rain,3zLtSBybG68BnDryRFRyy9,37,not available
