Bandas Sonoras,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
53,You've Lost That Lovin' Feeling,1In5txwrh6PL2Mg806UILa,The Righteous Brothers,4b0WsB47XCa9F83BmwQ7WX,Top Gun - Motion Picture Soundtrack (Special Expanded Edition),6K8iDZW8jPaoiqSzFFebJA,6,not available
54,"Take My Breath Away - Love Theme from ""Top Gun""",15MJ5NThPjj6xhPcts8MiY,Berlin,2aS6jYh7ysTL1ZUsHneNgM,Top Gun - Motion Picture Soundtrack (Special Expanded Edition),6K8iDZW8jPaoiqSzFFebJA,71,https://p.scdn.co/mp3-preview/fd6cde6ea002bc6c628297ec3a283d5d255cb470?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Tiny Dancer,1pPhNmpoziuF4VAw75L6FH,Elton John,3PhoLpVuITZKcymswpck5b,Almost Famous (Music From The Motion Picture),2npvBqZgBp1hLnKS0nDMiu,0,not available
56,"Under the Sea (from ""The Little Mermaid"") - From ""The Little Mermaid"" / Soundtrack Version",5evMC5hTEqM8LR0GTPXqCV,Samuel E. Wright,6Id8rcDNyBXPcgKQVfQ8rX,The Little Mermaid Greatest Hits,3H75XHlF94Eo78ICk5GcZB,35,not available
57,Maniac - BOF Flashdance,45oFq8ZKV9KDhzYb2Rh1y4,Michael Sembello,771qBvjnXOH9Azr6lKy6FB,80's Pop Number 1's,3bl2ynZYqr4l37MQ2Wense,4,not available
58,St. Elmos Fire (Man in Motion),1A2PWRltFrX8iB8IP3CUgo,John Parr,3Z1tibPKhUYWCno0IYicCN,St. Elmo's Fire - Music From The Original Motion Picture Soundtrack,70P9doc1EAqyb36gRmaPcU,69,https://p.scdn.co/mp3-preview/8f16e65db36d6a0f529a9f51f80b22f48685b6aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,"If You Leave - From ""Pretty In Pink""",0Des4gyZ2Z9jq6VA8VPwGE,Orchestral Manoeuvres In The Dark,7wJ9NwdRWtN92NunmXuwBk,Pretty In Pink,0Q0SN4tLsKMec6pAD4EzGY,44,not available
60,Stay (I Missed You),4MalZNYXFRKSki8Fbi3kC3,Lisa Loeb & Nine Stories,4a7CDXcRCXi4kp5z7SEXtg,Reality Bites,5SRINK0YUVEOEDMpIl57qA,0,not available
61,Kiss from a Rose,3YKptz29AsOlm7WAVnztBh,Seal,5GtMEZEeFFsuHY8ad4kOxv,Seal [1994],1mSECpFqHRW6leG4idqTE1,73,https://p.scdn.co/mp3-preview/829c43d9ebc35befea511e6009adf5a115eba387?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Drive It Like You Stole It,4rMN8vnOmVvQSMkXp6OLfv,Sing Street,7AKznuvHmbW7uZbUkLY4Je,Sing Street (Original Motion Picture Soundtrack),5GudCwtzhNLH4K9juCxnMi,51,not available
