All Out 70s,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
49,Brown Sugar - Remastered,61UuPxxYUvacEH6SHIK3sU,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,Sticky Fingers (Remastered),29m6DinzdaD0OPqWKGyMdz,71,not available
50,Love Really Hurts Without You,0nlVsRpZgsOZi0BFfzHSL9,Billy Ocean,5IDs1CK15HegSAhGEbSYXo,Here You Are: The Best of Billy Ocean,5ciu3GM6WiMGBOSbQKgc5z,66,https://p.scdn.co/mp3-preview/6e2e3ffc72858f1fb854b3c3251e2216617dab5e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Ain't No Sunshine,1k1Bqnv2R0uJXQN4u6LKYt,Bill Withers,1ThoqLcyIYvZn7iWbj8fsj,Just As I Am,6N8uPmDqbgXD3ztkCCfxoo,77,https://p.scdn.co/mp3-preview/2f56920743ab7da6d3d6331868dd23bbe72cd063?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Isn't She Lovely,3vqlZUIT3rEmLaYKDBfb4Q,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,Songs In The Key Of Life,2HVx2tiZnLX8xeaUthed1e,20,not available
53,I'm Not In Love,5HQEmiV2lKnSO6qa2fsR7x,10cc,6i6WlGzQtXtz7GcC5H5st5,The Original Soundtrack,1CMgmJjMFskwwmK8h8j1Oj,72,not available
54,Are You Ready For Love? - Remastered,3D15FZXmjfna7aFfKmEajd,Elton John,3PhoLpVuITZKcymswpck5b,Diamonds (Deluxe),1uzIyRT1QxDx4fMIX0UiAE,69,not available
55,Beast Of Burden - Remastered,77oU2rjC5XbjQfNe3bD6so,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,Some Girls,1Jv2AqzhgsduUik2p4k3cS,75,not available
56,Roxanne - Remastered 2003,3FmAUR4SPWa3P1KyDf21Fu,The Police,5NGO30tJxFlKixkPSgXcFE,Outlandos D'Amour (Remastered),3D9JqZG5Q1ptOJr8ZQ0j7I,25,not available
57,Right Down the Line,2Xb6wJYGi0QXwURw5WWvI5,Gerry Rafferty,7tjbDPvrdvDshcpEMXKRVb,City To City,35yZZTWeSrszSKjRlFETwf,67,https://p.scdn.co/mp3-preview/26b8e97389021252942ca5a53889c48c87756517?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Rich Girl - Remastered,5E3P9e1hvjyIOlFyqNB5eD,Daryl Hall & John Oates,77tT1kLj6mCWtFNqiOmP9H,The Essential Daryl Hall & John Oates,0gCDvloPR42pZRZhmbGYVI,73,https://p.scdn.co/mp3-preview/f44fb0e7334daef3df4faacf3b1e18d02b509165?cid=fa83a2fec7c440b7a2795d600d6b2c7e
