Main Stage,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
36,Retrograde,1TxOJErR8b3SsCDdiVkYsx,Hardwell,6BrvowZBreEkXzJQMpL174,Retrograde,7ygmx5PY4EF86hkkXLazAf,62,https://p.scdn.co/mp3-preview/d22ec344eb915fe6c2e1ae344c23d1c6cdca5957?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Home (feat. Bonn),4aTtHoSBB0CuQGA6vXBNyp,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,Home (feat. Bonn),1cL51Zp86zgzMDTXRiq8w9,77,https://p.scdn.co/mp3-preview/74145f27bb06406170aff7bc7b0f377f8e90ec1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Find Your Way - Alle Farben Radio Edit,0nUnsdDbN127jU3P5KtAeA,Plastik Funk,7wmCy21VjfmbP8DznMJe8v,Find Your Way (Alle Farben Radio Edit),5c68BQGuY5hfjIjFeHbtGg,60,https://p.scdn.co/mp3-preview/4667c0db697922f622793cb6fc6f01349eb4373f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Louder,3teThr2SG4GlXyBNCIuXds,Martin Jensen,4ehtJnVumNf6xzSCDk8aLB,Louder,60La1LpCOLL6WGRGvqbMtU,56,not available
40,"Made In France (with Tchami & Malaa, feat. Mercer)",0E3L4BNuUlZyvcZyySTfKr,DJ Snake,540vIaP2JwjQb9dm3aArA4,Carte Blanche,2MFS6WG6jnPAgvJpV3PehR,67,not available
41,Let's Make Noise,2C20kNeSqRW9EbM9tDD89v,Victor Lou,063wYkWkHrq5L5YWdrqjEt,Let's Make Noise,0DoWMcJRAR6zNWYnxTzWUg,53,https://p.scdn.co/mp3-preview/2a30238026466b180b19a15fac0c54c33c97663d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Someone in the Dark,7B8PYfBH1wSUgQSSvkMzTC,LOVRA,4fIPBdK4awAR1W14u3v1J5,Someone in the Dark,55dpHSj7hwokTMGt9xddHw,55,https://p.scdn.co/mp3-preview/e4085b9bbc2919fea0da3cff122b308c6d5b1457?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Make Believe,56oqWZUaA8ZmHQCH3lCRI3,Quintino,1V3VTM7VspiQjcmRhC010n,Make Believe,03uJ80FjHVfBWeTFtYWbN5,63,https://p.scdn.co/mp3-preview/9f6ca607651a96a740fea46427136dee7edc8341?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,The Power,3EDbqYLrCNBP7J2CqcMPZO,Duke Dumont,61lyPtntblHJvA7FMMhi7E,The Power,3PxRe086DUpv2cU2OF5MMs,71,not available
45,Use Me,1ePOsX1LvCH5N8tNE2nnEj,SKIY,39JhQRThBhrHgjXtIK3dGZ,Use Me,7Ehvtvjx2RXiZZQ7km4XD7,54,https://p.scdn.co/mp3-preview/4b0f8accbfa912988a99bea991f41610fdf0fa6d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Walk Alone,3e5i0lp6e6xqGnCUbRfamf,The Him,5WdqBAQhGFCrZvBKXiPIu7,Walk Alone,1gNP1lSRhzZsF0r1Yk3fzc,60,https://p.scdn.co/mp3-preview/a6846b13a9fd0c625ae6122f4b4649c4f85ab030?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Heaven,5ENJ56j8GEt74mlkKDpao2,ESH,6rXMet89uui55tWrcEz7ma,Heaven,71FvG9lhz0OOGDkv8BnrjJ,54,https://p.scdn.co/mp3-preview/96ac5636d9e06dc591753d215eaa62a5e3235027?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Expedition,2MlnLVsrTJmHmdpzJQcQ6w,Skytech,4CrDEHL7ysNabeYvL3xjUX,Expedition,5dJTiO7pf6dldn1Ln3XomS,51,https://p.scdn.co/mp3-preview/3f12b33a61c90c0592fba1f09e5aebab85de10a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Rather Be Alone,6L32iYnvUR3JrHjxShOESf,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,Rather Be Alone,2hedSL1FfNMZFUJDhyQAwt,66,https://p.scdn.co/mp3-preview/962f05539a25ef628e21f9156a9244f8ac405ad9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Young Money,0xYqWfml0Wh2OWPCJ9qLKb,DubVision,3XINWZaloea97SIRiyTJxX,Young Money,1s5Xr7mLvozvvl2p8gg3kM,59,https://p.scdn.co/mp3-preview/b4e3c8ae7d86bda09298a526d803503d10e52af3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
