Covers Unplugged,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
53,Complicated,0jllH0usRFD4LJkJnGK9Lf,Olivia O'Brien,1QRj3hoop9Mv5VvHQkwPEp,Complicated,18IaOJpyXfqbOsZIqmnfpZ,78,https://p.scdn.co/mp3-preview/ed51ea9fb68f27a420dbaad3aa0ec944b2a4a150?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Set Fire To The Rain,5foLNCCWHMFXIzgtuOVEis,Noah Guthrie,6b0Wy4mw8ePj9w2EX3s4V3,"Noah Guthrie, The Covers Vol. 4",3ZAIFOXNrAcIR4PskJFTjU,62,https://p.scdn.co/mp3-preview/03ee3f2ec14bdbe78cff036e5441af8185a6ec98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Always On My Mind,3VeCrupHghYMiLQNhsIeCn,Taylor Manns,008yUYD9avjHlXXmT47dz9,Always On My Mind,6fEji3YIRWFLPtBM8UCULk,59,https://p.scdn.co/mp3-preview/fbee32f776782cc173fcd809817e937a51615e15?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Let It Go,6r8OnTtDrhKBIIYgzxrnZ1,Colin & Caroline,2Y4125mDrgQyPD7dt76Rtm,Let It Go,0ZRoNXFBWk10Rj0PO5PSPG,63,https://p.scdn.co/mp3-preview/7d9c61a1da856abc9f2d58055220da9511f1821d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Let It Go,3609HFH16Kzo3JiJzrRSEY,Madilyn Bailey,07r7OPIALkj6Icaoj4Kf5l,Let It Go,7Bpes5T2zDFNrKoyQ1WFnq,53,https://p.scdn.co/mp3-preview/70a17239cadf8f7d192f495ae76df2dbcdf388a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,U Remind Me - Recorded at Spotify Studios NYC,22wMOOsQVIKkoVAILL5ruw,James TW,0B3N0ZINFWvizfa8bKiz4v,Spotify Singles,1ZleRuxSdLEhoseEcstEN8,63,not available
59,Can’t Help Falling in Love,7uuEfUMuPeQ7RlSWa0cES2,Kina Grannis,7h4j9YTJJuAHzLCc3KCvYu,Crazy Rich Asians (Original Motion Picture Soundtrack),32BVrPjwweOQcHKKpxgE4l,27,not available
60,"Mad World - Recorded at Metropolis Studios, London",1B8C0h5Y8MRvzK7j17BODg,Lily Allen,13saZpZnCDWOI9D4IJhp1f,Spotify Singles,3SkXoYr84jE1JzWxc0yXcJ,59,https://p.scdn.co/mp3-preview/c568a188e586e086fc39f4aa0df88fc455b3a4e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Dancing On My Own,02WacdrRpm4zlP8H7X6bnQ,Calum Scott,6ydoSd3N2mwgwBHtF6K7eX,Dancing On My Own,5Hq4LcmCQ6BP3kM8J5lgga,27,not available
62,Most Girls - Acoustic,2gPJ00vC3WKoAja0rNk0F1,Clementine Duo,4s6YWKUwngB7oxE6CPWsW2,Most Girls,2FymLjpzDVWD3BYrf33UHg,59,https://p.scdn.co/mp3-preview/83252a0b9131a9de7d557267e9dc08e2762440cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
