Techno Bunker,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
51,Limea,0ycLuevfRyNiqzC0aH8Zqj,Kaiserdisco,2lPXenWgbh51R950CMdk6i,Clams EP,1WwCzT5G4kExKJD5VbUhcM,49,https://p.scdn.co/mp3-preview/5bf2c7b8467f623c7f1301b65e2d4fc9952f7c0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Darkest Moments,3dfFX6R1OCxBjJhWdM4DuG,Ann Clue,5fasubnSIOTRYlIZA17ong,Salvation,4op7bsrPxvbGxdGz4s5R7C,49,https://p.scdn.co/mp3-preview/1a0fc5026ebc440a4f5b1dc812e0e836ae064f8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Rosy G,1YdiCZxhmxVuQcLuY8z7ko,Maharti,6VUcDNWBxegiU0bVnmliBS,Rosy G,1v1PZWg0SfVCvtPbelczuG,48,https://p.scdn.co/mp3-preview/e1dd226b1dd08b0d0eaff8686fdcc78aa7f1b77c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Double Trouble,7yNar1nKXp79dcVyisoOKd,Simina Grigoriu,1PjzNHCXycxUqsP2yqFqhU,Double Trouble,5WcDsFXgFFilM7B2sZseBR,48,https://p.scdn.co/mp3-preview/f08139493b4625332f7341c8e08073bc90df78da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Witch Trials (Salem's Soul),2EieddAdTtevi3njUqj5Ks,Emma Jai,6XGOYPcACBv6qhwQhjNv46,Witch Trials,4gwEuBu0Jglg1YX6eorOxl,49,https://p.scdn.co/mp3-preview/1db21a059e986c4b7fd33bef9c3084d246ff3152?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Orust,5GqBFkdKvZ29hwiV2SntdW,Florian Kruse,7GhGgxIAhzJxZXvF1bEYZ8,Orust,3xlMU22ofzw4sIq6BD4wtg,48,https://p.scdn.co/mp3-preview/86701ffb31ad4502c6c89957fc704e0cca5f5c4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Hail,1oCy8WtPFKhrq25QeJtpSk,Zusan,3YIRGFsBPYrsg1KCs5Xwa8,Hail,3tuh7S3RGf538xZVtGXwF1,48,https://p.scdn.co/mp3-preview/369e06df6a78fa3363c47bec1a6c8547c1b57879?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,The Return,03Y5VRVt1ASINLvk5Io7VY,CJ Bolland,51OKtNtm24ALAjAHBMiFng,The Return,3zJfrphCYwVdOsuF7MJNgt,48,https://p.scdn.co/mp3-preview/631392b130ce223d6c97c87c27de6a5cb2bb7928?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,P#rnceptual - Brothers Black Remix,7CX6L30rVxE5q9EwfWEeDB,Oliver Deutschmann,189aZgqac0fpuq6i8gcTrM,Special Interests,0h8C6niteysjvbSINGYO1Y,48,https://p.scdn.co/mp3-preview/955c870c4e9f6557a1ba372e1b9c6b7b7b486e6b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Chasing The Light,0fjtmkiprkWZFUvpukPR0K,Marie Davidson,7xJVICbAWizNBKBD3mRWjF,Chasing the Light / Work It (Soulwax Remix) X Lara (Daniel Avery Remix),6NEE4kma3DPF0FwfvjjkRL,22,https://p.scdn.co/mp3-preview/56a7a0f20ef585965859e5f23303e38de16d415c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
