Party Deluxe,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
60,Be My Lover,1bttWPpJQmn9zdi951BcAZ,La Bouche,488v7rQzthLNK22r0UvMie,50 Summer Hits,4iRt5STyQudfgvq3Gt2ki6,12,not available
61,No Roots,71UXJmNkfsvf9WQnAChwvD,Alice Merton,7f0OLhGgBMX9fUjm1dcPip,No Roots,3zz6j8HaItLibuBZcMlHIE,51,https://p.scdn.co/mp3-preview/b2fdeb1d219d018f1fb9eeff52bd2e06c1511209?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Destiny,6qvqxOBxa5WDxn2iC1hnal,Jennifer Rush,3fsCWTIuWIRvEGS7gerSJX,Best Of 1983-2010,2H0v7yGo9bqU1JlzcrBZif,49,https://p.scdn.co/mp3-preview/a9e8a9548e5822b8ad15ed9bfc95ff6436f627e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Bellissima - Radio Edit,2jBsr5rb8anJ7z4jjbh0bC,DJ Quicksilver,1RSKoT6hnzaLjvL0LCF0ew,Ten Top10 90s Hits,4z1UYdtnWVUB2w4TdlzrBz,51,https://p.scdn.co/mp3-preview/e6b8eccd84af1fed96a4fb96ac42004883d7fc5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa (Deluxe),01sfgrNbnnPUEyz6GZYlt9,83,https://p.scdn.co/mp3-preview/d8a0e05a79451d12c6cb5425c50c8d2ff00d4705?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Mambo No. 5 (A Little Bit of...),7jQBORjiir0pNSKGaHevq9,Lou Bega,46lnlnlU0dXTDpoAUmH6Qx,A Little Bit Of Mambo,41GaNTO6AagOC6CEoATrPF,15,not available
66,Easy Love,42zLyJxoTWBGAu6481ALWL,Sigala,1IueXOQyABrMOprrzwQJWN,Easy Love,3ksyoE3J4CF1VxcMtuzSFv,8,not available
67,Teenage Dirtbag,3LI4MmibTkXH5cGpCGZgyw,Wheatus,4mYFgEjpQT4IKOrjOUKyXu,"Songs From Dawson's Creek, Vol. II",187HV0h26fG3mkRsySp5Lj,72,https://p.scdn.co/mp3-preview/197748ca9d6edab195e1228030b0a2a9f5c46b05?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,In The Army Now,6TPAhgpBvhMIDUzmDnWJmj,Status Quo,4gIdjgLlvgEOz7MexDZzpM,In The Army Now - The Collection,15v7lAf1Hfp2eqgKsD80cg,60,not available
69,Don't Cha,24kGngQeXHt0uhffKpq0zj,The Pussycat Dolls,6wPhSqRtPu1UhRCDX5yaDJ,PCD (Revised International Version),0ylxpXE00fVxh6d60tevT8,17,not available
