Electronic Rising,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
47,Raven,5ZH403kcb8nGzVdBpJJbQT,Denney,7vm3musYjzfqoMloVCEF7v,Raven,74G5sYXoWnFUGmIkuqdYR8,28,https://p.scdn.co/mp3-preview/3fae0b68f6de38052628401c24d8ccd17a0c595f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,More Than a Machine,1uwIrcwZxYfQDFUTkrC9LS,PHCK,6lT9HcARJpVR1bij9Qo6Fk,More Than a Machine,2a5BJJ9BFTbywb1zE0PhRR,33,https://p.scdn.co/mp3-preview/858d1c3b815021114d27be46c6c252536886a83a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Jarvis,6NLvFQXROQDhOVArt7yFCy,Cosmic Boys,2jvTYwyzxK1FVYGEoKfZLQ,Jarvis,1Q4QZ7VgC2KkYZxayM60wx,31,https://p.scdn.co/mp3-preview/47f98c8c50e60b162e3dd7db2b91101964f802b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Take Me as I Am,4arqWYlOUc6KYMJxainVcE,Chris Lorenzo,7tm9Tuc70geXOOyKhtZHIj,Take Me as I Am,6Q9A8WKylhaERYmuJyYP4I,56,https://p.scdn.co/mp3-preview/6f3cb90b146febb9276e623b65bcf4742cf2d065?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Desire,1Gr71uYwPqiWY9flq31MNa,Butch,5kLzaeSHrmS7okc5XNE6lv,Desire,677dIUdvAf8V3RfRodlz2l,40,https://p.scdn.co/mp3-preview/e7283ac03c8e7c1de572c7a2f9f344c3f9c778a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Call Me - Extended Mix,6xiiiQdj5Czz7PKLIt3g09,Hannah Wants,7sK4hnuUOXw6VStDw0q8NI,Call Me,4RyZIG7MPY7bCzsJTpKnRZ,34,https://p.scdn.co/mp3-preview/8768f0ae60f44c1e6b24aac74f927e9937794bec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Space Chants,0ZykKpfjw56pAQnkvRIFZS,Spieltape,6Et53z8rREv56kKxJi0an6,Space Chants,0XQ8IM2Rye1ODNPJ93AepE,31,https://p.scdn.co/mp3-preview/9618c5d96dd755851cba8cf34d28e0c55e4475f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Aphelion - Chloé Caillet Remix,5qfC73TesCUqy7x3SOHCbU,La Fleur,5bt7DkWw4iHzjzRF2d9scU,Aphelion EP - Remixes,0G0u2G7b88nISNxv5OysWu,32,https://p.scdn.co/mp3-preview/858675a8e66bea5fa7056d2a70aa1064a4b2c081?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Vortex 135 - Mall Grab Remix,0TbvfeBToHnNJQd8tcvvU6,Special Request,59xdAObFYuaKO2phzzz07H,Vortex 135 (Mall Grab Remix),4Li7ZhdS5PexYnudYicvRe,41,https://p.scdn.co/mp3-preview/27b601b5b70bbf3f2bded155ee2db48c2d69734c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,"Champion, Victor",7CWLdz2KU11fIXOTazD8my,Coloray,6a3p6ZKDkTzrVbloxkD73E,"Champion, Victor",7LqSdUSEKi9Rr1YnZkvBOx,28,https://p.scdn.co/mp3-preview/055ea343f1675b445490e20f10c5849e90e9a31c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Absolom,69iOEWIRDNvMNaAgnwE2X0,Fat Sushi,1ZEy8yuRy9R9NU42wWqgy7,Absolom,2vt9FFKAG7nV70UelLP0tN,32,https://p.scdn.co/mp3-preview/28996a407e055c599c98a507573682090bdb2d06?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Dreams Of You (feat. Rae Morris),6pu5jQqenr37n0z6eBKOh0,Icarus,0nUF7iT0e6D5xEl743Jfu3,Dreams Of You (feat. Rae Morris),26et8vS0ynfWtbIFKKtZi4,46,https://p.scdn.co/mp3-preview/53a9cea425d69c91bcadbe38792b6c6fb1874c9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Pray - Miss Kittin Remix,5CVPOSCngRQq9W1qdkvlaW,Scratch Massive,5udXThiZTVoHa4g0GDjgxA,Pray (Miss Kittin Remix),6XbncqfFHmD4AhS3Kq9YTX,32,https://p.scdn.co/mp3-preview/e702a3d8530f7d530c21635ab63fb3d301e482b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Can I Speak,1lXoybFkO3oyhlp16rc8S8,Atelier,5PAUagDN7Z44NX50NlxF1w,Can I Speak,23MiHHqMzjtWNsyauGAEjU,30,https://p.scdn.co/mp3-preview/8c2d21f0f78ccc8278b0adcd10f2c6dfb9788f96?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,My Beat,0lCJ5EEuEXmvZc5u1aIJbw,Dompe,6izT1rIpURdkh4cjgsileU,Beat,140thPrHVRiQsIqymho1DP,28,https://p.scdn.co/mp3-preview/cd0527a711ca653ce5663dab02363d345302b085?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Bow UFO,2R7nqAOCzD8RUhU32mFeHF,Demi Riquísimo,1GIv2BGriYO1IdownXWWac,Bow UFO,0RhPRoHW61StpERilrzPY7,34,https://p.scdn.co/mp3-preview/ff362b73a583eff2d11bca2758e775958a27536d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Non-Caring Fabulousness,3K5aQ8NzHtoLQPyG4U7E3y,Jas Shaw,1iYfEUKXzyy3bE2elxuipV,Exquisite Cops,5caTEeiMPQfmKUxrV9CF1S,31,https://p.scdn.co/mp3-preview/a7c449fdf627bef59552e0788fbfe267ba77d6f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Credit Jive,13tBdpnwRxv2ixBiRA7M7f,Johannes Albert,5FMcKm7A4LRwIJnkzuKZFt,Credit Jive,5ovkQt8FN2OFJP8pDGAJrt,30,https://p.scdn.co/mp3-preview/b29f079fc6ddf4717b6f2161f7b2253287b83785?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Parallel Lines Of Stripes,7xmX1xgylBVz9itMvwn8NY,Oceanic,3bqOGIOIvLc9JsAIS7OfEb,"Microdosing, Vol. 2",3wsQ8zqAjPAaEYQfLlDF58,29,https://p.scdn.co/mp3-preview/26a5631eb89d31f0dd19129690d84549a7c3fbc1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Believe,1WuqsigVsrgIvzVGrmEEMi,Junior Sanchez,31ZNfGVEEcI9CyicPVJQni,Believe (EP),6pTFUs05EchCsBx5E5lk0G,45,https://p.scdn.co/mp3-preview/a2d1a8ee23505100d0a04d5f7f44f53cd804a9ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
