Study Pop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
52,Friends,2JMFhHqiGQGyHqlfrpLJSO,E^ST,7ASucWaI33cepJbo74Hlo0,Life Ain't Always Roses,1AkOelCdJJKFvWKsaOz3Ct,59,https://p.scdn.co/mp3-preview/92fd0c5a16e35e0aff6c0d358246cbc6a2e3f726?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Hair Full of Secrets,2thpV6vquuIDc99ntX0Q89,LUME,0Fq3mKaCm9ZtVABzgXeicF,Hair Full of Secrets,7AKhIxflfiN06gVhmb9uUZ,32,https://p.scdn.co/mp3-preview/5d0dd3f355383701bdb89454530a502a48efe5e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Thinkin Bout You,5kx5NtuqynfuDqUppK4qa4,KATIE,2nDC4PH8XE1gHeeAxVLXRO,LOG,7HtutouCfFdDPs3xO9EIeU,57,https://p.scdn.co/mp3-preview/fa165338ec5ff6639358dc7ef2422312bc036d05?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,I'm Good,5f5UHKA0CrDcm9GXTXxJ0g,Glowie,303SwmjLibkh8OJH5xxZOM,Where I Belong EP,6FLKHS3sz64yWyvWGSNs3i,53,https://p.scdn.co/mp3-preview/ca33b842100d517ea0e4b6617f3b8a966ce2b6db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Nobody Wins,5IL0GXbOVlE4UVy4giTSdk,WhoHurtYou,3N4WKWMaqWNnW1Ae5eCF2r,Nobody Wins,6RjoKD8YG12jWiPl95uNai,38,https://p.scdn.co/mp3-preview/d53155579cb56948bdcdda69da6808955fe779a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Best I'll Ever Sing,37a0RMpwwQjgIkLoEePwXa,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,Best I'll Ever Sing,3zUe4xUe3Tk9c4OEf1u9Ee,67,https://p.scdn.co/mp3-preview/e838eae0d607737209af2b71dca58b274c105396?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Naked,5ue9d5JPDojVjD9CRFjzxe,Emily Weisband,1am9EW2QubqpkCbg29vu5n,Naked,7hWHfP9WmjfGg8L2Z20aP6,45,https://p.scdn.co/mp3-preview/b52d2cc1c1f9ffcc78cc2d017f95e26e454d3bae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Alaska,4HfLQJtVT1KiX1eVedDyTm,Maggie Rogers,4NZvixzsSefsNiIqXn0NDe,Heard It In A Past Life,5AHWNPo3gllDmixgAoFru4,69,not available
60,Cool Again,0xM6mdl0XX2qOqUZmVUp97,Shoffy,4wO0kHiOwf8l9VMJJN9HmG,Lenses,5cfCNfI4ppO5FN2sUlNG3M,65,https://p.scdn.co/mp3-preview/eca9e328352c9d68a8fe783b400f3028dfafbd15?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,lowkey,5TTXEcfsYLh6fTarLaevTi,NIKI,2kxP07DLgs4xlWz8YHlvfh,lowkey,6a1p03zluxNwXTVdm9IStw,77,https://p.scdn.co/mp3-preview/583956b7bb69367e326dd396783414bf8dbe5b1d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
