Halloween Monster Hits,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
30,Right Place Wrong Time,0I2ELF6uHlL4ABu9aFiou7,Dr. John,320TrJub4arztwXRm7kqVO,In The Right Place,1b1ljTXAkcugOLAHkIi7Eq,59,https://p.scdn.co/mp3-preview/c87af0e1c43fa372cc2d27fbb1ce625d49f1f042?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Super Freak,2dCmGcEOQrMQhMMS8Vj7Ca,Rick James,0FrpdcVlJQqibaz5HfBUrL,Street Songs,2DBFUBBqJQvfXpodPi2WP5,70,not available
32,The Crypt Jam,21zjT55VHzq3PHc2CQlAeJ,The Crypt Keeper,3qTu9ge2h0VltEnDZQ1e2D,Original Music From Tales From The Crypt,7wyQJPnNpvGimZrQ7PGO4q,41,https://p.scdn.co/mp3-preview/926a1227e5fbd5d8d1d5b00037de9507b2bf307c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,One Way Ticket,44x9GdJsYmbaYRBm8ROyfL,The Darkness,5r1bdqzhgRoHC3YcCV6N5a,One Way Ticket To Hell...And Back,1XQdof8z0wTG0HaBoc1PHL,45,https://p.scdn.co/mp3-preview/c682266b836385a54f379c913c0f9c91dd0974da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Say My Name,3PzAUMMxPcaXEfWEvMx469,Alex Brightman,7abCELr0U2E5K2nPjVtWkN,Beetlejuice (Original Broadway Cast Recording),3Nkueud4hqLWhSzOepKi7p,72,https://p.scdn.co/mp3-preview/43e5f03d1dc43b34f01e410c403cb4d9b0f6b8ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Cold as Ice,7vidktgNZFQylTgH1GEnMs,Foreigner,6IRouO5mvvfcyxtPDKMYFN,Foreigner (Expanded),1OU7zJvUfgxxPHgkTClt1M,70,https://p.scdn.co/mp3-preview/cf18b5451f250c4a2f6bc8dbb720f2aa164cffa9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Running Up That Hill (A Deal With God),75FEaRjZTKLhTrFGsfMUXR,Kate Bush,1aSxMhuvixZ8h9dK9jIDwL,Hounds Of Love,5BWl0bB1q0TqyFmkBEupZy,67,https://p.scdn.co/mp3-preview/a5ac1546e317ecd888fdf2fb7b7f015e24f841f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Fire Walk With Me,0UfkJ92b6D2CLHygzn8C6k,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,"""Let's Rock""",0aA9rYw8PEv9G7tVIJ9dKg,59,https://p.scdn.co/mp3-preview/12899e14ce6261f4217b62097f732abd71a179bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Christine's Tune (a.k.a. Devil in Disguise) - Soundtrack Version,1nxXBSncoHcewRJ9nI8JcX,The Flying Burrito Brothers,0rESpKEusFHxhW59MIf7eM,TRUE BLOOD (Music from the HBO® Original Series),6rhgMu7cLyzzIjiyzYFoEd,12,https://p.scdn.co/mp3-preview/2a0372844c399118a942184e14b3afc375873cb9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Sympathy For The Devil,1iDcKYNvo6gglrOG6lvnHL,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,Beggars Banquet,7oS7E5bFMzE8PXTZQKW0ge,19,not available
40,Witchy Woman - Eagles 2013 Remaster,436yrzQWA32vb1sTZKXg9r,Eagles,0ECwFtbIWEVNwjlrfc6xoL,Eagles (2013 Remaster),51B7LbLWgYLKBVSpkan8Z7,57,https://p.scdn.co/mp3-preview/0d033890a4fc9798efb0c41b994629117d4709bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Runnin' with the Devil - 2015 Remaster,3KhF2YiNpJvGpfiCW45R6D,Van Halen,2cnMpRsOVqtPMfq7YiFE6K,Van Halen (Remastered),7DdEbYFPKTZ8KB4z6L4UnQ,71,https://p.scdn.co/mp3-preview/b6f86b1a6d65c1fcbf89b6526925aff6ae4b170a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Feed My Frankenstein,7LDTB4kVmrLCU5TqKjZnzm,Alice Cooper,3EhbVgyfGd7HkpsagwL9GS,Hey Stoopid,0lhICEAy0rRGbhvWzlP0Ke,57,https://p.scdn.co/mp3-preview/ac7762e0d5067341311bf0bf9b5afe5241287998?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Devil Woman,2oRn0QuaWQ1hragGQ7XZ9s,Cliff Richard,2nvKpWcP8etYTq4JrRiUiy,40 Golden Greats,0SW33rIKZ2v0EmfqRLKufz,52,https://p.scdn.co/mp3-preview/24741d1a4a1aa8be129338e9e5f294823f0b3c17?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Ziggy Stardust - 2012 Remaster,5IyL3XOaRPpTgxVjRIAxXU,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars (2012 Remastered Version),48D1hRORqJq52qsnUYZX56,64,https://p.scdn.co/mp3-preview/7d9f79af0556952cd2cc2bc9077c51771e6f3a8a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Time Warp,6kYYtMDDiOwhFbfHp1gG3a,The Rocky Horror Show Original Cast,4qTigJFPrrmWX5jiACPg7B,Let's Do The Time Warp Again!,0lInRlU8v8KXaDzAlThz3O,32,https://p.scdn.co/mp3-preview/f1f1b9ee072dca4e91b3d98ddd4d353c9b909baf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,The Addams Family Theme,2QMxJD9EaZdZiJttUVPARq,The Happy Racers,16W82BsAi9twBb2dPWKZRt,A Scary Very Halloween,7JhfiWlYRO2H0dz2q6apKy,2,https://p.scdn.co/mp3-preview/4623f63e2131ebd5ac767a6a4fb09449e1d861b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Bad Things,3H0XRfbPaBqLd1UjzRMVnt,Jace Everett,47DQBkDU2VieRG0aJUcPJs,Jace Everett,0C5MT9P1lTRrVsUcQ8YLjx,51,https://p.scdn.co/mp3-preview/81ec23981bf497bd34dddcede88b8524c95e483e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Highway to Hell,2zYzyRzz6pRmhPzyfMEC8s,AC/DC,711MCceyCBcFnzjGY4Q7Un,Highway to Hell,10v912xgTZbjAtYfyKWJCS,85,https://p.scdn.co/mp3-preview/aa4f9186e0c3f4436bb40572a63862db80d7ef2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Paranoid,1jzDzZWeSDBg5fhNc3tczV,Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,Paranoid (2009 Remastered Version),132qAo1cDiEJdA3fv4xyNK,77,https://p.scdn.co/mp3-preview/c3c74a5d2214f66307037df432d0ba2480e708fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Psycho,3WLfwlGFy5f2A4O1daqeq8,Muse,12Chz98pHFMPJEknJQMWvI,Psycho,5PjJxigUDDDrBhGO2FZ5sV,46,https://p.scdn.co/mp3-preview/9825aad9fc20222cfd2db3eba32469181b90c8d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Run to the Hills - 1998 Remastered Version,2JS1iE5A5RHvUPH5Zl9jlF,Iron Maiden,6mdiAmATAx73kdxrNrnlao,The Number Of The Beast (1998 Remastered Edition),6q5MEna6Fg46powSoeZJe3,18,not available
52,Cry Little Sister - Theme from ''Lost Boys'',1IA1bevX8DfUY86sN3o3CH,Gerard McMann,1r3bb9hTIXRWwvtYaKzNzP,The Lost Boys Original Motion Picture Soundtrack,4KFyuG1e7yTOknV9Pm893S,53,https://p.scdn.co/mp3-preview/aaa72634897385da3dbf892e24b4259557439f03?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,I Had Too Much to Dream (Last Night),5YgCmkSdGukXqK3fJlX4pQ,The Electric Prunes,1kkpNi8Ii5MhBMxmUhN5g9,I Had Too Much To Dream (Last Night),1k3ldWSHD1BwUVHGiFMhyw,49,https://p.scdn.co/mp3-preview/f60e58a277ff58c4dcffabc41e2b64e79fc78657?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Somebody to Love,4uGIJG1jYFonGc4LGp5uQL,Jefferson Airplane,2qFr8w5sWUITRlzZ9kZotF,Surrealistic Pillow,6lPb7Eoon6QPbscWbMsk6a,70,https://p.scdn.co/mp3-preview/2bbbf1d141efc87df39c340f5a67bf5a25668ed1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Spooky,3MtP9T0WF4xbIo8vqHYeXM,Dusty Springfield,5zaXYwewAXedKNCff45U5l,Dusty... Definitely,08W4d8uMIQvJg0nlwR1rBN,62,not available
56,Cemetry Gates - 2011 Remaster,03yOjwHoOPDlTUg0NRxN6t,The Smiths,3yY2gUcIsjMr8hjo51PoJ8,The Queen Is Dead,5Y0p2XCgRRIjna91aQE8q7,53,https://p.scdn.co/mp3-preview/1e247188c3ec5ca5225c13f8274bec678c8d6eba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,(Don't Fear) The Reaper,5QTxFnGygVM4jFQiBovmRo,Blue Öyster Cult,00tVTdpEhQQw1bqdu8RCx2,Agents Of Fortune,6C9WzlQANeoD0GW5B41YJt,77,https://p.scdn.co/mp3-preview/596db216a6621b8c0e2f87fb343f33a9c0bd8878?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,"The Road to Hell, Pt. 2",3lGyt8enqenwyqXihI6AVr,Chris Rea,5KEG7G8LDYlHgFDqZyEEs2,The Road to Hell,6xCynP72PbiudbvVthLoah,52,https://p.scdn.co/mp3-preview/42160246fde91c1493f9fae2b612272c8bb31b2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Sweet Dreams (Are Made of This) - Remastered,1TfqLAPs4K3s2rJMoCokcS,Eurythmics,0NKDgy9j66h3DLnN8qu1bB,Sweet Dreams (Are Made Of This),5jNDWA19BJbE24x1UUJGRY,82,https://p.scdn.co/mp3-preview/90dbf17146e76483a9fe296d7f03001e2f07199f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,The Boogie Monster,6Gth28s3RFaz7JBeQwznZi,Gnarls Barkley,5SbkVQYYzlw1kte75QIabH,St. Elsewhere,7p2aWivr9OLXocSTTKtG9B,40,https://p.scdn.co/mp3-preview/8e681f879612d50e857a5dbf807e7e043a3ede15?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Dracula,08qq7XjoPnQgo8QHiJvURk,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,Clint Eastwood,3sB5GyaLFk9Vlf9UG7B1W8,49,https://p.scdn.co/mp3-preview/55ec2e78c7d68356a407f56f94d79aa1b8b5074e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Spooky,0aYuHGAzrEe5JpQscNdm1e,Percy Sledge,3rRmDmzPcAFwcUDvG5gBqO,Halloween,6Te4ci35xv4zn0YyON1kKg,4,https://p.scdn.co/mp3-preview/2c5be16c3c3f8f06cd30e2961d2c7c622e203df8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Halloween Parade,5Hb0p1Ti6nkeA3SSKfbvM2,Lou Reed,42TFhl7WlMRXiNqzSrnzPL,New York,7xGqf9DddW89cg7m6zX88t,43,https://p.scdn.co/mp3-preview/6d96f5d493baf3bbdaaa47537c17a942ea7f04a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Devils's Child,1WoUpF6SoY4wuYEUSnxeKk,The Everly Brothers,4ACplpEqD6JIVgKrafauzs,Halloween,6Te4ci35xv4zn0YyON1kKg,3,https://p.scdn.co/mp3-preview/96fcb9e0d24f986cee169cef9148fd9232926741?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Lost in the Shadows (The Lost Boys),2IBfYLzPXSejSBYKwLW8sA,Lou Gramm,7CnmC3gRgLev4I609BrSxj,The Lost Boys Original Motion Picture Soundtrack,4KFyuG1e7yTOknV9Pm893S,45,https://p.scdn.co/mp3-preview/7594f84eb8d46e175650f8f832513c75c0b52230?cid=fa83a2fec7c440b7a2795d600d6b2c7e
