Trevor Nelson's Classic Soul Albums (BBC Radio 2),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
25,Love Is the Answer,1PVZxJhf0urQoNk6WCBRsd,Keni Burke,1EVOoMiMrmOEYXHd36poF2,You're the Best (Expanded),7wMoVkoLDxQCiI63ShUMlr,9,https://p.scdn.co/mp3-preview/cbcc5cb9fd738f9cac6f66d64f76e77859a86f39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Let Somebody Love You,32CEdd1BuqoOuHkWuyfcX7,Keni Burke,1EVOoMiMrmOEYXHd36poF2,You're the Best (Expanded),7wMoVkoLDxQCiI63ShUMlr,27,https://p.scdn.co/mp3-preview/4ed6a851bbb4ee6c33d90c05271a6b3aa1115792?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,You've Got A Friend,3sEGgfk3MEjGIHabv7iwqy,The Brand New Heavies,3DEveX6KVzhPDqq2VRuN14,Shelter,0sRFR2h0zPYWEUGPGhTsec,0,not available
28,You Are The Universe,17TblZtcce8NgRbllKDhs2,The Brand New Heavies,3DEveX6KVzhPDqq2VRuN14,Shelter,0sRFR2h0zPYWEUGPGhTsec,4,not available
29,Sometimes,45XYBNZyQtcdWOEsSqGn6a,The Brand New Heavies,3DEveX6KVzhPDqq2VRuN14,Shelter,0sRFR2h0zPYWEUGPGhTsec,3,not available
30,Ha Cha Cha (Funktion) - 2001 Digital Remaster / 24-Bit Mastering,6anYAKQSaAHJ8WP1ShStoY,Brass Construction,5jWuVnPLmjABrgCGianzs9,Classic Masters,0OCPq7O3zg2fOBX4qdj0M4,15,not available
31,The Message (Inspiration) - 2002 Digital Remaster / 24-Bit Mastering,1DAIltGgKBy9pTeFf0xr0E,Brass Construction,5jWuVnPLmjABrgCGianzs9,Classic Masters,0OCPq7O3zg2fOBX4qdj0M4,15,not available
32,This Girl's in Love with You,3IV6G888WEMmw8sYqTkxiR,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,This Girl's in Love with You,5TGmpcEuZsVIoxDWnJIan5,27,https://p.scdn.co/mp3-preview/2cf9c5eb534db686f492a6c65c371d73e1c32b04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Call Me,1JEFsHZxUy24AvyC49GKVj,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,This Girl's in Love with You,5TGmpcEuZsVIoxDWnJIan5,43,https://p.scdn.co/mp3-preview/9b8293262c74316028d8d54739bcdac67be6f97a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Son of a Preacher Man,4uCbetXW9LStYPUjCpBVp9,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,This Girl's in Love with You,5TGmpcEuZsVIoxDWnJIan5,65,https://p.scdn.co/mp3-preview/cfe5331a57f9bd5c6424b3b076879e4f2370406d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Woman's Gotta Have It,20HCbY9qPpi1H2pP2MRUWy,Bobby Womack,0vqkz1b2qBkoYrGMj2CUWq,The Best Of Bobby Womack - The Soul Years,6aBN9OWwAcB49LWlI95ekd,50,not available
36,I Can Understand It,5cnBwDK9WO3m08rQNa2N7z,Bobby Womack,0vqkz1b2qBkoYrGMj2CUWq,The Best Of Bobby Womack - The Soul Years,6aBN9OWwAcB49LWlI95ekd,30,not available
37,Dance Tonight,6gk2V87atn7XaaAltdYsKd,Lucy Pearl,0OUXTnqjvTg4iZ7Lhq6vv7,Lucy Pearl,2RXWDBybggTGmdqFyYdRfZ,1,not available
38,Without You,6EQtU46h5CtO40JS6slxpv,Lucy Pearl,0OUXTnqjvTg4iZ7Lhq6vv7,Lucy Pearl,2RXWDBybggTGmdqFyYdRfZ,1,not available
39,Don't Mess With My Man,4Eap0FiMiGB2gqjk1D4cXo,Lucy Pearl,0OUXTnqjvTg4iZ7Lhq6vv7,Lucy Pearl,2RXWDBybggTGmdqFyYdRfZ,5,not available
40,Only You,2OH7gEuDmtdlUce6y0u7EP,Teddy Pendergrass,68kACMx6A3D2BYiO056MeQ,Life Is A Song Worth Singing (Expanded Edition),0uhJOt9UNPeI9BhegNXMkw,31,https://p.scdn.co/mp3-preview/98e0f8fdd3e98de106ae5de1e873d7ca84789701?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Close the Door,53m3UkzcaQVbB2DENsrJiK,Teddy Pendergrass,68kACMx6A3D2BYiO056MeQ,Life Is A Song Worth Singing (Expanded Edition),0uhJOt9UNPeI9BhegNXMkw,47,https://p.scdn.co/mp3-preview/7fb01caa14416b83e56cd31dbd5f6ce4f447280c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,When Somebody Loves You Back,7wJeXISGGTLVv2kBPtCJHw,Teddy Pendergrass,68kACMx6A3D2BYiO056MeQ,Life Is A Song Worth Singing (Expanded Edition),0uhJOt9UNPeI9BhegNXMkw,52,https://p.scdn.co/mp3-preview/d6218c8fe2d4d2de0e9e331b57df6987ba87d6c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Light My Fire,4UXgzTpXh7pBY4ZVPE8Tl7,Minnie Riperton,2i1IdHG5w0wiSmJGoqAGlj,Les Fleurs,4QAzV4Z3hJq5XULwP74Gm7,26,not available
44,Memory Lane,6slupKyBHuVOqNCFO6uB9Y,Minnie Riperton,2i1IdHG5w0wiSmJGoqAGlj,Stay In Love/Minnie,2gJzoUr4Z4bZy14GDUn3Qx,19,not available
45,Lover And Friend,1AHJeho4SOlS4nYYj0IuLy,Minnie Riperton,2i1IdHG5w0wiSmJGoqAGlj,Stay In Love/Minnie,2gJzoUr4Z4bZy14GDUn3Qx,11,not available
46,Ready Or Not Here I Come,6IKnB54wYnaKphjg1uYPPZ,The Delfonics,6YPRXu1dazGYcSZv4HJEH4,Sound Of Sexy Soul,0nXxA1xb25vcnbyHKajajS,15,https://p.scdn.co/mp3-preview/c1dcde406d713f97a011d9baa35f6d5e804c17cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Going Out Of My Head,1JJVgei5Z1CsbXu99xdTNW,The Delfonics,6YPRXu1dazGYcSZv4HJEH4,Sound Of Sexy Soul,0nXxA1xb25vcnbyHKajajS,2,https://p.scdn.co/mp3-preview/e9e5d8d1dee3d19fe809f80f7ba7d2dbe8a7c83c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Let It Be Me,3OxZT1EXlh5YreWUTXxX0b,The Delfonics,6YPRXu1dazGYcSZv4HJEH4,Sound Of Sexy Soul,0nXxA1xb25vcnbyHKajajS,2,https://p.scdn.co/mp3-preview/c593fd401ac892a8b6702ea0141e142b474c3609?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Boogie On Reggae Woman,0yAQnsv4FhvNhntxTq7XNy,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,Fulfillingness' First Finale (Reissue),16NmmZoFf7ugGKIXZBWQbM,0,not available
50,Please Don't Go,0kNP0Rki15VcqzMmoXytIH,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,Fulfillingness' First Finale (Reissue),16NmmZoFf7ugGKIXZBWQbM,0,not available
51,Creepin',4LL54x5mzLTURNna4evgSu,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,Fulfillingness' First Finale (Reissue),16NmmZoFf7ugGKIXZBWQbM,0,not available
52,Don't Stop Your Love,7fvpQhtkRJOApCjNmSLehs,Keith Sweat,2r09Inibex3C4ZNTUVSG3m,Make It Last Forever,1UwtBNOPmXRtdxPJAiNryN,33,https://p.scdn.co/mp3-preview/c6a34c941c5d43204b8172725b150470f23d91fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Make It Last Forever (with Jacci McGhee),7vVIj8Tm1wCawjvwVZdeLD,Keith Sweat,2r09Inibex3C4ZNTUVSG3m,Make It Last Forever,1UwtBNOPmXRtdxPJAiNryN,53,https://p.scdn.co/mp3-preview/3f63b30d969ad03a7713a336852390bf4aed4de5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,I Want Her,2Iw5Rd1IGACxv2CPUZguiG,Keith Sweat,2r09Inibex3C4ZNTUVSG3m,Make It Last Forever,1UwtBNOPmXRtdxPJAiNryN,36,https://p.scdn.co/mp3-preview/4f92f23819790421ca58654a46e02ff2f20a8ba5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,You,4RMIDsxooqjhLIkxhlWzLa,Raheem DeVaughn,59NO6KX7wQCG7jGdtH1NtL,The Love Experience,00qCxnQQPsveeZWZaNVWo0,49,https://p.scdn.co/mp3-preview/93a9eacc393e6ccd0acab42f8eb48ce57ff2f636?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Guess Who Loves You More,5tUXQvc0yMQD42799A1mec,Raheem DeVaughn,59NO6KX7wQCG7jGdtH1NtL,The Love Experience,00qCxnQQPsveeZWZaNVWo0,49,https://p.scdn.co/mp3-preview/bd536093b61bc8d77eb718faa41c39c1b9db1429?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,The Love Experience,3w3yJ2PcjrTEJBqSYJzw68,Raheem DeVaughn,59NO6KX7wQCG7jGdtH1NtL,The Love Experience,00qCxnQQPsveeZWZaNVWo0,30,https://p.scdn.co/mp3-preview/183e1941f376a687d33a96b006feb7796d6b0452?cid=fa83a2fec7c440b7a2795d600d6b2c7e
