The Sound of 1989 (BBC 6 Music),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
59,Pure,1oLEB15PuZEtdb8dG49pHb,The Lightning Seeds,67YNiSqhrx1P8oPvIIvbP5,Pure,1a2VBGQcbsB4JIFGpL92pd,41,not available
60,Rewind,59yZClODJApzDU5WVBLxoD,Big Audio Dynamite,7hqZBHSgDs1odG9aupMzEI,Megatop Phoenix,6HOwAhnOfB6poVR9cjVNd4,21,https://p.scdn.co/mp3-preview/fc5a810873ab204cba2e4a4448c3a76876054fc3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Getting Away with It,4e23vKHDVQXHvoqzXiYqUm,Electronic,3xYNGCooNIzKMAtJYKSOyq,Get The Message - The Best Of Electronic,127p4CCDi0G1PqWMptSCWy,45,https://p.scdn.co/mp3-preview/42ff6004f96ba14d70286dd632fd51cd72fc872e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Hallelujah - Remastered Version,21A8Ln5jlDfvCXnV9tvOS4,Happy Mondays,339DNkQkuhHKEcHw6oK8f0,Bummed (Collector's Edition),1dOzzihyWTb4buhmCDoJ7p,0,not available
63,Tears - Classic Vocal,2xJINT29JolKT4Zi3uw4c3,Frankie Knuckles,63yl9nDNrHpiAYGlNJxxjc,12 Inch Dance: House,7oNQxXJ3xHj3qZbIr5FZoP,0,not available
64,Do You Know Who You Are? - Remastered,2W0wAtmKno4o9uaHXKaoO8,Virgo Four,21GOilQf7qSpQdz7Ar6NWP,Traxbox (Trax Records Remastered),0W9YJK5QTGJdGLwybMJh3w,0,not available
65,Sleep Talk,2lunYLi6OKoAGDYLpl6nX1,Alyson Williams,1IBDfeAuKWGg435csFT4rY,Funk,1ihFNQwqfen1rrG5ZufDn1,15,not available
66,Warning - 7'' Edit,25ASPoWbPwXOnpM9IWwKpL,Adeva,3zSxZFUKZEYmEpHkwZKXzQ,Adeva,1wDqtffpyz1jfkXmN306PH,17,https://p.scdn.co/mp3-preview/0ea098d8d1593dd483d461e8bd2e5002311df0b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Hey DJ / I Can't Dance (To That Music You're Playing),7KHo6L9OG7BJss9jcKdsIo,The Beatmasters,1mPzbhI5OxkyJnTeuKeD8q,Boomania,6945nocZM0gGU8U9IG0gzp,25,https://p.scdn.co/mp3-preview/f70b9a8ff242713592a926cd80329b660763bb9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,"Got to Keep On - 12"" Version",4bGRCf4Iq8GCMUPrDDojji,Cookie Crew,5WmWOynDFigB6d1NIANfCu,80 Hits of the 80s,6RO7e36MNXzsyUzox59W5j,2,not available
69,Omega Amigo,4uDPLRdbFKQGK6ZmOrkiAq,The Shamen,5E704N5StxMVKpalhaJ5L3,En-Tact,4jpHKPCfCxyj8CiDEgjrpT,0,not available
70,Sueno Latino - Paradise Version,7FyivfDPDFkSJCuIwVwvoD,Sueño Latino,3E8tZZM4XEt5CBNcXDryTQ,Sueno Latino,6uDZB9woMx1XmLuAOBzG10,0,not available
71,French Kiss,7k60waMcIWW5pYOWHErO8j,Lil' Louis,5A16TE7083RJq3yzpdsQWs,The Sound of Sexploitation (Mojo Jazz),5IIMUc14C1vcZB0hMkSA3T,36,https://p.scdn.co/mp3-preview/16bd46e97d098505a16b88f37201f4dd028dcf8a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Mantra for a State of Mind - Club Mix,0cF67ttzExA4s2ceNNP88u,S'Express,2PvqyOwynRF4BveaU6IA7S,Themes From S Express,6OJDPdWy4EtlloWml9xzSF,14,https://p.scdn.co/mp3-preview/f4da7ac9e154389a33ce947204fdeab71f4c6481?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,On 33,6Skl1S7KmiR6wtgkYjQI48,Stereo MC's,1k8VBufn1nBs8LN9n4snc8,Collected,6Jdq06WhDbNo6CuSjiyFb0,0,not available
74,So Whatcha Sayin',3CISG8nEy5KjoQrW60nJ2C,EPMD,3zpKjsMg2gw1St5WcWoUJN,Out Of Business (Deluxe Edition),0yRmB3L1kuD57nxv7JGawA,0,not available
75,Why Is That? - Single Edit,4d60qHK2WBkwGQ5ReFYlE4,Boogie Down Productions,4toEjJSZu1rbfX2hfVdZFA,Ghetto Music,2G3sngedPGHqINO0PNKg90,1,not available
76,Manifest,46wcI2boTK1hCco4ZAuDXz,Gang Starr,5cMgGlA1xGyeAB2ctYlRdZ,Mass Appeal: The Best Of Gang Starr (Explicit),6nGPSCWlm9qQN1xfER6yJR,37,not available
77,Doin' Our Own Dang,4fuLWKNpY01OLMT9tARnB4,Jungle Brothers,2iclO3rlyF0YVNE46ctYRj,Done By The Forces Of Nature,5FCNQAQLw46CKYbv0n2H6V,58,https://p.scdn.co/mp3-preview/40ee314a009c4c4a7926a77cae7cc100bf82e06b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
