Best of the Pacific Northwest,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
90,Candies,5a5cvJSYmGK5iA2VCuYXNQ,Fruit Juice,6WS6HCAPFgC3vUOV7ZTrvl,Eat You Up,70kc9Olvkc6NeXeAW1psx0,15,https://p.scdn.co/mp3-preview/7a21814754857d818f6dacdad5da91dfc6248ee4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,"Tanger, Tanger",6BrR5JONSuzWP3SYnvB9px,Angelo Spencer,3vkNUeX4tnAxqqEdwYsgZ9,World Garage,5arTUjxHUYFX8aZQ4VPbPE,1,https://p.scdn.co/mp3-preview/aaf537435957c9511dd87227b09c858496f2a43d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Light Rail,6H9LnmATYBeB9mcuMsLC1I,Lena Raine,3Ww8GMbCDMAGwJJ2hd7z7z,Oneknowing,1sgAanfg8fmIFXFbuPBBeO,24,https://p.scdn.co/mp3-preview/2e022a67d3b84420376411b7fa71680fd0fdefe3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Juliet,30XRO1V22lLhE2M5h9bseR,Mia Day,5yhCaJvAUpRd2PSxskIbhO,Gold,5ymjOU4CEDJ2ZYZsmhhfK7,3,https://p.scdn.co/mp3-preview/645ae9f57ba8c6ea6a0f8fe1a2294b0fd22d256d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Silence Won't Help Me Now,1A3rXazUhTR525qVsh2z8U,Laura Jean Anderson,2SHGDNcy2dtMu7YSDV19r0,Lonesome No More,3iBbcxIv0i5dYt1OCLDHf1,13,https://p.scdn.co/mp3-preview/9ea3886be66305140b23f97d48fe6f0c04349c64?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Red-Winged Blackbird,174ftef0VznagJPF3JaXou,Heddwen,0Z0bKkTXy4IEZmQE05mYKQ,Traveling West,7IUxBI38KDENGsvBPtdb2n,1,https://p.scdn.co/mp3-preview/001b6ff9cef73729257a00da4b125aa94754c5b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Lovin' You,3fgKOpecVGJhW8zrWZMox7,Mike Sylvester,3RnCrjQh4mF5VbScksel6k,Lane 1974 (Original Motion Picture Soundtrack),2ouHE5UXL01X4Lj9DGgPlE,3,https://p.scdn.co/mp3-preview/79df67a3b584c2309f20b4a17e6089b6d34891f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,Yesterday's News,1ZdnhEFJpOuY6UqrEufcSc,The Sockets,61BLxqtZX4FlvKuXADggPS,Yesterday's News,0GRC2DTjnGBuJCy1X2ML03,0,https://p.scdn.co/mp3-preview/079ff2e6da35c4eb6d71e0a20e1274c7e40d3ce1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,Ghosts in the Shower,3aw7xmyJt513pNVSUx7cpQ,Chong the Nomad,586OHhbBhXRpOY8LezbUcK,Ghosts in the Shower,23wy33pMOnyAJVCpU8UFQv,38,https://p.scdn.co/mp3-preview/a31da9f9169b448712ecddd1031ab0e8881e1f11?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,Casa Blanca,4DXTjgtQIY9dQcunSkIi38,Guayaba,2Yu1awZURNoKz0gOdeDBz5,"Black Trash, White House",246fMtcdD8oteWkNJkic2I,11,https://p.scdn.co/mp3-preview/f29b1613c4417a381081feefad41c91ca7f73e08?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,Salvation,64Zf7Gcl4DCIQICpWYaAv8,The Berries,3KP3fb4LMgdw2u8xvyQAnH,Salvation,140rCVTuWGJIjv0tQkpzDT,0,not available
