Hitradio,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
44,Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,A Star Is Born Soundtrack,4sLtOBOzn4s3GDUv3c5oJD,89,not available
45,Einmal,2t8QolI8gVL9qv9LsXgBgq,Mark Forster,7qXzy6c5RWT0XlVQcOBIDG,Einmal,1omNu1ir9aZh4tNSQnVrVf,51,https://p.scdn.co/mp3-preview/35c08778dc21a597f3ddce60e44f03f18d7edb51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Superheroes,37sINbJZcFdHFAsVNsPq1i,The Script,3AQRLZ9PuTAozP28Skbq8V,No Sound Without Silence,6yd9yk8nFcHalXzy7mgaDx,75,https://p.scdn.co/mp3-preview/900dc33cad986d311dfbe7e87d7da0efdb921f98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,iD,4m0TDIJ02cmpZcqQ62GBCv,Michael Patrick Kelly,4OGiMt96TFUKkKWf7Imlno,iD,72Yu3QdZx4puptxSYf0a28,15,not available
48,Dynamite,2CEgGE6aESpnmtfiZwYlbV,Taio Cruz,6MF9fzBmfXghAz953czmBC,The Rokstarr Hits Collection,0eGvq1J5Ke7VlLLOYIlY4k,77,not available
49,I Knew You Were Trouble,6RjKVXi31fui9m4dbiGRrL,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Red,5FerdPFXSHSnCVq4OBy4Ey,17,not available
50,Du,0YiWQeLMT6Dz4dAyHE9AzP,JORIS,7BKePXVmQRgnkbGcrFX1G4,Schrei es raus (Deluxe),1vdVYpHHI7gjnxf0VwyG2Z,62,https://p.scdn.co/mp3-preview/4db7c5309417b2bfdb216403f621498aadc488d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Was du Liebe nennst,2hIY4sjfMeKwXXh2LvhrMo,Bausa,13bDjug9N0pyv3ZUINjkDV,Powerbausa,5VJCtm8ZQuCiOfiiZqjEJa,65,https://p.scdn.co/mp3-preview/dd8265fca847d4cee49c47744530e9131c7d0989?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,For A Better Day,3c3XJ9P1BjOtmNXKvdVyHK,Avicii,1vCWHaC5f2uS3yhpwWbIA6,Stories,5ttIIMPWCp2bvwsdAPcEXC,14,not available
53,Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Sweet but Psycho,7CdLU3GgPy1PH5FVsrPlyA,89,https://p.scdn.co/mp3-preview/9772598a67666a9b7184926c59fe15b9574c7e46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,thank you,3uCZ4IqMY54A0jxRkyPGPl,Lena,5slpk6nu2IwwKx0EHe3GcL,thank you,4tnDopXhccSMfBgOUGJP6q,62,not available
55,Hier mit dir,3fqmx4fMxm2GPCrYe1TPOB,Wincent Weiss,12xme1fwd3iGEW7rF9b6tp,Hier mit dir,7oZKuILvPUGtwPWJL1cJiS,57,not available
56,Crazy to Love You,4p1QpM8dtPMXHwCQotLAW7,Decco,3eii93RK8M9F3wEJDe7YJG,Crazy to Love You,6zsIVgXBMVV8PtUVOuEP63,61,https://p.scdn.co/mp3-preview/3a3e8429ec5d8b719f8e75823c41c01b8b52f7c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,September Song,0FuTx2s3YH1ppmtiM6l0zI,JP Cooper,4kYGAK2zu9EAomwj3hXkXy,September Song,4PtHrEv5SyIVsdbMKi6Vkg,22,not available
58,Happyland,0vC8BZnVMDrjDfFYKWahrb,Måns Zelmerlöw,1IxP1g9VrPzJqXFCsuyHKe,Chameleon,6QJRq8sZXTIMjDST0xSxhT,55,https://p.scdn.co/mp3-preview/6bb705918b9a3cab81c67da8d32c1712765d1a70?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Pretty Shining People,2JVwsN6viHjR9t5pCPQ4Br,George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,Staying at Tamara's,2NaulYO6lGXTyIzWTJvRJj,72,https://p.scdn.co/mp3-preview/622a416ab31a2a1e751bff3ad8ec0e04d45172cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,365,2XWjPtKdi5sucFYtVav07d,Zedd,2qxJFvFYMEDqd7ui6kSAcq,365,7DMS5dzWQu7R3D59CKw4TA,79,not available
