New Dance Revolution,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
49,"Rimbaud, Come and Sit For a While - AlunaGeorge Remix",1fEQPm2rqMOpTkbXfWY5Yq,No Rome,6auWB5YAlcKaHyrbTH66nd,"Rimbaud, Come and Sit For a While (AlunaGeorge Remix)",1UJi4rST4RBsECjewUKrRF,37,https://p.scdn.co/mp3-preview/b0edd635d31f7ff10c9595e1af682cda49151bdb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Like I Love You - Rowen Reecks Remix,3m2Bsp7otjIddiGoTaiSKO,Theresa Rex,6t9tbRO9Lv6Oq6xtVwfdrn,Like I Love You (Rowen Reecks Remix),27aElwIVbeSvYmEeAUeYGK,40,https://p.scdn.co/mp3-preview/6672995f546d7774fadedc86acad2ed97b2b193a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Every Morning,6It7eAXKK59k0skPxWNwP1,Chris Lorenzo,7tm9Tuc70geXOOyKhtZHIj,Every Morning,7wAQdQJvonMQ9SRQJcGofM,54,https://p.scdn.co/mp3-preview/46a2febb4b44cf7bf2552ee32270e4bbcde95da8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Bad Blood - Sammy Porter Remix,4ltvtBexDVHHwI1rI6ZJ4Y,Sophie Faith,4LR3BRvTeWCiS1l16TqXVh,Bad Blood (Sammy Porter Remix),2NEbsvdURkSggfbBKgrYIf,32,https://p.scdn.co/mp3-preview/634a6d2bbc3fb6f10efa6423610dd058bb926e10?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,No More,1GbeJwHvcWOELjFFesFvYe,The Prince Karma,6ew7qRw24oov125Oly8pFD,No More,3FKKvVxJEnOI9Y9GxrUzsq,42,not available
54,Post Malone (feat. RANI) - Friend Within Remix,4lA04DT6MpfodzmZn8QGGI,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Post Malone (feat. RANI) [The Remixes],2ZJMgQTBnzloCRjTlg7mqz,37,not available
55,"All Night, Pt. I",6zGVtDu5KcvrgLaKXzia40,Kara Marni,2lfOu2DjnvR4Xpolt3OPfv,"All Night, Pt. I",18eAcpNct7o1lDzkmwKeVx,46,https://p.scdn.co/mp3-preview/1712e2eb939971e7a1083e00cb9d0218b66a2a16?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Everything's Live,4vZj7kVypLU0OK1eFvZiL2,Realz,4j4g1iGu0mtrYCEj093GfW,Everything's Live,6DIEx1Zdq6xI4mNuOFEsdM,33,https://p.scdn.co/mp3-preview/d7bf155c883481c35b52dcc366ed595a79cbf92b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Retrograde,1TxOJErR8b3SsCDdiVkYsx,Hardwell,6BrvowZBreEkXzJQMpL174,Retrograde,7ygmx5PY4EF86hkkXLazAf,62,https://p.scdn.co/mp3-preview/d22ec344eb915fe6c2e1ae344c23d1c6cdca5957?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Let Me Take You There (feat. Laura White),5tuOGRYPjh5lV6M5zbNRNH,Max Styler,3NKKngINK1tP6BFy0WOyWk,Let Me Take You There (feat. Laura White),32DjFgVCtLPRz3HNJCEH9S,59,https://p.scdn.co/mp3-preview/83309409cca1f6b89b2874bf5e72aed35a523044?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Easy,7HkPqS9EjrnzyF6S1Bw5RG,LU2VYK,6XfxrlXxNCk5pI7eaXQO2L,Easy,3tN7gPQGY5VqsfA3CxdCGt,39,https://p.scdn.co/mp3-preview/32ef1c9b7060c590f271c3d6c696fb544e6e6fa2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Don't Need You,57epqevFBm06L9XKVpdH9H,Scrufizzer,3JmGsgVoGUN1Ro1jLfi7k1,"Tropical Vibes, Pt. 2",6t5rrRYZruTkOfd8b2UTKR,40,https://p.scdn.co/mp3-preview/d35b41e98725ec655c85e091cae766ebde736b60?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,We Take You There - Edit,2u9OCLmsSM48CJIex1BTbl,Max Chapman,5H2Ir5oA547rZrma8ZXFs5,We Take You There (Edit),6bdynoRNTFzd9JVRePtcsq,50,https://p.scdn.co/mp3-preview/3d3c40436f934636dad097bc6fedfeb8bc0169b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Symmetry (feat. Tiggi Hawke),4hQPDJmWN7sf0RkLjTpoKK,BLR,6eZxwKfQWK4d5sLOlauR1Y,Symmetry (feat. Tiggi Hawke),35HGVvbC5IOzc2WVIfmHs5,36,https://p.scdn.co/mp3-preview/f1fd3196d2dcdcb5fa799b3fb6a46363f70a0284?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Go Somewhere,71rHHK9L22rVdmofJTjuSd,KREAM,0DdDnziut7wOo6cAYWVZC5,Go Somewhere,3VjndwWZzzLROe05SLqG5I,65,https://p.scdn.co/mp3-preview/673b3e64f3e5f9f263d02512f19e343e7cdcad8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Good Vibes Only - VIP,06QKeVheLkG0ZkAOyvhLW3,Them Ones,0NCzFewqGtcdv7FSM5KkkD,Good Vibes Only (VIP),5fPYtbBK9Qaji6GNX09YZY,39,https://p.scdn.co/mp3-preview/9d0b601be837359b95de7611cda7195501b5bf8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Pon Your Toes,01jAWP1aS74pq2uOe5n0Jm,Jeremiah Asiamah,4a8asYwblfRPbHxD6Oc7W4,Pon Your Toes,71ZUopmcGcdz95GUwK4Oxg,27,https://p.scdn.co/mp3-preview/66c2b7e9d59cd334ca83f43a0b87ca7eb606c9e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Trust You,4zGReDJNtrZkxxNUxgLu3Y,MistaJam,3qi5fhSI6aUecvRN0XqIJ2,Trust You,2NRC0r4haaa3qR4lSfgTXU,50,https://p.scdn.co/mp3-preview/a5c2918818c507f02812777a86e53601542fdd4a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Feel It (feat. Theophilus London) - Prospa Remix,7FIR1bxBZ5Va0LTDe5B4SJ,Octavian,5zfEatKLDdRkgbw6sdLBAQ,Feel It (feat. Theophilus London) [Prospa Remix],4UrTKdvbTm9ltdpLAjrlSA,42,https://p.scdn.co/mp3-preview/c5fc90a1252c803274d9e3d9528a83da1558a7a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
