The Indie List,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
46,Addicted,2kUECVQY40DQoXymT323jg,The Night Café,1ShwUjKIwQRaUJij7jgRhp,0151,4hGB7HUJu4oD3TqJvYPqr9,48,https://p.scdn.co/mp3-preview/04eb16d798f92efbd1df012b49b435df63604e5e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,How Does Your Love,1nzkVSr0fIk8cjpE8O9L3l,Declan Welsh and The Decadent West,6KNqvxgfYVRSzgAE1j2UT5,How Does Your Love,54JPVn14lBrRc5HYlstxZ5,38,https://p.scdn.co/mp3-preview/276dea05b3d74e96423a0647d5d52e6fb0ee44b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,The Reasonable Thing,1ztvLwkOjCxIuyBasEaXDh,Husky Loops,1quz8ZBmFY2nzmoMcUXcX9,I CAN’T EVEN SPEAK ENGLISH,7emtbts0RhXb3uHLO6HCqA,40,https://p.scdn.co/mp3-preview/d48eed669ed169318ecf5aed7ca5ad2ced7c499d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Two Sense,5aKsz7JCys9c5DpInQPW4B,Thyla,0L6tY7VDHwGDhx3T989SAJ,Two Sense,7u4YQ5uh5egphHmDq5A4ui,33,https://p.scdn.co/mp3-preview/8cc847581fef00707a742c79cf3df5f00f9665a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Shark Week,0q9vQiaPZTEfTmz4RDoDEz,Lauran Hibberd,33ReZaGVb63WaJE68WgWuU,Everything is Dogs,6bBl0kLYlDxbdm5GWTGqKX,39,https://p.scdn.co/mp3-preview/0832ba02379383d5eeaf4a5ab6fbbba23b6dece9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,People,39sJbSgJmIrB9J1pkRbpaX,The 1975,3mIj9lX2MWuHmhNCA7LSCW,People,4CqlHgip2WIdvtqJ8BXMhW,70,not available
52,Adversary,4mBbKJXAhW025VnmtIAiSX,On Video,1K5nmUrG3nS2EeSGm4xghD,Adversary,1i5qqVOSDBBg2gdXVCxWx6,43,https://p.scdn.co/mp3-preview/1079f31fc68ed6142fc5eaf07baf530521c63d5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Elite Companion,6w3khhU6fgjM6Kz2uPaRDR,One True Pairing,5Ijj1CZ7i0VFZ6Ghrmij2K,One True Pairing,6Av7M70YOAZtzobiLgG67H,32,https://p.scdn.co/mp3-preview/821a7935ed5178a8ed1b6215843ea562fec90b1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Half Life,265yd8h8HOnQDGK7JTczdw,Spector,34nBPbcVc9F9eizQC4a5aT,Half Life,3x1GQGc5LZLdFRzzamfnBL,45,https://p.scdn.co/mp3-preview/aa13b9bdcd3617c62e0125bd58c097c14423d747?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,The Wu,3hntA54MXZ77EE3CN2srUw,THE S.L.P.,4CLxFMLXyDPDiENHddT4DA,THE S.L.P.,4we0IG8fkJ6DHamjxbjX2L,48,https://p.scdn.co/mp3-preview/3cfc861056ddf47c71afd85057bc80f089c7d119?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Divine,1inPW4zoPlwfPaSRinhcaT,All Tvvins,7F0pUx0AO9CXaNbCoxbbNX,Divine,7LBdk7OFBBHbrwL8BQZg0f,46,https://p.scdn.co/mp3-preview/efa288b2d669e62a55c87b8d33f98bd319a5d804?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Imitation,4VpDMQISyCUBNmREW2tr0g,The Ninth Wave,7AAthfOGfAvVy4NWGJDiCP,Imitation,6hzo4fFOLEyIKvwysR0nNZ,39,https://p.scdn.co/mp3-preview/46559b4459a8418eb2de6b38c7a5cc5b83239fdf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Live Forever,5Y2P2hnVzU0qIOD3xcv1Ve,Nasty Cherry,3a4OHGZwsqHc3eRChiDkS9,Live Forever,6eRl6WSUNdl2bM5ywn1FGV,49,https://p.scdn.co/mp3-preview/d5abc1016927453f0bdc36398537040a1cc3d0b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Teef,5H9Ulh7Z5TuRP29CtLU4tR,Mealtime,1wKNJspHvvRJ6P59W0TRr5,Teef,3spQE2bU3SIRv3XoibmjRx,37,https://p.scdn.co/mp3-preview/f4a284404985ad75a932e58def1e38189bef7656?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Match Bet,5EdXE7FknapGSFzfqWYb73,Squid,685XjGzGztyivfR3fAjoxo,Match Bet,5r93p5X2wWr6RbnKy9VMXI,43,https://p.scdn.co/mp3-preview/a13b511426299660f31a66b609d8d37e51a61aed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
