A Perfect Day,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
48,Love Song,4E6cwWJWZw2zWf7VFbH7wf,Sara Bareilles,2Sqr0DXoaYABbjBo9HaMkM,Little Voice,2Z9WUERfMjOgQ6ze9TcGbF,77,https://p.scdn.co/mp3-preview/6a346c9d0573a678ca5b2d001c8884d4161b850c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Can We Pretend (feat. Cash Cash),3O0e0LHTpza0rYVDbZfQ4r,P!nk,1KCSPY1glIKqW2TotWuXOR,Can We Pretend (feat. Cash Cash),1CXDHsSaA7UgUPvRm2AVRH,78,https://p.scdn.co/mp3-preview/5e10fb922b2432b3dff86ebcd51f7491a2429302?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Summer Girl,1GZH9Sv6zCIse2GKihRHKy,HAIM,4Ui2kfOqGujY81UcPrb5KE,Summer Girl,2U2dYHLwLrHSQ3m2YQcNHj,64,https://p.scdn.co/mp3-preview/4d89106e605c2c77b08464096483b35cba30e0f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,(Your Love Keeps Lifting Me) Higher & Higher,5qyq1H5OPMlfuvZQ1wQNo7,Jackie Wilson,4VnomLtKTm9Ahe1tZfmZju,Higher And Higher,4OgYmImCWz3VK7At9GTWHN,67,https://p.scdn.co/mp3-preview/6c11178b8aab778d455e09f9f33754ffc55c0de2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,You Are Not Alone,36GKWUuG8QEzpti26lSZsY,Emeli Sandé,7sfgqEdoeBTjd8lQsPT3Cy,You Are Not Alone,0bfJPCGOk3KyO18L0MauNh,53,not available
53,Dynamite,1ldZTHOK49s7Day3wkx0is,Westlife,5Z1CCuBsyhEHngq3U5IraY,Dynamite,6NFGd9EMBkPWPAKmkkXHYQ,62,not available
54,Every One of Us,5b6zAh5CNRv6dN5JrMNtmk,Rick Astley,0gxyHStUsqpMadRV0Di1Qt,Every One of Us,4hlmMOWqxno6iFYi54UKYN,50,https://p.scdn.co/mp3-preview/f8f36fb9c6e1b54f18678bf19fa9ce9ad6981608?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,You're so Vain,2DnJjbjNTV9Nd5NOa1KGba,Carly Simon,4FtSnMlCVxCswABUmdhwpm,No Secrets,79x0PRGIZv33znrCkPkCZ5,76,https://p.scdn.co/mp3-preview/0cd60ee4a92a3af5f87eae5485ff622daed4135f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Closer,2Vglf6H6aworXG1VvkjirS,Sea Girls,45FqwUG4hTT6d39r2HUsUe,Closer,4exOf1itly9J0J5g8q2VLy,56,not available
57,Inner Smile,6i3kIF4sosXFhkoSLMV7bP,Texas,5JsdVATHNPE0XdMFMRoSuf,The Greatest Hits,6pM8nZgJqCrdBGLzjkBey0,57,not available
58,Carry You,6csk7RGrFhxbi6hPwQImPf,The Teskey Brothers,2nTjd2lNo1GVEfXM3bCnsh,Run Home Slow,3DBne1mcu8Glvx5au357Io,49,not available
59,BadBootz,7pk9Sy76UJJ9L0PImg5rdq,Simply Red,1fa0cOhromAZdq2xRA4vv8,BadBootz,4mjE1EdPGfbm6Ardfsb7Pq,50,https://p.scdn.co/mp3-preview/32ce599ab7ece49178f1495f12fad0963ba57d0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,This City,7kF3x1XJXGcgQWFemulw4q,Sam Fischer,6L1XC7NrmgWRlwAeLJvVtA,This City,61vVzMAkCK2V2Qyz04FzgQ,74,https://p.scdn.co/mp3-preview/3c60b1d62c274d479c3fe5b4931062150fbcbe5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Now That I've Found You,4QSxcUAwEx5sFitOKZfQDN,Liam Gallagher,6sN51vEARnAAdBw1IKZ8Q9,Why Me? Why Not. (Deluxe Edition),6iInyjotj1rYpx3vbX0MxX,67,https://p.scdn.co/mp3-preview/995b65f84419ca454aca539b187976a8a442fe65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,September,06rPFgQsKS607RhYIqCmGq,"Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg,"Now, Then & Forever",1mzir7lA3b0Zsig6wYCQKN,66,https://p.scdn.co/mp3-preview/e30ddd1d5f3bf2286dd9a3883f31760aa860e153?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Talk It Out,3I6CQSc5hMvU4nh2DcTDBz,Matt Corby,7CIW23FQUXPc1zebnO1TDG,Talk It Out,1hK8ETmd5Dq4FOA5kWkGG6,61,not available
64,Ice Cream,7B8dUsVvfDLwwBYcZB6IWX,MIKA,5MmVJVhhYKQ86izuGHzJYA,Ice Cream,7ob4qV7Ug32iwdC36PCSKk,58,not available
65,Freedom,1rvVz5d87TTKGgYKrB1CTU,Andreya Triana,6SKEuFZYhaTytrhtJjgnO2,Freedom,1bGYFuxFWNijo8ec6fdPGK,49,https://p.scdn.co/mp3-preview/605693a6b3d85de342195e4a81e348a574a135a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Never Be Lonely,5q2qiluA3VVlCJVGG5gYVX,The Feeling,4AksvCnkZaQoTu1nJr62Db,Twelve Stops and Home,6A9D2HxbSFq60qC3BzDWFd,52,not available
67,Calling Out,1pujfqduP8t7K49g09G2B0,Andreas Moe,5kW2ng5av985BfqrOMRpk0,Calling Out,6axZYCXBhWItXhAQwskZup,47,https://p.scdn.co/mp3-preview/561c48bb94a0b3c986b800ba6475b4d083b433be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Youth and Love (feat. MIKA),0JeftYv1hVm6EnWKL1lYVq,Jack Savoretti,7nC05zmJukRGYObQeRgg3x,Youth and Love (feat. MIKA),2fH57pGbyu2ZoEG18t1LqH,55,https://p.scdn.co/mp3-preview/9d64a96daf618f9caf5c14ede3095d27f9bcc965?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,So Good Looking,0I0onONP8E5RG8oxpWoGIY,The Kooks,1GLtl8uqKmnyCWxHmw9tL4,So Good Looking,1ARM5SvfZKZeuww6C2gim1,61,https://p.scdn.co/mp3-preview/1d910c37b704ebf2d33c004fed11cd639453e925?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Walking on Broken Glass,4CcSw8wQAHYf4XNckayPoc,Annie Lennox,5MspMQqdVbdwP6ax3GXqum,Diva,33ImEB9taJ3Tie4APfTL7B,70,https://p.scdn.co/mp3-preview/5fd862611e0a7a205759183238c21f37b96ea4c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Fuel Kids,4VT6TUbFjMfcNM68rdwAd2,Sion Hill,6D46zhA0qNfroqPVhy7NNi,Fuel Kids,0czdsjJlJxwp5RBqWGRrlF,50,https://p.scdn.co/mp3-preview/bc92cce43dff0908174e318173383283ac0ba4f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Enjoy It (Remix),5FUH5237fjJk986Gn2W8IM,Brian Protheroe,1OtWnahLz9y3TjLuqS4gYp,Enjoy It (Remix),41t0NffQVGSGUOLE9UEdtq,45,https://p.scdn.co/mp3-preview/0fec8ed33aa26a12fdc82ab843611bbb7034edea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,LDN,5wD6de7Fz1QfxVNkv1SEy7,Lily Allen,13saZpZnCDWOI9D4IJhp1f,"Alright, Still (Deluxe)",5ySBiY0v4b03yw98oRDKtS,61,https://p.scdn.co/mp3-preview/e83fc9697a67d08f0aaf52a0dcfa4807a6411f52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,TATTOOED ON MY HEART,7pnYLmQOge6ZG41BPIoMP3,Bishop Briggs,0yb46jwm7gqbZXVXZQ8Z1e,TATTOOED ON MY HEART,70dvc77QJzOIduNWA5EUmV,58,not available
75,Blue Sky In Your Head,1kwOE8ZyyH5VarwVYGIqKL,Lighthouse Family,6edGSAX5dVpeJVwu1Q0NwJ,Blue Sky In Your Head,2qbPYhgl50ZHz3PnMPHE8u,49,not available
76,Cold,2Dpe4Wnm8lQ07nk2SfzvEz,James Blunt,7KMqksf0UMdyA0UCf4R3ux,Cold,1me5RBEL0qMKL70q8WVdfA,71,https://p.scdn.co/mp3-preview/0d377937ac3d1e2808f62a184a3bddb4bd3b2d6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Grown Up,77rmSm8NFclnyDpKK2l8Mo,Scouting For Girls,2wpJOPmf1TIOzrB9mzHifd,Grown Up,5c9JOKVqLEYMRDynT5oJK8,52,https://p.scdn.co/mp3-preview/f7b21eb826a000d3327ea2bc0b7452af7cc1e519?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Faces - Radio Mix,4JouqVK1zcRAOxBCxgwo5d,Gavin James,25tMQOrIU4LlUo6Sv8v5SE,Faces (Radio Mix),5Gnw7dfHYDl907VHYGI2nu,26,not available
79,London Boy,1LLXZFeAHK9R4xUramtUKw,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,1NAmidJlEaVgA3MpcPFYGq,83,not available
80,Dreaming of You,6ebxt3Iylxe0GcEuUGlIvb,The Coral,6OiHleP2bHM18dXq4aZQWt,The Coral,6Fhnezpt7TKojq1ufkZ5qA,66,https://p.scdn.co/mp3-preview/14d3eb694de0c57662abad60a15f2cb3e82dd14b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
