Reggae en Español,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
87,Mamá Morada,2meeh4QSYXOmgNrxLg7f1P,Caloncho,2z3KntXLyEF5Lvz1kpdBoA,PA,3qUPXm3AwtFM1FotnXVuuM,45,not available
88,Reverdeciendo,1x5xeLTf0SAzXVCQ4ymqrV,Lengualerta,451HB6ulceS82BVD3cncjW,Estacion Wirikuta,6KlEtLRaQBAM1BONHyzflQ,0,not available
89,Closed Doors - Déjame Decirte,4VDh6EZ1gH0bXt07FlJEuH,Mellow Mood,0DoxfbAxoISNySf35oVCN5,Closed Doors (Déjame Decirte),5puThnFutIpLDO7xkVFYqR,43,https://p.scdn.co/mp3-preview/43ae0fcbf89970c5ff03c4ddaa0320df4f4a64f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Trenchtown Rock,4bbAv8sjSZyRYtcsjXmP87,Hugo Lobo,50UQHipbWWMFQiT6DZYvHN,Rockin',7KF1Tscv5C6Nxs9K2YdGJw,43,https://p.scdn.co/mp3-preview/fab3c3c301ddd85b9fd57fee0e57f334b62026af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Resistencia indigena,1dIhVyOcHzgL07hSO7IOex,Sig Ragga,7hBKLnKOnLXNBwJ1l6p24J,Sig Ragga,6MzR1S3TxR1529UPnNtt4r,48,https://p.scdn.co/mp3-preview/3f4335273b5ea609a5ddabc09b523897b6a6a737?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Carnival (feat. Solis & Randy Valentine),3FEN1Usl4Z4IceFbBZ1rmI,Mista Savona,4Y6SrIz24cWZIWuG28CVgz,Havana Meets Kingston,0icwh2eJpzUu9HiTHF4MzL,42,https://p.scdn.co/mp3-preview/2151a4e0e36d37314b7af652907053a30b092c98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Mamma Freedom,3ZDDItYLfoaaMsP3avZXLq,TianoBless,3xrKMSTThvBj1FkMo35x7T,Mamma Freedom,1gXoF4nPAgAn6a7GNS6s8W,41,https://p.scdn.co/mp3-preview/e2f12e681e1dd6d45880aa13fbd5dfb07ca4ba6d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,I Will,4PSDabaxKaVRjvm812i1B6,The Skatalites,4og9jrin5xH5JiFPbeGUPb,"Album Verde: Tributo Reggae a The Beatles, Vol. I",4FXB6zm3mGfAZWj6WHPVBV,42,https://p.scdn.co/mp3-preview/0f5f201dd7d0a9f3c9b54dcb9934a8258f88c0c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Este Sol,0PEPAQmz4mSOGHJutRUn37,Yerberos,6vsmFRlpXiSJn0BPcyU3bZ,Los Yerberos 3,5yVb7YfqiTmE8EzQgvRtfQ,41,https://p.scdn.co/mp3-preview/9286dd5433713f7d3c44829b78b07906674b45ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Revolution Rock,4CXWFFeM5WWCPq7rsUMQGu,Hugo Lobo,50UQHipbWWMFQiT6DZYvHN,Rockin',7KF1Tscv5C6Nxs9K2YdGJw,45,https://p.scdn.co/mp3-preview/3148f693f3ac287cc1dd177efb16c31082485444?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,Tus Ojos,14okrRM5leVkKxhH5v8NHd,Cafe Con Tequila,62aU5j4IyKvoyOw7Sh27ZZ,Cafe Con Tequila,1hPYk1JG3LK0Bv5k1xcnv7,38,https://p.scdn.co/mp3-preview/ac82ac0a4c0952da4562e16a1560cb07b25613cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,Quiero Bailar,5rUh8pOTXIzvLipA5jb6HV,Raggabund,0y4uUzZ0s8vT51p6y5fGS3,Buena Medicina,4kCP1Ikjl2TyIID8KhEBD0,0,not available
99,Sound System,2GhQb581GzsrGtIhemqrRT,Ska Beat City,4ZrOD7qBmuKV06QXkC9j6o,Sound System,41v1Y8axovxvY18ArshdGi,40,https://p.scdn.co/mp3-preview/a8cdf2b4a9088ecbcf52b121f2ae14bb76ea2777?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,Música Sin Tiempo,6GVgGf0zHPu1knWC6OEJus,Cultura Profética,65HuWBUC1d8ty1q6J42Nfi,Música Sin Tiempo,57mzWPd8oFsYKvTY25VXtM,39,not available
