Feel Good Blend,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
77,Ruby,5AFGqY1PpwsKT76D691y6i,Mat Kerekes,5rOjuB5uYAoDMHgZM6CFBB,Ruby,3FTwVo3Ml09aCJAamSni5v,45,https://p.scdn.co/mp3-preview/e56b947f8d7a4a127bc214382a701cf257f6da9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,This Feeling,4NBTZtAt1F13VvlSKe6KTl,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Sick Boy,6ZvDJs17O3woQirttKRYCG,84,https://p.scdn.co/mp3-preview/c30eb8833d9d5e9bb377a0521fffc02b80388cf1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Last Hurrah,0i0wnv9UoFdZ5MfuFGQzMy,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,Last Hurrah,5ljc69MQ6iwGcJ4SmHaAh5,78,https://p.scdn.co/mp3-preview/544f1a165ee7ac62b8a5ddaac1147f977a0ba7ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,GET UP,1OKQIvaO7yn7R2BpdUFG7D,Shinedown,70BYFdaZbEKbeauJ670ysI,ATTENTION ATTENTION,0dtwIycvTaFNjo44QRwWz7,66,https://p.scdn.co/mp3-preview/442999c914a6d43e848f7e7d5e2d6988a934151c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Almost (Sweet Music),7uttm8Iurm5uK67Vr9G2Sp,Hozier,2FXC3k01G6Gw61bmprjgqS,"Wasteland, Baby!",5j1ZsFyNCsnt62prbs85eE,72,not available
82,Light On,5AdnkoZJuRJCYqYBIzSqFb,Maggie Rogers,4NZvixzsSefsNiIqXn0NDe,Light On,4uRuM5mq316R7PdLsmJmBK,25,not available
83,I Guess I Just Feel Like,1HNywa8Bk0TmzRwQrzhtPo,John Mayer,0hEurMDQu99nJRq8pTxO14,I Guess I Just Feel Like,35Kv9CZURVdrejZ5jsL8Xn,76,https://p.scdn.co/mp3-preview/62e7f2981c16230915de46596ff08a27a9bc8e1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Rainbow,79qxwHypONUt3AFq0WPpT9,Kacey Musgraves,70kkdajctXSbqSMJbQO424,Golden Hour,7f6xPqyaolTiziKf5R5Z0c,73,not available
85,Used To Be,5BvP31Kxf5R5WIuwbcQDDT,Matt Nathanson,4NGiEU3Pkd8ASRyQR30jcA,Sings His Sad Heart,5C1InRcO8s7H1sl2X3cljX,63,https://p.scdn.co/mp3-preview/a876d1d7a505368b7d5fc2b868fea02682be3790?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Head Above Water,7gY3cyGcB2wnk2xDXiA0pe,Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j,Head Above Water,3FrkD0TTaXBuW19vuEhDGz,75,https://p.scdn.co/mp3-preview/8d482a91e1a18883b77bf173f3f35d8a89c6a4a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Lights Down Low,1sYSP7gKa5kdKIfhANfori,MAX,1bqxdqvUtPWZri43cKHac8,Hell's Kitchen Angel,2qmysBdftCYXRjYHTVK3qo,71,https://p.scdn.co/mp3-preview/5bd9a17dbb33b05995c5d5c980d050478a7e8b22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Water Under The Bridge,7xfzwPasShmaPL7gB7va3J,Adele,4dpARuHxo51G3z768sgnrY,25,7uwTHXmFa1Ebi5flqBosig,69,https://p.scdn.co/mp3-preview/a56f58462f4b6976c0a8ea18996d0ac53f3c3c9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
