US Top 40,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
41,Adore You,3CQqY9BxLZE6HmieR7fvNM,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,"It's Your Bed Babe, It's Your Funeral",1sbCW0I7rP05Zyru3gSyiH,61,https://p.scdn.co/mp3-preview/bee9946703d334a01d9d4025733dce0c1c12d92b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Panini,1000nHvUdawXuUHgBod4Wv,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Panini,71BrrQxz8mZAneNSDE9Lov,84,https://p.scdn.co/mp3-preview/8871fb467ee763bec16fe5260c103a1bb9e852d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Call You Mine,05CwHjIk71RXVU40boRMnR,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,World War Joy,1ONuDpN0a3zhCUyKCgtuzK,71,not available
44,No Way!,0yYwS7CXKIPC4kWPvZQfsT,Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,Soul Searching,4ZKdRW0AH9sxV09NmWsTkW,79,https://p.scdn.co/mp3-preview/c90e7fbd5867542de087dd5965090cdbc74c63cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,You Need To Calm Down,29fRTIKsJhLUJoldM89GZS,Taylor Swift,06HL4z0CvFAxyc27GXpf02,You Need To Calm Down,21dd5QyItuoqvPkViQXlKf,79,not available
46,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Divinely Uninspired To A Hellish Extent,5658aM19fA3JVwTK6eQX70,95,not available
47,Rumors (feat. ZAYN),6XjNLIoUiU2XKdbNp7PvHl,Sabrina Claudio,30DhU7BDmF4PH0JVhu8ZRg,Truth Is,4vfE56g4oK4p8VVx7pThrU,69,https://p.scdn.co/mp3-preview/c75161034667556dfb6c4868a6f312ec812578fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Demons,0Y5nfKx3OnZWPIO0vHbinL,Hayley Kiyoko,3LjhVl7GzYsza1biQjTpaN,I'm Too Sensitive For This Shit,2aH7vOX17njaGz6Th2e8kK,61,https://p.scdn.co/mp3-preview/e32a0ac823411d0319a78f8119c1b4b4a5e167ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,More,3wACqF2VNhmiUMwXn7U13j,Electric Guest,7sgWBYtJpblXpJl2lU5WVs,More,6PpFASXIMxwhBs17Og4NBX,55,https://p.scdn.co/mp3-preview/3028197cd6a0a971bbcf240942e29d0f9a960538?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Higher,7E0UqLtjH5ipLhkX3bCCuK,Ally Brooke,6TXM1kV4L8DsDAkAfbOPYk,Higher,5peCrBl7RlaO4qDdxAaBON,68,https://p.scdn.co/mp3-preview/f2e8a878bc46b3c355781ee5d8fa1a89e4bfdc6b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
