Global X,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Joanna (Drogba) - Remix,10dVVfHlZYjV4Qv9uNVgrA,Afro B,7oMRcCu0OYSCtCyS3P37iC,Joanna (Drogba) [Remix],5V6gbDL0wFSWfb29iA2YDL,68,https://p.scdn.co/mp3-preview/91e0514cb0d5207b207e0728b02f6453893c2189?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Como No (feat. Becky G),5rqn93J4KqJrxSO7SMns4B,Akon,0z4gvV4rjIZ9wHck67ucSV,Como No (feat. Becky G),6kLXL6tWc6J6rbsIdBBENf,65,not available
12,Runaway,7BuSE9uTIw931wtZYzvZcQ,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,Runaway,0PijZTpKNGUvL12y7w4tZF,87,not available
13,Istanbul,18loeUgThthiQpVNKqoZUP,Bahjat,4IdNUGAtqlYjfXNx4ktplO,Istanbul,3fETmw1u0SMdafAB7w5Wr1,54,https://p.scdn.co/mp3-preview/9e8def33a46f5d81d67aee6ac9a932d62a0c4da8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Con Altura,2qG5sZ7Si6sdK74qLxedYM,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,Con Altura,4bxHLppgdmaYJk0yfdcP0l,91,https://p.scdn.co/mp3-preview/db95e1fba1c9df7e2f6966ba91347df3c36a9630?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Shanti,196EVYMJrmHPjoHWi67kJ6,ShiShi,3zLlUTuczHTGLHdMnYNYX9,Shanti,5Bg3mg1soFo2400zWNOoEy,49,https://p.scdn.co/mp3-preview/f8d78421448ee5ff22ab7b6bcee6153bfc9167d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Lamberghini,45P9g6kUb7itdonjjGjDdS,The Doorbeen,5Yz2RjLWPx1PcIRoiot9Sc,Lamberghini - Single,0DrkuJJyjj8wsr4wuzRfQF,61,https://p.scdn.co/mp3-preview/67e29038b944ef73d9dc6162eefc24264e527f78?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Hey Mama,77vC5gu81gOMLHgLA0YPAd,Geko,5vfmmb3UHpuQWJ55JP9slk,Hey Mama,1U5iv3OkLdRJ1CJ9EUmLv5,61,not available
18,Soltera - Remix,1c0hsvHLELX6y8qymnpLKL,Lunay,47MpMsUfWtgyIIBEFOr4FE,Soltera (Remix),2m9Vuc9Q19qhSm6RQmBgsR,92,https://p.scdn.co/mp3-preview/dd6fc3e183f2643f0f4a3d650fa4f923c2a46040?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Qué Pena,5099x34vBakWpGkHourFxP,Maluma,1r4hJ1h58CWwUQe3MxPuau,Qué Pena,1Db95k6t4rCPHSmdfsTeDl,85,https://p.scdn.co/mp3-preview/b82a2d454d23261612a6511904e5498dc064de04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
