Radar Indie,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
66,Lo Consigo,70TUWNANW0qpfMnElO9SZD,Arista Fiera,6Dj3duHi3860XUVgCuEXGs,Lo Consigo,5lbvlFF4XYew4Fp0mcfFIp,27,https://p.scdn.co/mp3-preview/a2e623d3442ca59688f7bc7f04d380fd4f050c59?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Buenos días Hiroshima,1YXqswN1eYrCBE1yi3ZrGH,Lagartija Nick,6Ipe0i7N3mneCjxpkNifri,Buenos días Hiroshima,59QZZ8bXBApwNfMRuodmfW,32,https://p.scdn.co/mp3-preview/9154991d1a8de6de35c942d9215140f341ca185b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Te Prometo,2XV9XNZ62qzu49Mpzh3nqb,Viva Suecia,57s0ep3eNSg81D7ZxiuHbC,El Milagro,7qyNn1jGhxpIGd6jrRWGt3,47,https://p.scdn.co/mp3-preview/7efb5bc270c63036f48dd0514084697a1346f315?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Héroes de la Antártida,7JFBhk1kIG75u7dd1g5UVA,Miss Caffeina,1uvhwixGrZkuT2gpQQWgYb,Descanso Dominical: Tributo a Mecano,7eCbCt3IQUQtHa3f5Ua3zS,30,https://p.scdn.co/mp3-preview/25861247fafca2bb4917fd9cdd358acae3f00a8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Vas Hablando Mal de Mí,5vSeFlCzPLGxVDAt7GMFi9,Los Punsetes,1jr0mAgIhKtTeKTZwk0HjF,Vas Hablando Mal de Mí,6eqGLysserUpcGBiZGoi0x,42,https://p.scdn.co/mp3-preview/4f2557f44e8c67ba65e52ba14f58eb2e068d1456?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Sujétate Fuerte,4KwNPmQzGOTipeRmWkrcYi,Helena Goch,2JifS5JEJbv3GcQ4ZB2q9B,Motor y al Aire,3m9OJk26XlDsJgcGX8A27t,34,https://p.scdn.co/mp3-preview/89e96c52c72f34e352e0eb8d2f5f5c8a285ddb9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Mañana Nunca Llega,6GRZqffRsIYZvvYrDlHyzG,All La Glory,6Y5TIRrqEQHvmUs9MMiKxv,Disco Fantasma,1cfoLli3rTi43POaGxJohR,21,https://p.scdn.co/mp3-preview/f4ff9c591ae557afe67cb44231ece43cb2589f83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Ayer salí,0RpKxL8JO9YJxEpVEPuN4i,León Benavente,5wuBA4TiRM0CNjSXjsutn6,Vamos a volvernos locos,4jRMwulUkj2n8ZJGTLAjum,49,https://p.scdn.co/mp3-preview/8983a0e3d4e0ee7667e4007498051ae4493bdc59?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,COMO el FUEGO,65RryJGGjoRp8RSdfAgz9m,Sen Senra,5lWasZeo8uWQk6GD8czJLq,COMO el FUEGO,7Lcijo625d07ZscbY28ppf,38,https://p.scdn.co/mp3-preview/112b824dff6faafe5a9ab6ae0b75c991fdfbef86?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Idiota,5NIpZM282x7iiwai6eWqEQ,Los Punsetes,1jr0mAgIhKtTeKTZwk0HjF,Idiota,45CmNu199G12lYNbVY8C6L,40,https://p.scdn.co/mp3-preview/88ea1fd63d3a0b5900ce3a2fb328d011ddc962c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Misterio,24iVKrcnNO31wNxYvuaaCz,GLAS,4Z1zjj6iQYhxLY9zE9sJch,Misterio,2ttzOHQm7reqs0rhYKr3fo,27,https://p.scdn.co/mp3-preview/8bc3bd80c8559a3539fbb89d0a88f4fe78c4f6cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Suburbia - Recorded at Spotify Studios NYC,5Y34ia4fEDrQd1a3gczxX9,Babasónicos,2F9pvj94b52wGKs0OqiNi2,Spotify Singles,6k9Hp2pzjLtzn4esbQmTZS,45,https://p.scdn.co/mp3-preview/06b33fbb593622a413797a743dda18987bb7737d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Ciudad,0RfOe6xACdwPtA3u3sl5Bv,Rayo,1r5mgN3pd36xjsZSZOvST9,Ciudad,3Terfo3oSFKj4owYk7sbs7,32,https://p.scdn.co/mp3-preview/d1a62aca1bd0aca89ef221fe62e84af4382a368f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,La Flecha,7HDU7PsyYbO8twWQc8vkNk,Beladrone,58WqEMuBUmJXIc7ubM91xI,La Flecha,58b8oI9RSZbyiLk9lcmhYV,26,https://p.scdn.co/mp3-preview/e70697fe4898e2e1d4927cb822fb48e70eb93c2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Hey,0jNzXuYjeLjmtiFxrXB2kb,Cineplexx,3lYwzzMJbMCXmBqjo0OdSz,Hey,0xC3kvN3xMRTHNUPzMbjw3,39,https://p.scdn.co/mp3-preview/37382e9ecc28539776010beab7148df595e75160?cid=fa83a2fec7c440b7a2795d600d6b2c7e
